t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	99.8	0.2	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0	100	0	100
11	0.2	100	0	99.8
12	0.2	100	0	99.8
13	0	99.8	0.2	100
14	0.2	100	0	99.8
15	0	100	0	100
16	0	100	0	100
17	0	100	0	100
18	1	100	0	99
19	0.2	99.8	0.2	99.8
20	0.6	100	0	99.4
21	0.6	100	0	99.4
22	0.4	100	0	99.6
23	0.2	99.6	0.4	99.8
24	0.6	100	0	99.4
25	0.4	100	0	99.6
26	0.2	99.2	0.8	99.8
27	1	99.8	0.2	99
28	1	99.4	0.6	99
29	0.6	99.2	0.8	99.4
30	1	99.6	0.4	99
31	0.8	99.6	0.4	99.2
32	1.8	98.8	1.2	98.2
33	0.4	97.8	2.2	99.6
34	1.6	98.6	1.4	98.4
35	0.8	97.8	2.2	99.2
36	0.6	97.2	2.8	99.4
37	2	97.6	2.4	98
38	2	98.2	1.8	98
39	2.6	97.4	2.6	97.4
40	2.6	95	5	97.4
41	3.2	96.6	3.4	96.8
42	3.8	97	3	96.2
43	3.4	98	2	96.6
44	5.6	95.4	4.6	94.4
45	3.2	94.6	5.4	96.8
46	4	95.4	4.6	96
47	4.8	95	5	95.2
48	5.6	92.6	7.4	94.4
49	9.6	96.6	3.4	90.4
50	3.4	90.6	9.4	96.6
51	5.2	90.4	9.6	94.8
52	7.8	90	10	92.2
53	9.6	85.6	14.4	90.4
54	7	86	14	93
55	7.6	84	16	92.4
56	8.4	80.8	19.2	91.6
57	13.8	85.8	14.2	86.2
58	14.6	81.2	18.8	85.4
59	10.8	80	20	89.2
60	12	75.8	24.2	88
61	20.2	80.8	19.2	79.8
62	13.2	63.8	36.2	86.8
63	19.6	72.6	27.4	80.4
64	16.6	68.2	31.8	83.4
65	18.2	61.6	38.4	81.8
66	17	53.6	46.4	83
67	29.4	68.6	31.4	70.6
68	24.6	65	35	75.4
69	34	67.4	32.6	66
70	24.6	53.2	46.8	75.4
71	25	49.4	50.6	75
72	26.2	49.4	50.6	73.8
73	31	42.8	57.2	69
74	38.2	44.2	55.8	61.8
75	31.6	41.8	58.2	68.4
76	42	50	50	58
77	41.6	38.6	61.4	58.4
78	36.4	30.4	69.6	63.6
79	46.6	30.4	69.6	53.4
80	39.4	24.8	75.2	60.6
81	47.8	27.4	72.6	52.2
82	50	27	73	50
83	53.6	26.2	73.8	46.4
84	54.4	24.2	75.8	45.6
85	60.2	17.4	82.6	39.8
86	57	17.4	82.6	43
87	64.2	18.8	81.2	35.8
88	63.6	19	81	36.4
89	59.8	9.8	90.2	40.2
90	64.2	6.2	93.8	35.8
91	75.8	13.8	86.2	24.2
92	69.6	8.6	91.4	30.4
93	78.8	6.2	93.8	21.2
94	76.8	10.2	89.8	23.2
95	74.4	5.8	94.2	25.6
96	78.2	2.8	97.2	21.8
97	91.2	5.4	94.6	8.8
98	80	3.6	96.4	20
99	92	2.6	97.4	8
100	88.2	1.8	98.2	11.8
101	94.2	3.2	96.8	5.8
102	95.6	1.4	98.6	4.4
103	91.6	0.6	99.4	8.4
104	92.8	2	98	7.2
105	96.2	0.4	99.6	3.8
106	96	1	99	4
107	99	0	100	1
108	98.6	0.6	99.4	1.4
109	99.8	0	100	0.2
110	99.6	0	100	0.4
111	99.8	0	100	0.2
112	99	0	100	1
113	100	0	100	0
114	100	0	100	0
115	100	0	100	0
116	100	0	100	0
117	100	0	100	0
118	100	0	100	0
119	100	0	100	0
120	100	0	100	0
121	100	0	100	0
122	100	0	100	0
123	100	0	100	0
124	100	0	100	0
125	100	0	100	0
126	100	0	100	0
127	100	0	100	0
128	100	0	100	0
129	100	0	100	0
130	100	0	100	0
131	100	0	100	0
132	100	0	100	0
133	100	0	100	0
134	100	0	100	0
135	100	0	100	0
136	100	0	100	0
137	100	0	100	0
138	100	0	100	0
139	100	0	100	0
140	100	0	100	0
141	100	0	100	0
142	100	0	100	0
143	100	0	100	0
144	100	0	100	0
145	100	0	100	0
146	100	0	100	0
147	100	0	100	0
148	100	0	100	0
149	100	0	100	0
150	100	0	100	0
