t	FPR	FNR	TRP	TNR
1	0.2	99.6	0.4	99.8
2	0.2	100	0	99.8
3	0.4	99.8	0.2	99.6
4	0.2	100	0	99.8
5	0	100	0	100
6	0	99.6	0.4	100
7	0	100	0	100
8	0.4	99.8	0.2	99.6
9	0	100	0	100
10	0	99.8	0.2	100
11	0.2	100	0	99.8
12	0.4	100	0	99.6
13	0.2	99.8	0.2	99.8
14	0.2	100	0	99.8
15	0	99.6	0.4	100
16	0.6	99.6	0.4	99.4
17	0.2	99.6	0.4	99.8
18	0.2	99.8	0.2	99.8
19	0.6	99.8	0.2	99.4
20	0.8	99.6	0.4	99.2
21	0.4	99.6	0.4	99.6
22	0.6	99.6	0.4	99.4
23	0.2	99.8	0.2	99.8
24	0.4	100	0	99.6
25	0.6	99.2	0.8	99.4
26	0.2	99.6	0.4	99.8
27	0.8	100	0	99.2
28	0.8	99.4	0.6	99.2
29	0.4	99.2	0.8	99.6
30	0.6	99.6	0.4	99.4
31	0.2	99.8	0.2	99.8
32	0	99.6	0.4	100
33	0.2	99.8	0.2	99.8
34	1.6	100	0	98.4
35	0.4	99.4	0.6	99.6
36	0.6	98.8	1.2	99.4
37	0.6	99	1	99.4
38	0.2	99.4	0.6	99.8
39	2	99.8	0.2	98
40	0.4	98.8	1.2	99.6
41	1.6	99.8	0.2	98.4
42	0	99	1	100
43	1.2	99.6	0.4	98.8
44	1	99.6	0.4	99
45	1.6	99	1	98.4
46	0.6	99	1	99.4
47	0.6	99.6	0.4	99.4
48	1.8	99.2	0.8	98.2
49	0.8	98.8	1.2	99.2
50	2	98.6	1.4	98
51	3.4	99.8	0.2	96.6
52	1.8	99.6	0.4	98.2
53	1.2	99	1	98.8
54	1.2	99	1	98.8
55	1	98	2	99
56	4.4	99.6	0.4	95.6
57	1.2	99	1	98.8
58	3.2	98.6	1.4	96.8
59	1.2	97.4	2.6	98.8
60	1.2	98	2	98.8
61	3	98.8	1.2	97
62	4.2	98.2	1.8	95.8
63	3.2	98.4	1.6	96.8
64	2.8	98.6	1.4	97.2
65	3	98.2	1.8	97
66	2	97.8	2.2	98
67	3	97	3	97
68	7.4	98.4	1.6	92.6
69	2.8	99	1	97.2
70	1.2	91.8	8.2	98.8
71	3.8	99	1	96.2
72	6	98.2	1.8	94
73	2.2	96.6	3.4	97.8
74	3.2	95.2	4.8	96.8
75	3.4	97	3	96.6
76	6	97.4	2.6	94
77	2.4	93.8	6.2	97.6
78	8.2	97.6	2.4	91.8
79	3	92.8	7.2	97
80	7	97.4	2.6	93
81	6.2	97.2	2.8	93.8
82	5.6	97.2	2.8	94.4
83	5.6	96	4	94.4
84	7.8	96.2	3.8	92.2
85	3.6	92.6	7.4	96.4
86	5.4	93	7	94.6
87	8.4	95.2	4.8	91.6
88	8	97	3	92
89	12.4	96.8	3.2	87.6
90	9.4	95.6	4.4	90.6
91	8.4	95.4	4.6	91.6
92	7.2	91.6	8.4	92.8
93	7.2	92.6	7.4	92.8
94	7.6	92	8	92.4
95	5.8	84	16	94.2
96	8.6	92.6	7.4	91.4
97	9	89.6	10.4	91
98	13.2	92.4	7.6	86.8
99	19	93.8	6.2	81
100	10	93.4	6.6	90
101	11.2	91.8	8.2	88.8
102	10.6	90.6	9.4	89.4
103	5.8	83.6	16.4	94.2
104	10.8	86.6	13.4	89.2
105	6.4	79.2	20.8	93.6
106	8	84	16	92
107	11	87	13	89
108	16.8	88.2	11.8	83.2
109	12	85.4	14.6	88
110	12.6	83.8	16.2	87.4
111	13.4	86.6	13.4	86.6
112	16.2	89	11	83.8
113	13.8	86	14	86.2
114	13.8	85.8	14.2	86.2
115	16.6	87.6	12.4	83.4
116	17.2	81.6	18.4	82.8
117	20.2	84.4	15.6	79.8
118	22.4	87.8	12.2	77.6
119	14.2	77.6	22.4	85.8
120	22.4	82	18	77.6
121	25.6	87.2	12.8	74.4
122	17.6	78.8	21.2	82.4
123	24.2	84.4	15.6	75.8
124	23.6	74.8	25.2	76.4
125	21	71	29	79
126	19	79	21	81
127	16.6	74.2	25.8	83.4
128	20	70.2	29.8	80
129	20.6	67	33	79.4
130	18.2	73	27	81.8
131	27.8	71.8	28.2	72.2
132	23.6	73	27	76.4
133	20	75	25	80
134	29.2	77.8	22.2	70.8
135	23.6	75.4	24.6	76.4
136	26.8	68.6	31.4	73.2
137	23.2	64.6	35.4	76.8
138	25.2	59.6	40.4	74.8
139	25.2	67.4	32.6	74.8
140	20	60.8	39.2	80
141	22.8	63.4	36.6	77.2
142	23.4	54.6	45.4	76.6
143	20	57.6	42.4	80
144	28	53.8	46.2	72
145	32.4	64.4	35.6	67.6
146	31.4	66.4	33.6	68.6
147	35.2	61.4	38.6	64.8
148	35.4	60.8	39.2	64.6
149	33.2	54.8	45.2	66.8
150	28.4	47.6	52.4	71.6
