t	FPR	FNR	TRP	TNR
100	0	0	100	100
110	0	0	100	100
120	0	0	100	100
130	0	0	100	100
140	0	0	100	100
150	0	0	100	100
160	0	0	100	100
170	0	0	100	100
180	0	0	100	100
190	0	0	100	100
200	0	0	100	100
210	0	0	100	100
220	0	0	100	100
230	0	0	100	100
240	0	0	100	100
250	0	0	100	100
260	0	0	100	100
270	0	0	100	100
280	0	0	100	100
290	0	0	100	100
300	0	0	100	100
310	0	0	100	100
320	0	0	100	100
330	0	0	100	100
340	47	55.6	44.4	53
350	45	58.2	41.8	55
360	40	62.4	37.6	60
370	40.8	63.2	36.8	59.2
380	32.6	69	31	67.4
390	31.2	70.2	29.8	68.8
400	29	73.4	26.6	71
410	29.4	74	26	70.6
420	22.6	76	24	77.4
430	28.6	75.2	24.8	71.4
440	7.8	64.2	35.8	92.2
450	24.4	81	19	75.6
460	6.6	65.4	34.6	93.4
470	6.8	71.2	28.8	93.2
480	9	70.2	29.8	91
490	6.6	72	28	93.4
500	6	70	30	94
510	5.2	72.8	27.2	94.8
520	3.8	76	24	96.2
530	5.2	74.6	25.4	94.8
540	4.4	77.8	22.2	95.6
550	2.4	77.8	22.2	97.6
560	3.4	80.6	19.4	96.6
570	3.6	81.4	18.6	96.4
580	2.4	83.8	16.2	97.6
590	2	84.4	15.6	98
600	3.8	85.6	14.4	96.2
610	3.2	75.6	24.4	96.8
620	0.2	66.4	33.6	99.8
630	0	59	41	100
640	0	59.4	40.6	100
650	0.4	65.8	34.2	99.6
660	0.2	63.8	36.2	99.8
670	0.8	63.4	36.6	99.2
680	0.4	64.2	35.8	99.6
690	0.2	64	36	99.8
700	0	63.2	36.8	100
710	0	68.4	31.6	100
720	0.4	73.2	26.8	99.6
730	0.4	71.8	28.2	99.6
740	0.4	76	24	99.6
750	0.4	75.4	24.6	99.6
760	0	75.4	24.6	100
770	0	83.2	16.8	100
780	0	77	23	100
790	0.2	79.2	20.8	99.8
800	0	78.6	21.4	100
810	0.6	82.8	17.2	99.4
820	1	95.4	4.6	99
830	0	83	17	100
840	0	86.8	13.2	100
850	0	82.6	17.4	100
860	0	84.8	15.2	100
870	0	86.4	13.6	100
880	0	88	12	100
890	0.4	86.6	13.4	99.6
900	0	87	13	100
910	0	88.6	11.4	100
920	0	91	9	100
930	0.8	95.4	4.6	99.2
940	0.6	95.4	4.6	99.4
950	0	88.2	11.8	100
960	0.2	89.8	10.2	99.8
970	0.2	88	12	99.8
980	0	91.2	8.8	100
990	0.6	94.8	5.2	99.4
1000	1.2	99.4	0.6	98.8
1010	0	90.2	9.8	100
1020	0	89.2	10.8	100
1030	0	93.4	6.6	100
1040	0.4	96.2	3.8	99.6
1050	0	93.2	6.8	100
1060	0	91.4	8.6	100
1070	0	93	7	100
1080	0	94.4	5.6	100
1090	0.2	92.6	7.4	99.8
1100	0.6	99	1	99.4
