t	FPR	FNR	TRP	TNR
100	0	0	100	100
110	0	0	100	100
120	0	0	100	100
130	0	0	100	100
140	0	0	100	100
150	0	0	100	100
160	0	0	100	100
170	0	0	100	100
180	0	0	100	100
190	0	0	100	100
200	0	0	100	100
210	0	0	100	100
220	0	0	100	100
230	0	0	100	100
240	0	0	100	100
250	0	0	100	100
260	0	0	100	100
270	0	0	100	100
280	0	0	100	100
290	0	0	100	100
300	0	0	100	100
310	0	0	100	100
320	0	0	100	100
330	0	0	100	100
340	0	0	100	100
350	0	0	100	100
360	0	0	100	100
370	0	0	100	100
380	0	0	100	100
390	0	0	100	100
400	0	0	100	100
410	0	0	100	100
420	0	0	100	100
430	0	0	100	100
440	0	0	100	100
450	0	0	100	100
460	0	0	100	100
470	0	0	100	100
480	0	0	100	100
490	0	0	100	100
500	0	0	100	100
510	0	0	100	100
520	0	0	100	100
530	73.2	30.8	69.2	26.8
540	0	0	100	100
550	0	0	100	100
560	0	0	100	100
570	56.6	46.2	53.8	43.4
580	55.4	45.8	54.2	44.6
590	47.2	50.4	49.6	52.8
600	51.6	54	46	48.4
610	51.8	49.8	50.2	48.2
620	44.4	55	45	55.6
630	38.8	60.6	39.4	61.2
640	36	62.8	37.2	64
650	38.2	62.6	37.4	61.8
660	19.2	44.6	55.4	80.8
670	33.8	68.2	31.8	66.2
680	13.2	53.2	46.8	86.8
690	29.4	72.4	27.6	70.6
700	29.2	73.8	26.2	70.8
710	29	72	28	71
720	25.2	74.6	25.4	74.8
730	25.6	75	25	74.4
740	21.8	79.4	20.6	78.2
750	22.2	77	23	77.8
760	21.6	80	20	78.4
770	9	66.6	33.4	91
780	18.6	84.8	15.2	81.4
790	6.6	66	34	93.4
800	6.8	67.4	32.6	93.2
810	5	72.2	27.8	95
820	4.2	70.6	29.4	95.8
830	4.8	73.8	26.2	95.2
840	4.8	75.8	24.2	95.2
850	5	75.2	24.8	95
860	5	73.6	26.4	95
870	3.2	77	23	96.8
880	3.2	75.8	24.2	96.8
890	3	74.8	25.2	97
900	4.2	82.4	17.6	95.8
910	2.6	80.8	19.2	97.4
920	3.2	84	16	96.8
930	2.8	80	20	97.2
940	2.4	81.8	18.2	97.6
950	2.4	78.8	21.2	97.6
960	2.2	79.6	20.4	97.8
970	2	83.6	16.4	98
980	1.8	79.6	20.4	98.2
990	0.6	77	23	99.4
1000	2.8	86	14	97.2
1010	2	86.2	13.8	98
1020	0.2	61.4	38.6	99.8
1030	0.4	64.6	35.4	99.6
1040	0.2	64.2	35.8	99.8
1050	0.2	66.6	33.4	99.8
1060	0.2	64	36	99.8
1070	0.2	69.8	30.2	99.8
1080	0	66.6	33.4	100
1090	0	68.6	31.4	100
1100	0.2	70.2	29.8	99.8
1110	0.4	74.2	25.8	99.6
1120	0.2	62.4	37.6	99.8
1130	0	71.8	28.2	100
1140	0.4	73.6	26.4	99.6
1150	0	74.8	25.2	100
1160	0	72	28	100
1170	0.2	74.8	25.2	99.8
1180	0	77.8	22.2	100
1190	0.2	77	23	99.8
1200	0.4	71.8	28.2	99.6
1210	0	76	24	100
1220	0	78.6	21.4	100
1230	0	77	23	100
1240	0	75	25	100
1250	0	81.8	18.2	100
1260	0	83.8	16.2	100
1270	0.2	76.6	23.4	99.8
1280	0	82.2	17.8	100
1290	0.2	84	16	99.8
1300	0	85.4	14.6	100
1310	0	88.4	11.6	100
1320	0	83	17	100
1330	0.2	85.6	14.4	99.8
1340	0.4	84.4	15.6	99.6
1350	0	86.6	13.4	100
1360	0	86.8	13.2	100
1370	0	86.2	13.8	100
1380	0.2	88	12	99.8
1390	0	87.8	12.2	100
1400	0	81.8	18.2	100
1410	0	89	11	100
1420	0	83.6	16.4	100
1430	0	85.2	14.8	100
1440	0	84.8	15.2	100
1450	0	89	11	100
1460	0	86.4	13.6	100
1470	0	88.2	11.8	100
1480	0	88.6	11.4	100
1490	0	89.8	10.2	100
1500	0	91.2	8.8	100
1510	0	87.8	12.2	100
1520	0	90.4	9.6	100
1530	0	91.6	8.4	100
1540	0	92.4	7.6	100
1550	0	90.6	9.4	100
1560	0	91	9	100
1570	0	94	6	100
1580	0	87.8	12.2	100
1590	0	91.6	8.4	100
1600	0	93.8	6.2	100
1610	0	93.8	6.2	100
1620	0	93.6	6.4	100
1630	0	95.8	4.2	100
1640	0	92.2	7.8	100
1650	0	93.4	6.6	100
1660	0	95.8	4.2	100
1670	0	95.2	4.8	100
1680	0	95.8	4.2	100
1690	0	94.6	5.4	100
1700	0	92.6	7.4	100
1710	0	95	5	100
1720	0.4	98.6	1.4	99.6
1730	0	95.2	4.8	100
1740	0	95.4	4.6	100
1750	0	92.8	7.2	100
1760	0	97	3	100
1770	0	97.2	2.8	100
1780	0	93.6	6.4	100
1790	0	95.6	4.4	100
1800	0	97.6	2.4	100
1810	0	97.4	2.6	100
1820	0	96.2	3.8	100
1830	0	95.4	4.6	100
1840	0.2	96.2	3.8	99.8
1850	0	95.6	4.4	100
1860	0.4	99.6	0.4	99.6
1870	0.2	94.6	5.4	99.8
1880	0.2	99	1	99.8
1890	0	98.6	1.4	100
1900	0	96	4	100
1910	0	98	2	100
1920	0	95.4	4.6	100
1930	0	97.8	2.2	100
1940	0.4	99.4	0.6	99.6
1950	0.2	98	2	99.8
1960	0	99	1	100
1970	0	97.4	2.6	100
1980	0	99.6	0.4	100
1990	0	94.2	5.8	100
2000	0	96.2	3.8	100
2010	0	97.2	2.8	100
2020	0	98.6	1.4	100
2030	0	98	2	100
2040	0	98.6	1.4	100
2050	0	97.8	2.2	100
