t	FPR	FNR	TRP	TNR
100	0	0	100	100
110	0	0	100	100
120	0	0	100	100
130	0	0	100	100
140	0	0	100	100
150	0	0	100	100
160	0	0	100	100
170	0	0	100	100
180	0	0	100	100
190	0	0	100	100
200	0	0	100	100
210	0	0	100	100
220	0	0	100	100
230	10.2	56.8	43.2	89.8
240	12.4	58.8	41.2	87.6
250	8.8	62.4	37.6	91.2
260	8.4	62.2	37.8	91.6
270	10.8	65.8	34.2	89.2
280	12.2	68.2	31.8	87.8
290	7.8	67.4	32.6	92.2
300	6.8	74.2	25.8	93.2
310	5.8	74.2	25.8	94.2
320	5.4	74.8	25.2	94.6
330	5.8	75.4	24.6	94.2
340	5	76.8	23.2	95
350	4.8	81.2	18.8	95.2
360	4.4	81.8	18.2	95.6
370	4	80.2	19.8	96
380	3.4	78.6	21.4	96.6
390	2.6	76.2	23.8	97.4
400	2.2	83	17	97.8
410	2	78	22	98
420	1.2	79.8	20.2	98.8
430	1.6	73.2	26.8	98.4
440	0.2	59.2	40.8	99.8
450	0.4	50	50	99.6
460	1	69.4	30.6	99
470	0.2	64.4	35.6	99.8
480	0	55	45	100
490	0.2	69	31	99.8
500	0.2	75	25	99.8
510	0	76	24	100
520	0.6	76.8	23.2	99.4
530	0.2	77.4	22.6	99.8
540	0.2	76.6	23.4	99.8
550	0.2	72.4	27.6	99.8
560	0	82.6	17.4	100
570	0.2	78.6	21.4	99.8
580	0.2	77.8	22.2	99.8
590	0.2	73.2	26.8	99.8
600	0.2	84	16	99.8
610	0.4	86.2	13.8	99.6
620	0.8	96.4	3.6	99.2
630	0.2	84.6	15.4	99.8
640	0	85	15	100
650	0.2	86.8	13.2	99.8
660	0.4	87.8	12.2	99.6
670	0	87.4	12.6	100
680	0.2	88.4	11.6	99.8
690	0	90.2	9.8	100
700	0.2	88.8	11.2	99.8
710	0	87.4	12.6	100
720	0.4	93.2	6.8	99.6
730	1.2	98	2	98.8
740	0.4	93.6	6.4	99.6
750	0	94.2	5.8	100
760	0.4	92.4	7.6	99.6
770	0.2	88.4	11.6	99.8
780	1.6	99.4	0.6	98.4
790	0	88.8	11.2	100
800	0.4	93.4	6.6	99.6
810	0.2	92.4	7.6	99.8
820	0.6	96.6	3.4	99.4
830	0.6	95.8	4.2	99.4
840	0.4	91	9	99.6
850	0.4	96.4	3.6	99.6
860	0.2	92.4	7.6	99.8
870	0.2	97.4	2.6	99.8
880	0.4	96.8	3.2	99.6
890	0	95	5	100
900	0.2	94.2	5.8	99.8
910	0.8	98.8	1.2	99.2
920	0	94	6	100
930	0.4	97.2	2.8	99.6
940	0.2	97.2	2.8	99.8
950	0	97	3	100
960	0.4	98	2	99.6
970	0.4	97.4	2.6	99.6
980	1.4	99.8	0.2	98.6
990	0.4	96.6	3.4	99.6
1000	0.6	99.2	0.8	99.4
1010	0.4	95.4	4.6	99.6
