t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	100	0	100	0
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	100	0	100	0
390	100	0	100	0
400	100	0	100	0
410	100	0	100	0
420	100	0	100	0
430	100	0	100	0
440	100	0	100	0
450	100	0	100	0
460	100	0	100	0
470	100	0	100	0
480	100	0	100	0
490	100	0	100	0
500	100	0	100	0
510	100	0	100	0
520	100	0	100	0
530	100	0	100	0
540	100	0	100	0
550	100	0	100	0
560	100	0	100	0
570	100	0	100	0
580	100	0	100	0
590	100	0	100	0
600	100	0	100	0
610	100	0	100	0
620	100	0	100	0
630	100	0	100	0
640	100	0	100	0
650	100	0	100	0
660	99.8	0	100	0.2
670	100	0	100	0
680	100	0	100	0
690	98.2	0	100	1.8
700	97.6	0	100	2.4
710	100	0	100	0
720	97.6	0	100	2.4
730	97.8	0.2	99.8	2.2
740	97.2	1	99	2.8
750	96.4	0.2	99.8	3.6
760	98.2	1	99	1.8
770	93.6	2.2	97.8	6.4
780	88	2.6	97.4	12
790	86.8	3.4	96.6	13.2
800	85.6	3.8	96.2	14.4
810	74.2	3.2	96.8	25.8
820	84.4	8.2	91.8	15.6
830	79.8	8	92	20.2
840	72.2	4.6	95.4	27.8
850	57.4	6	94	42.6
860	78.6	13.6	86.4	21.4
870	69	11.6	88.4	31
880	65.2	16	84	34.8
890	62.6	13.2	86.8	37.4
900	43.4	9.6	90.4	56.6
910	48.2	19.4	80.6	51.8
920	59.6	31.6	68.4	40.4
930	59	26.4	73.6	41
940	53.8	25.6	74.4	46.2
950	59.4	39.8	60.2	40.6
960	42.6	29.8	70.2	57.4
970	48	30.4	69.6	52
980	44.8	30.8	69.2	55.2
990	36.2	28.4	71.6	63.8
1000	38.8	30.8	69.2	61.2
1010	38.8	38.2	61.8	61.2
1020	47.4	47.4	52.6	52.6
1030	34	40.6	59.4	66
1040	32.6	40.6	59.4	67.4
1050	40.4	48.6	51.4	59.6
1060	25.6	36.2	63.8	74.4
1070	32.6	54.2	45.8	67.4
1080	30	54.2	45.8	70
1090	31	54.6	45.4	69
1100	26.6	50.2	49.8	73.4
1110	28.8	55.4	44.6	71.2
1120	32	67	33	68
1130	24.8	52	48	75.2
1140	24.4	55.4	44.6	75.6
1150	25.6	56.8	43.2	74.4
1160	25.4	67.2	32.8	74.6
1170	20	67.8	32.2	80
1180	27.6	71.8	28.2	72.4
1190	20.8	61.6	38.4	79.2
1200	18.6	64	36	81.4
1210	22.2	74.2	25.8	77.8
1220	15.4	66	34	84.6
1230	21.4	74.6	25.4	78.6
1240	25	80.6	19.4	75
1250	22	76.4	23.6	78
1260	15	72.4	27.6	85
1270	19.6	77	23	80.4
1280	19	80.2	19.8	81
1290	16.2	81.4	18.6	83.8
1300	14.6	77.8	22.2	85.4
1310	11.2	73.4	26.6	88.8
1320	15	83.4	16.6	85
1330	17.6	85	15	82.4
1340	17.8	86.4	13.6	82.2
1350	11.4	82.4	17.6	88.6
1360	14.6	79.4	20.6	85.4
1370	13.8	86.6	13.4	86.2
1380	13.6	85.2	14.8	86.4
1390	9.6	82.2	17.8	90.4
1400	14.8	88.4	11.6	85.2
1410	15	88	12	85
1420	11	86	14	89
1430	9.8	86.8	13.2	90.2
1440	13.6	89	11	86.4
1450	14.2	91.6	8.4	85.8
1460	7.8	86	14	92.2
1470	14.8	93.2	6.8	85.2
1480	7.8	91.8	8.2	92.2
1490	9.4	90.6	9.4	90.6
1500	7.2	91.2	8.8	92.8
1510	12	91.4	8.6	88
1520	6.8	90.6	9.4	93.2
1530	9.4	92.2	7.8	90.6
1540	12.8	95	5	87.2
1550	7	91.6	8.4	93
1560	7.2	94.2	5.8	92.8
1570	6.2	94	6	93.8
1580	8.6	93	7	91.4
1590	9.6	93.2	6.8	90.4
1600	6.8	92.6	7.4	93.2
1610	7.6	96.4	3.6	92.4
1620	11.6	95	5	88.4
1630	6.2	93.4	6.6	93.8
1640	5.6	93.4	6.6	94.4
1650	9	96	4	91
1660	8.8	94.6	5.4	91.2
1670	7	96	4	93
1680	6.2	96.6	3.4	93.8
1690	6	95	5	94
1700	9.8	96.4	3.6	90.2
1710	6.4	94.6	5.4	93.6
1720	7	97.2	2.8	93
1730	6.6	94.6	5.4	93.4
1740	8.6	95.8	4.2	91.4
1750	4.8	95.6	4.4	95.2
1760	7.2	97	3	92.8
1770	8	98	2	92
1780	5.4	96.6	3.4	94.6
1790	5.8	96.6	3.4	94.2
1800	5.8	97	3	94.2
1810	4.2	96.6	3.4	95.8
1820	5.4	98.4	1.6	94.6
1830	7.6	98.2	1.8	92.4
1840	4.8	98.6	1.4	95.2
1850	5	98.6	1.4	95
1860	6.2	98.2	1.8	93.8
1870	5.2	96.6	3.4	94.8
1880	3.4	97.8	2.2	96.6
1890	4.4	95.8	4.2	95.6
1900	4.8	96.6	3.4	95.2
1910	4.6	97.6	2.4	95.4
1920	3.6	98.4	1.6	96.4
1930	3.8	97	3	96.2
1940	3.2	97.8	2.2	96.8
1950	3.8	97	3	96.2
1960	4	98.4	1.6	96
1970	4.2	97.4	2.6	95.8
1980	2.6	98.6	1.4	97.4
1990	3.2	96.2	3.8	96.8
2000	2.4	98	2	97.6
2010	4.4	99	1	95.6
2020	3	98.6	1.4	97
2030	2.4	96.6	3.4	97.6
2040	5.2	99	1	94.8
2050	3.8	98	2	96.2
