t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	99.8	0	100	0.2
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	95.2	0	100	4.8
390	97.8	0	100	2.2
400	100	0	100	0
410	90.4	0.2	99.8	9.6
420	92.6	0.8	99.2	7.4
430	93	0	100	7
440	90.2	2.4	97.6	9.8
450	81	2.4	97.6	19
460	92.8	7.8	92.2	7.2
470	82.6	5.4	94.6	17.4
480	67	7.6	92.4	33
490	74.8	7.2	92.8	25.2
500	69	9.4	90.6	31
510	61	12.8	87.2	39
520	69.6	15.6	84.4	30.4
530	60.8	17.4	82.6	39.2
540	58.2	18.4	81.6	41.8
550	62.2	20	80	37.8
560	48.6	30	70	51.4
570	56.4	36.2	63.8	43.6
580	41.6	27.4	72.6	58.4
590	49.8	34.6	65.4	50.2
600	44	42.6	57.4	56
610	39.2	45.8	54.2	60.8
620	38.8	42	58	61.2
630	30.6	42.2	57.8	69.4
640	27.6	33.2	66.8	72.4
650	34.2	49	51	65.8
660	30	53	47	70
670	24.4	49.6	50.4	75.6
680	27.4	46.2	53.8	72.6
690	27.4	59	41	72.6
700	29.6	59.8	40.2	70.4
710	23.4	63.6	36.4	76.6
720	29.4	67.8	32.2	70.6
730	26	67.8	32.2	74
740	24.4	70.8	29.2	75.6
750	25.8	72	28	74.2
760	23.2	74.8	25.2	76.8
770	19.8	72	28	80.2
780	20.6	76	24	79.4
790	21.2	76.6	23.4	78.8
800	15.4	76.2	23.8	84.6
810	16.6	79.4	20.6	83.4
820	21	79.2	20.8	79
830	18.8	83.4	16.6	81.2
840	21	83.2	16.8	79
850	17.8	83.6	16.4	82.2
860	13.2	79.6	20.4	86.8
870	18	85.4	14.6	82
880	16.4	85	15	83.6
890	14.2	88.8	11.2	85.8
900	15	84.6	15.4	85
910	16.2	91	9	83.8
920	11.2	84.4	15.6	88.8
930	15.4	91.2	8.8	84.6
940	9.2	85.6	14.4	90.8
950	13.8	88.6	11.4	86.2
960	16.6	91.2	8.8	83.4
970	8.6	85.8	14.2	91.4
980	20.8	96.2	3.8	79.2
990	11.2	92	8	88.8
1000	16.8	94.6	5.4	83.2
1010	10.4	91.8	8.2	89.6
1020	7.4	90.2	9.8	92.6
1030	8.6	91.6	8.4	91.4
1040	5	85	15	95
1050	8.6	93.4	6.6	91.4
1060	9.8	91.4	8.6	90.2
1070	11.2	94.4	5.6	88.8
1080	15.6	96.2	3.8	84.4
1090	8	95	5	92
1100	7.4	94.8	5.2	92.6
1110	6.6	94.8	5.2	93.4
1120	2.2	88.6	11.4	97.8
1130	9.6	96.4	3.6	90.4
1140	4.6	92.8	7.2	95.4
1150	7.6	94.6	5.4	92.4
1160	4.6	95.2	4.8	95.4
1170	9	96.2	3.8	91
1180	6	96.6	3.4	94
1190	8.8	96.4	3.6	91.2
1200	6	97	3	94
1210	6.2	96	4	93.8
1220	5.8	97.4	2.6	94.2
1230	5	98.4	1.6	95
1240	7.4	99	1	92.6
1250	3	94	6	97
1260	3.8	95.6	4.4	96.2
1270	6	98.4	1.6	94
1280	5	95.4	4.6	95
1290	8.6	99.4	0.6	91.4
1300	7.2	98.4	1.6	92.8
1310	5.4	97.8	2.2	94.6
1320	4.4	97.6	2.4	95.6
1330	7.6	97.2	2.8	92.4
1340	3	93.8	6.2	97
1350	3.4	96.4	3.6	96.6
1360	3.2	98.4	1.6	96.8
1370	7	97.2	2.8	93
1380	8.4	98.4	1.6	91.6
1390	3	98	2	97
1400	3	97.4	2.6	97
1410	2.4	97.2	2.8	97.6
1420	5.2	99.6	0.4	94.8
1430	5	99.4	0.6	95
1440	4.4	98.6	1.4	95.6
1450	3.8	96.8	3.2	96.2
1460	2.6	96.4	3.6	97.4
1470	2.2	96.2	3.8	97.8
1480	11.2	99.8	0.2	88.8
1490	2.6	99	1	97.4
1500	2.6	98.6	1.4	97.4
1510	3.2	98.6	1.4	96.8
1520	1.4	98.2	1.8	98.6
1530	2.6	99	1	97.4
1540	5	99.2	0.8	95
1550	2.6	99	1	97.4
1560	5.2	99.4	0.6	94.8
1570	4.2	98.6	1.4	95.8
1580	4	98.8	1.2	96
1590	1.8	99	1	98.2
1600	1.6	97.8	2.2	98.4
1610	1.8	97.4	2.6	98.2
1620	2.2	98.6	1.4	97.8
1630	2.4	98.8	1.2	97.6
1640	1.8	98	2	98.2
1650	4.6	98.4	1.6	95.4
1660	5.2	99.4	0.6	94.8
1670	0.8	97.6	2.4	99.2
1680	6.2	99.4	0.6	93.8
1690	2	98.4	1.6	98
1700	0.8	98.6	1.4	99.2
1710	1.4	99	1	98.6
1720	1.6	99.6	0.4	98.4
1730	2	98.6	1.4	98
1740	2	98.2	1.8	98
1750	1.6	97.8	2.2	98.4
1760	2.2	99	1	97.8
1770	1.8	97.8	2.2	98.2
1780	2.8	99	1	97.2
1790	2.6	99.8	0.2	97.4
1800	2.4	99	1	97.6
1810	1.8	99.6	0.4	98.2
1820	1.4	99.2	0.8	98.6
1830	2.4	99.6	0.4	97.6
1840	2	99.4	0.6	98
1850	1.4	98.8	1.2	98.6
1860	1.8	99.6	0.4	98.2
1870	1.6	98.4	1.6	98.4
1880	2	99.2	0.8	98
1890	2.2	99.4	0.6	97.8
1900	1.8	98.4	1.6	98.2
1910	2.2	99	1	97.8
1920	1.2	98.8	1.2	98.8
1930	1.8	99.6	0.4	98.2
1940	1.2	99	1	98.8
1950	0.6	99.2	0.8	99.4
1960	0.2	97.8	2.2	99.8
1970	3.4	99.6	0.4	96.6
1980	2.2	99.8	0.2	97.8
1990	0.8	99	1	99.2
2000	0.2	99.6	0.4	99.8
2010	1.4	99.6	0.4	98.6
2020	1.4	99.2	0.8	98.6
2030	0.2	98.4	1.6	99.8
2040	1	98.6	1.4	99
2050	2.6	100	0	97.4
