t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0	99.8	0.2	100
11	0	100	0	100
12	0	100	0	100
13	0	100	0	100
14	0	100	0	100
15	0	100	0	100
16	0	100	0	100
17	0	100	0	100
18	0	100	0	100
19	0	99	1	100
20	0	99.2	0.8	100
21	0	98.2	1.8	100
22	0	98.4	1.6	100
23	0	97.2	2.8	100
24	0.2	98	2	99.8
25	0	96.8	3.2	100
26	0	95	5	100
27	0	95.6	4.4	100
28	0	94	6	100
29	0.2	97	3	99.8
30	0	94	6	100
31	0	92	8	100
32	0	92.4	7.6	100
33	0	88.8	11.2	100
34	0	92.4	7.6	100
35	0	88.6	11.4	100
36	0	87	13	100
37	0	84.6	15.4	100
38	0	83.4	16.6	100
39	0	84.2	15.8	100
40	0	84.2	15.8	100
41	0	78.6	21.4	100
42	0	74.4	25.6	100
43	0	72.2	27.8	100
44	0.2	73.2	26.8	99.8
45	0	72.4	27.6	100
46	0	71	29	100
47	0	64.6	35.4	100
48	0	65.2	34.8	100
49	0	62.4	37.6	100
50	0	61.4	38.6	100
51	0	58.2	41.8	100
52	0	57.6	42.4	100
53	0.2	56.6	43.4	99.8
54	0	52.4	47.6	100
55	0	47.2	52.8	100
56	0	44.4	55.6	100
57	0	42.2	57.8	100
58	0	41.6	58.4	100
59	0	42.4	57.6	100
60	0	37.4	62.6	100
61	0	36.8	63.2	100
62	0	30.8	69.2	100
63	0	30.6	69.4	100
64	0	25.4	74.6	100
65	0	25.4	74.6	100
66	0	26	74	100
67	0	20.4	79.6	100
68	0.2	19.4	80.6	99.8
69	0	17.4	82.6	100
70	0	17.2	82.8	100
71	0	14	86	100
72	0	15.2	84.8	100
73	0	12.4	87.6	100
74	0	11.8	88.2	100
75	0	10.6	89.4	100
76	0	10.2	89.8	100
77	0	6.2	93.8	100
78	0	6.4	93.6	100
79	0.2	7	93	99.8
80	0	4.6	95.4	100
81	0.2	4	96	99.8
82	0.2	5.4	94.6	99.8
83	0.4	4.4	95.6	99.6
84	0	4.4	95.6	100
85	0.2	2.8	97.2	99.8
86	0	2.4	97.6	100
87	0.2	2.8	97.2	99.8
88	0	2	98	100
89	0	1.8	98.2	100
90	0	1.6	98.4	100
91	0	1.6	98.4	100
92	0	1.8	98.2	100
93	0	1.2	98.8	100
94	0	1.2	98.8	100
95	0	1.4	98.6	100
96	0	0.8	99.2	100
97	0	0.2	99.8	100
98	0	1	99	100
99	0	0.2	99.8	100
100	0	0.4	99.6	100
101	0	0.2	99.8	100
102	0	0.2	99.8	100
103	0	0	100	100
104	0	0.2	99.8	100
105	0.2	0	100	99.8
106	0	0.2	99.8	100
107	0	0	100	100
108	0.4	0	100	99.6
109	0	0.2	99.8	100
110	0	0	100	100
111	0	0.2	99.8	100
112	0.4	0	100	99.6
113	0	0	100	100
114	0	0	100	100
115	0	0	100	100
116	0	0	100	100
117	0	0	100	100
118	0.2	0	100	99.8
119	0	0	100	100
120	0	0.2	99.8	100
121	0	0	100	100
122	0	0	100	100
123	0	0	100	100
124	0.2	0	100	99.8
125	0	0	100	100
126	0	0	100	100
127	0.2	0	100	99.8
128	0	0	100	100
129	0	0	100	100
130	0	0	100	100
131	0	0	100	100
132	0	0	100	100
133	0	0	100	100
134	0	0	100	100
135	0.4	0	100	99.6
136	0	0	100	100
137	0	0	100	100
138	0	0	100	100
139	0	0	100	100
140	0	0	100	100
141	0	0	100	100
142	0	0	100	100
143	0.2	0	100	99.8
144	0	0	100	100
145	0	0	100	100
146	0.2	0	100	99.8
147	0	0	100	100
148	0.2	0	100	99.8
149	0	0	100	100
150	0.2	0	100	99.8
