t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0	100	0	100
11	0	100	0	100
12	0	100	0	100
13	0	99.8	0.2	100
14	0	100	0	100
15	0	99.2	0.8	100
16	0	99.2	0.8	100
17	0	98.6	1.4	100
18	0.2	96.8	3.2	99.8
19	0	96.6	3.4	100
20	0	95.8	4.2	100
21	0	95.2	4.8	100
22	0	94	6	100
23	0	92	8	100
24	0	91.6	8.4	100
25	0	90.4	9.6	100
26	0	86.2	13.8	100
27	0.2	87.6	12.4	99.8
28	0	86.4	13.6	100
29	0	82.8	17.2	100
30	0	78	22	100
31	0	81.4	18.6	100
32	0	75.8	24.2	100
33	0	74.2	25.8	100
34	0.2	71.4	28.6	99.8
35	0	67.8	32.2	100
36	0	66.4	33.6	100
37	0.2	59.8	40.2	99.8
38	0.2	57.2	42.8	99.8
39	0	54.8	45.2	100
40	0	51.8	48.2	100
41	0	44.4	55.6	100
42	0	46.6	53.4	100
43	0	41.8	58.2	100
44	0	42.2	57.8	100
45	0	35.2	64.8	100
46	0	35	65	100
47	0	29.2	70.8	100
48	0	30.4	69.6	100
49	0	25.2	74.8	100
50	0	24.6	75.4	100
51	0.2	22.4	77.6	99.8
52	0	14.8	85.2	100
53	0.2	16.4	83.6	99.8
54	0	15.4	84.6	100
55	0	13.2	86.8	100
56	0	12.2	87.8	100
57	0.2	14.6	85.4	99.8
58	0	8	92	100
59	0	8.6	91.4	100
60	0.2	6.4	93.6	99.8
61	0	4	96	100
62	0	5.8	94.2	100
63	0	4	96	100
64	0.2	4.8	95.2	99.8
65	0	3.2	96.8	100
66	0	1.6	98.4	100
67	0.2	2	98	99.8
68	0	1.6	98.4	100
69	0	0.8	99.2	100
70	0	0.4	99.6	100
71	0	1.2	98.8	100
72	0.4	0.8	99.2	99.6
73	0	0	100	100
74	0	0.8	99.2	100
75	0	0.8	99.2	100
76	0.2	0	100	99.8
77	0	0.6	99.4	100
78	0	0.4	99.6	100
79	0	0.2	99.8	100
80	0	0.4	99.6	100
81	0	0	100	100
82	0	0	100	100
83	0	0	100	100
84	0	0	100	100
85	0	0	100	100
86	0.2	0	100	99.8
87	0	0	100	100
88	0	0	100	100
89	0.4	0	100	99.6
90	0	0	100	100
91	0	0	100	100
92	0	0	100	100
93	0	0	100	100
94	0	0	100	100
95	0	0	100	100
96	0.2	0	100	99.8
97	0	0	100	100
98	0	0	100	100
99	0	0	100	100
100	0	0	100	100
101	0	0	100	100
102	0	0	100	100
103	0.2	0	100	99.8
104	0	0	100	100
105	0.2	0	100	99.8
106	0.2	0	100	99.8
107	0.2	0	100	99.8
108	0.2	0	100	99.8
109	0	0	100	100
110	0	0	100	100
111	0.4	0	100	99.6
112	0	0	100	100
113	0.2	0	100	99.8
114	0	0	100	100
115	0	0	100	100
116	0	0	100	100
117	0	0	100	100
118	0	0	100	100
119	0	0	100	100
120	0	0	100	100
121	0	0	100	100
122	0.2	0	100	99.8
123	0	0	100	100
124	0.4	0	100	99.6
125	0	0	100	100
126	0	0	100	100
127	0	0	100	100
128	0	0	100	100
129	0	0	100	100
130	0	0	100	100
131	0	0	100	100
132	0	0	100	100
133	0	0	100	100
134	0	0	100	100
135	0	0	100	100
136	0	0	100	100
137	0	0	100	100
138	0.2	0	100	99.8
139	0	0	100	100
140	0	0	100	100
141	0	0	100	100
142	0	0	100	100
143	0	0	100	100
144	0	0	100	100
145	0	0	100	100
146	0.2	0	100	99.8
147	0	0	100	100
148	0	0	100	100
149	0	0	100	100
150	0	0	100	100
