t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0	100	0	100
11	0	100	0	100
12	0	100	0	100
13	0	100	0	100
14	0	100	0	100
15	0	100	0	100
16	0	100	0	100
17	0	100	0	100
18	0	100	0	100
19	0	100	0	100
20	0	100	0	100
21	0	100	0	100
22	0	100	0	100
23	0	100	0	100
24	0	100	0	100
25	0	100	0	100
26	0	100	0	100
27	0	100	0	100
28	0	100	0	100
29	0	100	0	100
30	0	100	0	100
31	0	100	0	100
32	0	100	0	100
33	0	100	0	100
34	0	100	0	100
35	0	100	0	100
36	0	100	0	100
37	0	100	0	100
38	0	100	0	100
39	0	100	0	100
40	0	100	0	100
41	0	100	0	100
42	0	100	0	100
43	0	100	0	100
44	0	100	0	100
45	0	100	0	100
46	0	100	0	100
47	0	100	0	100
48	0	97.8	2.2	100
49	0	98.6	1.4	100
50	0	97.6	2.4	100
51	0	97.6	2.4	100
52	0	98	2	100
53	0	97.6	2.4	100
54	0	97.8	2.2	100
55	0	95.4	4.6	100
56	0.2	96.2	3.8	99.8
57	0.2	96.6	3.4	99.8
58	0	93.6	6.4	100
59	0	94.4	5.6	100
60	0.2	96.6	3.4	99.8
61	0	96.8	3.2	100
62	0	94.6	5.4	100
63	0.2	93.6	6.4	99.8
64	0	95	5	100
65	0	95.4	4.6	100
66	0.2	93.6	6.4	99.8
67	0	91.4	8.6	100
68	0	91.6	8.4	100
69	0	95	5	100
70	0	89.6	10.4	100
71	0	91.4	8.6	100
72	0	89.6	10.4	100
73	0	91.6	8.4	100
74	0	91.2	8.8	100
75	0.2	90.2	9.8	99.8
76	0	88.6	11.4	100
77	0	85.8	14.2	100
78	0.2	85.6	14.4	99.8
79	0	84.4	15.6	100
80	0	85.6	14.4	100
81	0	83.4	16.6	100
82	0	84.8	15.2	100
83	0	81.8	18.2	100
84	0	83	17	100
85	0	79.8	20.2	100
86	0	81.2	18.8	100
87	0.2	80.6	19.4	99.8
88	0	78.6	21.4	100
89	0	75.8	24.2	100
90	0.2	75.6	24.4	99.8
91	0	75.6	24.4	100
92	0	73	27	100
93	0	73.4	26.6	100
94	0	73.2	26.8	100
95	0	70.6	29.4	100
96	0	69.8	30.2	100
97	0	68	32	100
98	0	67.8	32.2	100
99	0.2	67	33	99.8
100	0	68.8	31.2	100
101	0	67.6	32.4	100
102	0	65.4	34.6	100
103	0	61.6	38.4	100
104	0.2	60.4	39.6	99.8
105	0	58.2	41.8	100
106	0	56.2	43.8	100
107	0	61.2	38.8	100
108	0.2	56.4	43.6	99.8
109	0	56	44	100
110	0	54.6	45.4	100
111	0	53.2	46.8	100
112	0	52.2	47.8	100
113	0	47	53	100
114	0	49	51	100
115	0	45	55	100
116	0	41.2	58.8	100
117	0	45.6	54.4	100
118	0	41.8	58.2	100
119	0	37.4	62.6	100
120	0	41.6	58.4	100
121	0	42.4	57.6	100
122	0	38.6	61.4	100
123	0	41	59	100
124	0	34.6	65.4	100
125	0	37	63	100
126	0	36.8	63.2	100
127	0	35.2	64.8	100
128	0	34.2	65.8	100
129	0	30.8	69.2	100
130	0	31.2	68.8	100
131	0	31.8	68.2	100
132	0	28.6	71.4	100
133	0	27.2	72.8	100
134	0	31	69	100
135	0	25.4	74.6	100
136	0	23.8	76.2	100
137	0	25.6	74.4	100
138	0	25	75	100
139	0	24.2	75.8	100
140	0	22.4	77.6	100
141	0	19	81	100
142	0	19.6	80.4	100
143	0	21	79	100
144	0	14.6	85.4	100
145	0	16	84	100
146	0.2	17.2	82.8	99.8
147	0	14	86	100
148	0	17.2	82.8	100
149	0	14	86	100
150	0	14.4	85.6	100
