t	FPR	FNR	TRP	TNR
100	2	0	100	98
110	2.6	0	100	97.4
120	3.6	0	100	96.4
130	1.4	0	100	98.6
140	2.8	0	100	97.2
150	1.8	0	100	98.2
160	3.4	0	100	96.6
170	2	0	100	98
180	2.4	0	100	97.6
190	2.2	0	100	97.8
200	2	0	100	98
210	1.8	0	100	98.2
220	2	0	100	98
230	1.2	0	100	98.8
240	1.8	0	100	98.2
250	1.6	0	100	98.4
260	1.8	0	100	98.2
270	1.4	0	100	98.6
280	1.6	0	100	98.4
290	2.8	0	100	97.2
300	1.4	0	100	98.6
310	1.4	0	100	98.6
320	0.8	0	100	99.2
330	2.6	0	100	97.4
340	1.8	0	100	98.2
350	1.2	0	100	98.8
360	2.2	0	100	97.8
370	1.8	0	100	98.2
380	0.8	0	100	99.2
390	1.6	0	100	98.4
400	2	0	100	98
410	2.2	0	100	97.8
420	1.2	0	100	98.8
430	2.4	0	100	97.6
440	2.4	0	100	97.6
450	2.6	0	100	97.4
460	0.6	0	100	99.4
470	1.8	0	100	98.2
480	1.8	0	100	98.2
490	1.4	0	100	98.6
500	2	0	100	98
510	2	0	100	98
520	2.6	0	100	97.4
530	2.6	0	100	97.4
540	1.8	0	100	98.2
550	2.2	0	100	97.8
560	1.6	0	100	98.4
570	3.2	0	100	96.8
580	2.6	0	100	97.4
590	2.6	0	100	97.4
600	2.2	0	100	97.8
610	1.4	0	100	98.6
620	2	0	100	98
630	3	0	100	97
640	2.2	0	100	97.8
650	1.4	0	100	98.6
660	1.8	0	100	98.2
670	2.4	0	100	97.6
680	2.4	0	100	97.6
690	2.4	0	100	97.6
700	1.2	0	100	98.8
710	3	0	100	97
720	1.6	0	100	98.4
730	1.6	0.2	99.8	98.4
740	1.4	0	100	98.6
750	1.2	0.4	99.6	98.8
760	1.6	0	100	98.4
770	2	0.2	99.8	98
780	1.8	0.2	99.8	98.2
790	1.6	0.2	99.8	98.4
800	1	0.6	99.4	99
810	1.6	0.2	99.8	98.4
820	2.4	0.4	99.6	97.6
830	1.4	0.2	99.8	98.6
840	1.6	0.6	99.4	98.4
850	2.2	1.6	98.4	97.8
860	1.8	1	99	98.2
870	1.6	2.2	97.8	98.4
880	2.8	0.6	99.4	97.2
890	2.6	2.6	97.4	97.4
900	2.2	1.4	98.6	97.8
910	1.4	2.6	97.4	98.6
920	2.8	2.8	97.2	97.2
930	2.8	3.8	96.2	97.2
940	1.6	2.6	97.4	98.4
950	2	4.8	95.2	98
960	2.2	4.2	95.8	97.8
970	2	4.8	95.2	98
980	2.4	4.8	95.2	97.6
