t	FPR	FNR	TRP	TNR
100	1.6	0	100	98.4
110	4	0	100	96
120	3.6	0	100	96.4
130	1.6	0	100	98.4
140	2.2	0	100	97.8
150	1.6	0	100	98.4
160	2.4	0	100	97.6
170	3.8	0	100	96.2
180	2.4	0	100	97.6
190	2.2	0	100	97.8
200	3.4	0	100	96.6
210	3.2	0	100	96.8
220	2.6	0	100	97.4
230	2.4	0	100	97.6
240	2.4	0	100	97.6
250	2	0	100	98
260	2	0	100	98
270	1.6	0	100	98.4
280	2	0	100	98
290	2.6	0	100	97.4
300	2.4	0	100	97.6
310	2.6	0	100	97.4
320	1.8	0	100	98.2
330	3.4	0	100	96.6
340	3	0	100	97
350	2.2	0	100	97.8
360	1.6	0	100	98.4
370	2.6	0	100	97.4
380	2	0	100	98
390	2.6	0	100	97.4
400	1.2	0	100	98.8
410	2.8	0	100	97.2
420	1.8	0	100	98.2
430	3.2	0	100	96.8
440	2.6	0	100	97.4
450	1.6	0	100	98.4
460	2	0	100	98
470	2	0	100	98
480	1.6	0	100	98.4
490	2.4	0	100	97.6
500	3	0	100	97
510	3.6	0	100	96.4
520	0.8	0	100	99.2
530	1.6	0	100	98.4
540	2.4	0	100	97.6
550	2.2	0	100	97.8
560	2.8	0	100	97.2
570	2	0	100	98
580	3	0	100	97
590	3	0	100	97
600	1.8	0	100	98.2
610	1.6	0	100	98.4
620	1.8	0	100	98.2
630	3.4	0	100	96.6
640	2.6	0	100	97.4
650	2.2	0	100	97.8
660	2	0	100	98
670	2.8	0	100	97.2
680	1.8	0	100	98.2
690	2.8	0	100	97.2
700	2.4	0	100	97.6
710	1.4	0	100	98.6
720	1.6	0	100	98.4
730	2	0	100	98
740	2.4	0	100	97.6
750	2.4	0	100	97.6
760	2.6	0	100	97.4
770	1.6	0	100	98.4
780	3	0	100	97
790	3.2	0	100	96.8
800	2.4	0	100	97.6
810	2.4	0	100	97.6
820	2	0	100	98
830	2.2	0	100	97.8
840	2.4	0	100	97.6
850	4.2	0	100	95.8
860	1.4	0	100	98.6
870	2.8	0	100	97.2
880	1.6	0	100	98.4
890	4.6	0	100	95.4
900	2	0	100	98
910	2.4	0	100	97.6
920	2.4	0	100	97.6
930	1.6	0	100	98.4
940	2	0	100	98
950	1.6	0	100	98.4
960	2	0	100	98
970	1.8	0	100	98.2
980	2.2	0	100	97.8
990	3	0	100	97
1000	2.4	0	100	97.6
1010	3.6	0	100	96.4
1020	2.6	0	100	97.4
1030	2.6	0	100	97.4
1040	1.4	0	100	98.6
1050	3.4	0	100	96.6
1060	3.4	0	100	96.6
1070	3.8	0.2	99.8	96.2
1080	2	0	100	98
1090	2	0	100	98
1100	3.4	0	100	96.6
1110	4	0	100	96
1120	2	0	100	98
1130	2.6	0	100	97.4
1140	3.4	0	100	96.6
1150	3.6	0	100	96.4
1160	3.2	0	100	96.8
1170	1.4	0	100	98.6
1180	2.4	0	100	97.6
1190	2	0	100	98
1200	3.2	0	100	96.8
1210	2.8	0.2	99.8	97.2
1220	2.4	0.4	99.6	97.6
1230	1.2	0	100	98.8
1240	2.2	0.2	99.8	97.8
1250	1.6	0.2	99.8	98.4
1260	2.8	0.2	99.8	97.2
1270	2.8	0	100	97.2
1280	3.4	0	100	96.6
1290	3.6	0	100	96.4
1300	3.2	0	100	96.8
1310	2.4	0	100	97.6
1320	3.4	0	100	96.6
1330	2.2	0.6	99.4	97.8
1340	3	0.4	99.6	97
1350	2.4	1	99	97.6
1360	2.8	0.6	99.4	97.2
1370	1.8	0.6	99.4	98.2
1380	3	0.8	99.2	97
1390	1.6	0.4	99.6	98.4
1400	2.4	0.2	99.8	97.6
1410	1.6	0.8	99.2	98.4
1420	1.8	0.4	99.6	98.2
1430	3.4	1	99	96.6
1440	2.4	1.6	98.4	97.6
1450	2.4	1.4	98.6	97.6
1460	2.2	1	99	97.8
1470	3	0.8	99.2	97
1480	2.4	1.4	98.6	97.6
1490	1.8	2.2	97.8	98.2
1500	2	1.4	98.6	98
1510	1.2	1.2	98.8	98.8
1520	2	2.4	97.6	98
1530	1.8	2	98	98.2
1540	4	4	96	96
1550	1.8	3	97	98.2
1560	1.8	4	96	98.2
1570	2.2	3.2	96.8	97.8
1580	2	3.8	96.2	98
1590	2	4	96	98
1600	1.2	4.4	95.6	98.8
1610	2	4.8	95.2	98
1620	3	4.2	95.8	97
1630	2.4	4.8	95.2	97.6
1640	1.6	7.8	92.2	98.4
1650	2	7.4	92.6	98
1660	3.2	8.2	91.8	96.8
1670	1.6	7.2	92.8	98.4
1680	1.6	6.8	93.2	98.4
1690	1.8	7	93	98.2
1700	1.6	6.4	93.6	98.4
1710	2.4	6.2	93.8	97.6
1720	2.4	8.4	91.6	97.6
1730	2.4	7.6	92.4	97.6
1740	2.4	10.6	89.4	97.6
1750	1.4	7.6	92.4	98.6
1760	1.2	11.4	88.6	98.8
1770	2.8	13.8	86.2	97.2
1780	2.4	12	88	97.6
1790	2.4	12.2	87.8	97.6
1800	3.2	10.8	89.2	96.8
1810	0.8	10	90	99.2
1820	3	11.4	88.6	97
1830	2.6	14.6	85.4	97.4
1840	1.8	17	83	98.2
1850	2.8	16.8	83.2	97.2
1860	1.8	15	85	98.2
1870	2.6	16	84	97.4
1880	2	16.6	83.4	98
1890	1.8	15.2	84.8	98.2
1900	0.8	17.4	82.6	99.2
1910	2	17.8	82.2	98
1920	1	19.2	80.8	99
1930	1.6	17	83	98.4
1940	1.4	16.6	83.4	98.6
1950	0.6	19.6	80.4	99.4
1960	1	20.4	79.6	99
1970	2.2	19.6	80.4	97.8
1980	1.8	21.4	78.6	98.2
1990	1.8	24.2	75.8	98.2
2000	2	23.8	76.2	98
2010	2	20.2	79.8	98
2020	1.8	24.2	75.8	98.2
2030	1.6	27.6	72.4	98.4
2040	1.2	27.4	72.6	98.8
2050	1.4	26.6	73.4	98.6
