t	FPR	FNR	TRP	TNR
100	2.2	0	100	97.8
110	0.8	0	100	99.2
120	2	0	100	98
130	1.6	0	100	98.4
140	1.6	0	100	98.4
150	0.2	0	100	99.8
160	2.4	0	100	97.6
170	0.8	0	100	99.2
180	2.4	0	100	97.6
190	1.6	0	100	98.4
200	2.8	0	100	97.2
210	2	0	100	98
220	1.6	0	100	98.4
230	1.2	0	100	98.8
240	1.2	0	100	98.8
250	2.2	0	100	97.8
260	1.6	0	100	98.4
270	2	0	100	98
280	1	0	100	99
290	1.2	0	100	98.8
300	2.2	0	100	97.8
310	2.4	0	100	97.6
320	1	0	100	99
330	2	0	100	98
340	2.2	0	100	97.8
350	1.8	0	100	98.2
360	2.2	0	100	97.8
370	1.8	0	100	98.2
380	1	0	100	99
390	1	0	100	99
400	1.2	0	100	98.8
410	1.8	0	100	98.2
420	1	0	100	99
430	1	0	100	99
440	1.6	0.2	99.8	98.4
450	2	0.2	99.8	98
460	2	0.2	99.8	98
470	1.6	0.4	99.6	98.4
480	1.4	0.2	99.8	98.6
490	1.2	0.2	99.8	98.8
500	1.2	1.2	98.8	98.8
510	0.6	1	99	99.4
520	1.8	1.6	98.4	98.2
530	1	1.8	98.2	99
540	1.8	1.8	98.2	98.2
550	1.4	2.2	97.8	98.6
560	1.4	4.2	95.8	98.6
570	0.8	4.8	95.2	99.2
580	1.6	6.6	93.4	98.4
590	0.6	5.2	94.8	99.4
600	1.4	7.6	92.4	98.6
610	2.4	7.6	92.4	97.6
620	1.6	9.4	90.6	98.4
630	1	10.6	89.4	99
640	2.2	11.8	88.2	97.8
650	1.6	13.4	86.6	98.4
660	1.4	14	86	98.6
670	1.2	17	83	98.8
680	1.8	13.8	86.2	98.2
690	1.8	20	80	98.2
700	0.4	16.4	83.6	99.6
710	1.2	21	79	98.8
720	1.4	19.8	80.2	98.6
730	0.8	27.2	72.8	99.2
740	0.8	23	77	99.2
750	2.2	31.2	68.8	97.8
760	1	29	71	99
770	0.4	28.2	71.8	99.6
780	1	37	63	99
790	0.8	35.8	64.2	99.2
800	0.4	35.8	64.2	99.6
810	0.8	38.8	61.2	99.2
820	1.2	41.6	58.4	98.8
830	1	44	56	99
840	1.2	40.4	59.6	98.8
850	1	45.6	54.4	99
860	0.6	44.4	55.6	99.4
870	0.6	45.8	54.2	99.4
880	0.6	48	52	99.4
890	0.6	54.2	45.8	99.4
900	0.2	51.8	48.2	99.8
910	1	53.8	46.2	99
920	0.4	52.6	47.4	99.6
930	1	59	41	99
940	0	58.8	41.2	100
950	0.6	65.8	34.2	99.4
960	0.2	63.6	36.4	99.8
970	0.2	63.2	36.8	99.8
980	0.8	62.8	37.2	99.2
990	0.2	62.8	37.2	99.8
1000	0.8	64.8	35.2	99.2
1010	0.2	65.2	34.8	99.8
1020	0.2	68	32	99.8
1030	0.6	69	31	99.4
1040	0.2	69.6	30.4	99.8
1050	0.4	70.6	29.4	99.6
1060	1.2	69.8	30.2	98.8
1070	1.4	73.8	26.2	98.6
1080	0.6	72.2	27.8	99.4
1090	0.2	76.2	23.8	99.8
1100	0.6	78.6	21.4	99.4
1110	0.6	75.4	24.6	99.4
1120	0	75.4	24.6	100
1130	0	78.4	21.6	100
1140	1	75.2	24.8	99
1150	1.2	76.2	23.8	98.8
1160	0.6	82	18	99.4
1170	0.4	81	19	99.6
1180	0.6	82.4	17.6	99.4
1190	0.8	80.8	19.2	99.2
1200	0.2	83	17	99.8
1210	0.6	86	14	99.4
1220	0	83.2	16.8	100
1230	0	85.4	14.6	100
1240	0.4	86	14	99.6
1250	0.2	80.2	19.8	99.8
1260	0.2	85.2	14.8	99.8
1270	0.4	86.2	13.8	99.6
1280	0.2	85.8	14.2	99.8
1290	0	86.2	13.8	100
1300	0.8	89.4	10.6	99.2
1310	0.2	87.6	12.4	99.8
1320	0	89.6	10.4	100
1330	0.2	86.2	13.8	99.8
1340	0.8	87.6	12.4	99.2
1350	0.8	89.4	10.6	99.2
1360	0.6	89.6	10.4	99.4
1370	0.4	87	13	99.6
1380	0.4	89	11	99.6
1390	0.4	90.2	9.8	99.6
1400	0.4	91.6	8.4	99.6
1410	0	93	7	100
1420	0.4	92.2	7.8	99.6
1430	0.6	93.8	6.2	99.4
1440	0	92.2	7.8	100
1450	0	91.6	8.4	100
1460	0.4	89.8	10.2	99.6
1470	0	91	9	100
1480	0.2	92.6	7.4	99.8
1490	0.4	94.2	5.8	99.6
1500	0	92.8	7.2	100
1510	0	91.6	8.4	100
1520	0.2	94.4	5.6	99.8
1530	0.2	92.6	7.4	99.8
1540	0	94.4	5.6	100
1550	0.8	95.6	4.4	99.2
1560	0	94.4	5.6	100
1570	0.6	94.6	5.4	99.4
1580	0	94.2	5.8	100
1590	0.2	95.2	4.8	99.8
1600	0	93.8	6.2	100
1610	0	94	6	100
1620	0.2	93.8	6.2	99.8
1630	0.2	96.2	3.8	99.8
1640	0	95.4	4.6	100
1650	0	94.4	5.6	100
1660	0	94.4	5.6	100
1670	0	95.8	4.2	100
1680	0	94.8	5.2	100
1690	0.4	95.4	4.6	99.6
1700	0.2	96	4	99.8
1710	0.4	96.6	3.4	99.6
1720	0.4	97.2	2.8	99.6
1730	0.2	95.4	4.6	99.8
1740	0	95	5	100
1750	0.2	95.2	4.8	99.8
1760	0.2	96.8	3.2	99.8
1770	0.2	95.4	4.6	99.8
1780	0	96.4	3.6	100
1790	0.2	97.4	2.6	99.8
1800	0.2	97.2	2.8	99.8
1810	0	97.6	2.4	100
1820	0.4	97.4	2.6	99.6
1830	0.6	96.2	3.8	99.4
1840	0.4	98.4	1.6	99.6
1850	0	96.8	3.2	100
1860	0.2	96.6	3.4	99.8
1870	0	95.8	4.2	100
1880	0	97.8	2.2	100
1890	0.4	97.4	2.6	99.6
1900	0.2	97	3	99.8
1910	0.4	96.6	3.4	99.6
1920	0.2	97.4	2.6	99.8
1930	0	96.4	3.6	100
1940	0	97.6	2.4	100
1950	0.2	98.4	1.6	99.8
1960	0	96.4	3.6	100
1970	0.4	98.4	1.6	99.6
1980	0.2	97.4	2.6	99.8
1990	0	97.4	2.6	100
2000	0	97.8	2.2	100
2010	0.6	98.4	1.6	99.4
2020	0	98.4	1.6	100
2030	0	97.2	2.8	100
2040	0	98.6	1.4	100
2050	0	100	0	100
