t	FPR	FNR	TRP	TNR
100	0	0	100	100
110	0	0	100	100
120	0	0	100	100
130	0	0	100	100
140	0	0	100	100
150	0	0	100	100
160	0.2	0	100	99.8
170	0	0	100	100
180	0	0	100	100
190	0	0	100	100
200	0	0	100	100
210	0	0	100	100
220	0	0	100	100
230	0	0	100	100
240	0.2	0	100	99.8
250	0	0	100	100
260	0	0	100	100
270	0	0	100	100
280	0	0	100	100
290	0	0	100	100
300	0	0	100	100
310	0.2	0	100	99.8
320	0	0	100	100
330	0	0	100	100
340	0	0	100	100
350	0	0	100	100
360	0	0	100	100
370	0	0	100	100
380	0	0	100	100
390	0	0	100	100
400	0	0	100	100
410	0	0	100	100
420	0	0	100	100
430	0	0	100	100
440	0.2	0	100	99.8
450	0.2	0	100	99.8
460	0.2	0	100	99.8
470	0	0	100	100
480	0	0	100	100
490	0	0	100	100
500	0	0	100	100
510	0	0	100	100
520	0	0	100	100
530	0	0	100	100
540	0	0	100	100
550	0	0	100	100
560	0	0	100	100
570	0.2	0	100	99.8
580	0	0	100	100
590	0	0	100	100
600	0	0	100	100
610	0.2	0	100	99.8
620	0	0	100	100
630	0	0	100	100
640	0	0	100	100
650	0	0	100	100
660	0	0	100	100
670	0.2	0	100	99.8
680	0	0	100	100
690	0.2	0	100	99.8
700	0	0	100	100
710	0	0	100	100
720	0	0	100	100
730	0	0.2	99.8	100
740	0	0	100	100
750	0.2	0.4	99.6	99.8
760	0	0	100	100
770	0	0.2	99.8	100
780	0	0.2	99.8	100
790	0.2	0.2	99.8	99.8
800	0	0.6	99.4	100
810	0	0.2	99.8	100
820	0	0.4	99.6	100
830	0.2	0.2	99.8	99.8
840	0	0.6	99.4	100
850	0	1.6	98.4	100
860	0	1	99	100
870	0	2.2	97.8	100
880	0	0.6	99.4	100
890	0.2	2.6	97.4	99.8
900	0	1.4	98.6	100
910	0	2.6	97.4	100
920	0	2.8	97.2	100
930	0	3.8	96.2	100
940	0.2	2.6	97.4	99.8
950	0	4.8	95.2	100
960	0	4.2	95.8	100
970	0	4.8	95.2	100
980	0	4.8	95.2	100
990	0	6.8	93.2	100
1000	0.4	6.8	93.2	99.6
1010	0	9	91	100
1020	0	5.4	94.6	100
1030	0	9	91	100
1040	0.2	7.6	92.4	99.8
1050	0	10.4	89.6	100
1060	0	12	88	100
1070	0	12.2	87.8	100
1080	0	13.4	86.6	100
1090	0	13	87	100
1100	0.4	13.6	86.4	99.6
1110	0	14.8	85.2	100
1120	0	17	83	100
1130	0	18.8	81.2	100
1140	0	17.8	82.2	100
1150	0	18	82	100
1160	0	17	83	100
1170	0	23.8	76.2	100
1180	0	18.8	81.2	100
1190	0	24.6	75.4	100
1200	0	25.6	74.4	100
1210	0	22.2	77.8	100
1220	0	23.2	76.8	100
1230	0	24.2	75.8	100
1240	0	27.8	72.2	100
1250	0.2	24.6	75.4	99.8
1260	0	32	68	100
1270	0	30.6	69.4	100
1280	0	33.4	66.6	100
1290	0	30.4	69.6	100
1300	0	32.8	67.2	100
1310	0.2	35	65	99.8
1320	0.2	38.8	61.2	99.8
1330	0	38	62	100
1340	0	39.4	60.6	100
1350	0	39.8	60.2	100
1360	0	44.2	55.8	100
1370	0	43.8	56.2	100
1380	0	43.6	56.4	100
1390	0	40.6	59.4	100
1400	0	48.6	51.4	100
1410	0.2	41.8	58.2	99.8
1420	0	46.2	53.8	100
1430	0	48.6	51.4	100
1440	0.2	49.6	50.4	99.8
1450	0.2	46.6	53.4	99.8
1460	0	52	48	100
1470	0	52	48	100
1480	0	48	52	100
1490	0	53	47	100
1500	0	53	47	100
1510	0	56.2	43.8	100
1520	0.2	55.4	44.6	99.8
1530	0.2	53.6	46.4	99.8
1540	0	56.8	43.2	100
1550	0	57	43	100
1560	0	57.4	42.6	100
1570	0	59.4	40.6	100
1580	0.2	60.4	39.6	99.8
1590	0	59.8	40.2	100
1600	0	61	39	100
1610	0	67.4	32.6	100
1620	0	64.4	35.6	100
1630	0.2	65.6	34.4	99.8
1640	0	65.4	34.6	100
1650	0.2	66	34	99.8
1660	0	70.4	29.6	100
1670	0	66.8	33.2	100
1680	0	65.4	34.6	100
1690	0	70.4	29.6	100
1700	0	70	30	100
1710	0	71.4	28.6	100
1720	0	69.2	30.8	100
1730	0	73.4	26.6	100
1740	0	72.2	27.8	100
1750	0	69.8	30.2	100
1760	0.2	74.8	25.2	99.8
1770	0.2	70	30	99.8
1780	0	74	26	100
1790	0	74.4	25.6	100
1800	0	76.6	23.4	100
1810	0	75.6	24.4	100
1820	0	73.8	26.2	100
1830	0.2	73	27	99.8
1840	0	76.6	23.4	100
1850	0	78.8	21.2	100
1860	0	76.4	23.6	100
1870	0.2	78.8	21.2	99.8
1880	0	75.2	24.8	100
1890	0	80.8	19.2	100
1900	0.4	80.6	19.4	99.6
1910	0	82.6	17.4	100
1920	0	83.8	16.2	100
1930	0.2	81.2	18.8	99.8
1940	0	80.8	19.2	100
1950	0	80.8	19.2	100
1960	0	80	20	100
1970	0	85	15	100
1980	0.2	87.2	12.8	99.8
1990	0	81.2	18.8	100
2000	0	78.8	21.2	100
2010	0	84.2	15.8	100
2020	0	84.4	15.6	100
2030	0	83.8	16.2	100
2040	0	84.6	15.4	100
2050	0	84.2	15.8	100
