t	FPR	FNR	TRP	TNR
100	0	0	100	100
110	0	0	100	100
120	0	0	100	100
130	0.2	0	100	99.8
140	0.2	0	100	99.8
150	0	0	100	100
160	0	0	100	100
170	0	0	100	100
180	0	0	100	100
190	0	0	100	100
200	0	0	100	100
210	0	0	100	100
220	0	0	100	100
230	0	0	100	100
240	0	0	100	100
250	0	0	100	100
260	0	0	100	100
270	0.2	0	100	99.8
280	0	0	100	100
290	0	0	100	100
300	0	0	100	100
310	0	0	100	100
320	0	0	100	100
330	0	0	100	100
340	0	0	100	100
350	0	0	100	100
360	0.2	0	100	99.8
370	0	0	100	100
380	0	0	100	100
390	0	0	100	100
400	0	0	100	100
410	0	0	100	100
420	0	0	100	100
430	0.2	0	100	99.8
440	0	0	100	100
450	0	0	100	100
460	0.2	0	100	99.8
470	0.2	0	100	99.8
480	0	0	100	100
490	0	0	100	100
500	0	0	100	100
510	0	0	100	100
520	0	0	100	100
530	0	0	100	100
540	0	0	100	100
550	0	0	100	100
560	0	0	100	100
570	0	0	100	100
580	0	0	100	100
590	0	0	100	100
600	0.2	0	100	99.8
610	0	0	100	100
620	0.2	0	100	99.8
630	0	0	100	100
640	0	0	100	100
650	0	0	100	100
660	0.2	0	100	99.8
670	0	0	100	100
680	0	0	100	100
690	0.2	0	100	99.8
700	0	0	100	100
710	0	0	100	100
720	0	0	100	100
730	0.2	0	100	99.8
740	0	0	100	100
750	0	0	100	100
760	0.2	0	100	99.8
770	0	0	100	100
780	0	0	100	100
790	0	0	100	100
800	0	0	100	100
810	0.4	0	100	99.6
820	0	0	100	100
830	0	0	100	100
840	0	0	100	100
850	0.2	0	100	99.8
860	0	0	100	100
870	0	0	100	100
880	0	0	100	100
890	0	0	100	100
900	0	0	100	100
910	0	0	100	100
920	0	0	100	100
930	0	0	100	100
940	0	0	100	100
950	0.2	0	100	99.8
960	0	0	100	100
970	0	0	100	100
980	0.4	0	100	99.6
990	0	0	100	100
1000	0	0	100	100
1010	0	0	100	100
1020	0	0	100	100
1030	0	0	100	100
1040	0	0	100	100
1050	0.2	0	100	99.8
1060	0	0	100	100
1070	0	0.2	99.8	100
1080	0	0	100	100
1090	0	0	100	100
1100	0	0	100	100
1110	0	0	100	100
1120	0.2	0	100	99.8
1130	0	0	100	100
1140	0.2	0	100	99.8
1150	0.2	0	100	99.8
1160	0.2	0	100	99.8
1170	0.2	0	100	99.8
1180	0	0	100	100
1190	0	0	100	100
1200	0.4	0	100	99.6
1210	0	0.2	99.8	100
1220	0.2	0.4	99.6	99.8
1230	0	0	100	100
1240	0	0.2	99.8	100
1250	0	0.2	99.8	100
1260	0	0.2	99.8	100
1270	0	0	100	100
1280	0	0	100	100
1290	0	0	100	100
1300	0	0	100	100
1310	0.2	0	100	99.8
1320	0	0	100	100
1330	0.4	0.6	99.4	99.6
1340	0	0.4	99.6	100
1350	0	1	99	100
1360	0	0.6	99.4	100
1370	0	0.6	99.4	100
1380	0	0.8	99.2	100
1390	0	0.4	99.6	100
1400	0	0.2	99.8	100
1410	0	0.8	99.2	100
1420	0	0.4	99.6	100
1430	0	1	99	100
1440	0	1.6	98.4	100
1450	0	1.4	98.6	100
1460	0	1	99	100
1470	0.2	0.8	99.2	99.8
1480	0	1.4	98.6	100
1490	0	2.2	97.8	100
1500	0	1.4	98.6	100
1510	0	1.2	98.8	100
1520	0	2.4	97.6	100
1530	0	2	98	100
1540	0	4	96	100
1550	0.2	3	97	99.8
1560	0	4	96	100
1570	0	3.2	96.8	100
1580	0	3.8	96.2	100
1590	0	4	96	100
1600	0	4.4	95.6	100
1610	0	4.8	95.2	100
1620	0	4.2	95.8	100
1630	0	4.8	95.2	100
1640	0	7.8	92.2	100
1650	0	7.4	92.6	100
1660	0	8.2	91.8	100
1670	0	7.2	92.8	100
1680	0	6.8	93.2	100
1690	0	7	93	100
1700	0	6.4	93.6	100
1710	0	6.2	93.8	100
1720	0.4	8.4	91.6	99.6
1730	0	7.6	92.4	100
1740	0.4	10.6	89.4	99.6
1750	0	7.6	92.4	100
1760	0.2	11.4	88.6	99.8
1770	0	13.8	86.2	100
1780	0	12	88	100
1790	0.2	12.2	87.8	99.8
1800	0	10.8	89.2	100
1810	0	10	90	100
1820	0	11.4	88.6	100
1830	0	14.6	85.4	100
1840	0	17	83	100
1850	0.2	16.8	83.2	99.8
1860	0.2	15	85	99.8
1870	0.2	16	84	99.8
1880	0	16.6	83.4	100
1890	0	15.2	84.8	100
1900	0	17.4	82.6	100
1910	0	17.8	82.2	100
1920	0	19.2	80.8	100
1930	0	17	83	100
1940	0	16.6	83.4	100
1950	0	19.6	80.4	100
1960	0	20.4	79.6	100
1970	0	19.6	80.4	100
1980	0	21.4	78.6	100
1990	0.2	24.2	75.8	99.8
2000	0	23.8	76.2	100
2010	0	20.2	79.8	100
2020	0	24.2	75.8	100
2030	0	27.6	72.4	100
2040	0	27.4	72.6	100
2050	0	26.6	73.4	100
