t	FPR	FNR	TRP	TNR
100	0.2	0	100	99.8
110	0	0	100	100
120	0.2	0	100	99.8
130	0.2	0	100	99.8
140	0	0	100	100
150	0	0	100	100
160	0	0	100	100
170	0	0	100	100
180	0	0	100	100
190	0	0	100	100
200	0	0	100	100
210	0.2	0	100	99.8
220	0	0	100	100
230	0	0	100	100
240	0	0	100	100
250	0	0	100	100
260	0	0	100	100
270	0	0	100	100
280	0	0	100	100
290	0	0	100	100
300	0	0	100	100
310	0.2	0	100	99.8
320	0	0	100	100
330	0	0	100	100
340	0	0	100	100
350	0.2	0	100	99.8
360	0	0	100	100
370	0	0	100	100
380	0	0	100	100
390	0	0	100	100
400	0	0	100	100
410	0.2	0	100	99.8
420	0	0	100	100
430	0	0	100	100
440	0	0.2	99.8	100
450	0	0.2	99.8	100
460	0	0.2	99.8	100
470	0	0.4	99.6	100
480	0	0.2	99.8	100
490	0	0.2	99.8	100
500	0	1.2	98.8	100
510	0	1	99	100
520	0	1.6	98.4	100
530	0	1.8	98.2	100
540	0	1.8	98.2	100
550	0	2.2	97.8	100
560	0	4.2	95.8	100
570	0	4.8	95.2	100
580	0	6.6	93.4	100
590	0	5.2	94.8	100
600	0	7.6	92.4	100
610	0	7.6	92.4	100
620	0	9.4	90.6	100
630	0	10.6	89.4	100
640	0	11.8	88.2	100
650	0.2	13.4	86.6	99.8
660	0.2	14	86	99.8
670	0	17	83	100
680	0	13.8	86.2	100
690	0.2	20	80	99.8
700	0	16.4	83.6	100
710	0	21	79	100
720	0.2	19.8	80.2	99.8
730	0	27.2	72.8	100
740	0	23	77	100
750	0.2	31.2	68.8	99.8
760	0	29	71	100
770	0	28.2	71.8	100
780	0	37	63	100
790	0	35.8	64.2	100
800	0	35.8	64.2	100
810	0	38.8	61.2	100
820	0	41.6	58.4	100
830	0	44	56	100
840	0.2	40.4	59.6	99.8
850	0	45.6	54.4	100
860	0	44.4	55.6	100
870	0.2	45.8	54.2	99.8
880	0	48	52	100
890	0	54.2	45.8	100
900	0	51.8	48.2	100
910	0	53.8	46.2	100
920	0	52.6	47.4	100
930	0	59	41	100
940	0	58.8	41.2	100
950	0	65.8	34.2	100
960	0.2	63.6	36.4	99.8
970	0	63.2	36.8	100
980	0	62.8	37.2	100
990	0.2	62.8	37.2	99.8
1000	0	64.8	35.2	100
1010	0	65.2	34.8	100
1020	0	68	32	100
1030	0	69	31	100
1040	0	69.6	30.4	100
1050	0	70.6	29.4	100
1060	0	69.8	30.2	100
1070	0	73.8	26.2	100
1080	0.2	72.2	27.8	99.8
1090	0	76.2	23.8	100
1100	0	78.6	21.4	100
1110	0	75.4	24.6	100
1120	0	75.4	24.6	100
1130	0.2	78.4	21.6	99.8
1140	0	75.2	24.8	100
1150	0	76.2	23.8	100
1160	0	82	18	100
1170	0.2	81	19	99.8
1180	0	82.4	17.6	100
1190	0	80.8	19.2	100
1200	0	83	17	100
1210	0	86	14	100
1220	0	83.2	16.8	100
1230	0	85.4	14.6	100
1240	0	86	14	100
1250	0	80.2	19.8	100
1260	0	85.2	14.8	100
1270	0	86.2	13.8	100
1280	0	85.8	14.2	100
1290	0	86.2	13.8	100
1300	0	89.4	10.6	100
1310	0	87.6	12.4	100
1320	0	89.6	10.4	100
1330	0	86.2	13.8	100
1340	0	87.6	12.4	100
1350	0	89.4	10.6	100
1360	0	89.6	10.4	100
1370	0	87	13	100
1380	0	89	11	100
1390	0	90.2	9.8	100
1400	0	91.6	8.4	100
1410	0	93	7	100
1420	0	92.2	7.8	100
1430	0	93.8	6.2	100
1440	0	92.2	7.8	100
1450	0	91.6	8.4	100
1460	0	89.8	10.2	100
1470	0	91	9	100
1480	0	92.6	7.4	100
1490	0	94.2	5.8	100
1500	0	92.8	7.2	100
1510	0	91.6	8.4	100
1520	0	94.4	5.6	100
1530	0	92.6	7.4	100
1540	0	94.4	5.6	100
1550	0.2	95.6	4.4	99.8
1560	0	94.4	5.6	100
1570	0	94.6	5.4	100
1580	0	94.2	5.8	100
1590	0	95.2	4.8	100
1600	0	93.8	6.2	100
1610	0	94	6	100
1620	0	93.8	6.2	100
1630	0	96.2	3.8	100
1640	0	95.4	4.6	100
1650	0	94.4	5.6	100
1660	0	94.4	5.6	100
1670	0	95.8	4.2	100
1680	0	94.8	5.2	100
1690	0	95.4	4.6	100
1700	0	96	4	100
1710	0	96.6	3.4	100
1720	0.2	97.2	2.8	99.8
1730	0	95.4	4.6	100
1740	0	95	5	100
1750	0.2	95.2	4.8	99.8
1760	0	96.8	3.2	100
1770	0	95.4	4.6	100
1780	0	96.4	3.6	100
1790	0	97.4	2.6	100
1800	0.2	97.2	2.8	99.8
1810	0	97.6	2.4	100
1820	0	97.4	2.6	100
1830	0	96.2	3.8	100
1840	0	98.4	1.6	100
1850	0	96.8	3.2	100
1860	0	96.6	3.4	100
1870	0	95.8	4.2	100
1880	0	97.8	2.2	100
1890	0.2	97.4	2.6	99.8
1900	0	97	3	100
1910	0	96.6	3.4	100
1920	0	97.8	2.2	100
1930	0	96.4	3.6	100
1940	0	97.6	2.4	100
1950	0	98.4	1.6	100
1960	0	96.4	3.6	100
1970	0	98.4	1.6	100
1980	0	97.4	2.6	100
1990	0	97.4	2.6	100
2000	0	97.8	2.2	100
2010	0	98.4	1.6	100
2020	0	98.4	1.6	100
2030	0	97.2	2.8	100
2040	0	98.6	1.4	100
2050	0	100	0	100
