t	FPR	FNR	TRP	TNR
1	4.8	96.6	3.4	95.2
2	4.8	96	4	95.2
3	4.6	94.2	5.8	95.4
4	4.4	94.2	5.8	95.6
5	3.6	92.4	7.6	96.4
6	4.6	92.8	7.2	95.4
7	4.6	91	9	95.4
8	6.2	89.4	10.6	93.8
9	5	87.2	12.8	95
10	4.6	87	13	95.4
11	4.2	86.4	13.6	95.8
12	7.2	83.6	16.4	92.8
13	6.6	79.2	20.8	93.4
14	5.2	76.8	23.2	94.8
15	4.8	76.2	23.8	95.2
16	5	73.6	26.4	95
17	6.2	65.6	34.4	93.8
18	6.2	65.2	34.8	93.8
19	2.8	61.8	38.2	97.2
20	5.2	60.6	39.4	94.8
21	4.6	58.2	41.8	95.4
22	5.4	54.6	45.4	94.6
23	7.6	46.8	53.2	92.4
24	5.4	46.2	53.8	94.6
25	6.2	48.4	51.6	93.8
26	6.4	35.6	64.4	93.6
27	5	34.6	65.4	95
28	6.8	31.6	68.4	93.2
29	4.4	28.4	71.6	95.6
30	5.4	28.4	71.6	94.6
31	4.8	23.8	76.2	95.2
32	5	21.8	78.2	95
33	5.6	17.8	82.2	94.4
34	6.6	19.4	80.6	93.4
35	4.2	15.2	84.8	95.8
36	4.6	14.6	85.4	95.4
37	5.8	12.2	87.8	94.2
38	4.6	9.2	90.8	95.4
39	4	9.6	90.4	96
40	4.8	7.2	92.8	95.2
41	4	7	93	96
42	4.6	4.8	95.2	95.4
43	5	4.2	95.8	95
44	4.8	3.8	96.2	95.2
45	5	2.8	97.2	95
46	6	1.2	98.8	94
47	3.2	2.6	97.4	96.8
48	5.4	1	99	94.6
49	4.6	0.8	99.2	95.4
50	5	1.6	98.4	95
51	5	1	99	95
52	4.6	0.8	99.2	95.4
53	3.2	0.2	99.8	96.8
54	2.8	0	100	97.2
55	4.2	0.6	99.4	95.8
56	4.4	0.2	99.8	95.6
57	4	0	100	96
58	4.2	0.2	99.8	95.8
59	5.6	0	100	94.4
60	6.8	0.2	99.8	93.2
61	4	0	100	96
62	4.6	0.4	99.6	95.4
63	3.6	0	100	96.4
64	4.8	0	100	95.2
65	4.4	0	100	95.6
66	3.8	0	100	96.2
67	3.6	0	100	96.4
68	5	0	100	95
69	6	0	100	94
70	4	0	100	96
71	4.8	0	100	95.2
72	5.2	0	100	94.8
73	5.6	0	100	94.4
74	5.2	0	100	94.8
75	6.4	0	100	93.6
76	5.4	0	100	94.6
77	4.6	0	100	95.4
78	4.6	0	100	95.4
79	4.8	0	100	95.2
80	5.6	0	100	94.4
81	4.8	0	100	95.2
82	6.2	0	100	93.8
83	3.6	0	100	96.4
84	4.8	0	100	95.2
85	5	0	100	95
86	5.6	0	100	94.4
87	4.6	0	100	95.4
88	5.2	0	100	94.8
89	5.4	0	100	94.6
90	5.2	0	100	94.8
91	4.8	0	100	95.2
92	4.2	0	100	95.8
93	5.2	0	100	94.8
94	4	0	100	96
95	5.4	0	100	94.6
96	4.2	0	100	95.8
97	4.6	0	100	95.4
98	6.2	0	100	93.8
99	5.4	0	100	94.6
100	6.8	0	100	93.2
101	4.6	0	100	95.4
102	6.6	0	100	93.4
103	5.4	0	100	94.6
104	6	0	100	94
105	4.6	0	100	95.4
106	5.6	0	100	94.4
107	6.6	0	100	93.4
108	4.4	0	100	95.6
109	4	0	100	96
110	5.2	0	100	94.8
111	5.8	0	100	94.2
112	5.2	0	100	94.8
113	6	0	100	94
114	3.8	0	100	96.2
115	4.2	0	100	95.8
116	5.4	0	100	94.6
117	5.2	0	100	94.8
118	4.6	0	100	95.4
119	3.8	0	100	96.2
120	5.6	0	100	94.4
121	10	0	100	90
122	5.4	0	100	94.6
123	5.6	0	100	94.4
124	5.6	0	100	94.4
125	5.8	0	100	94.2
126	4.2	0	100	95.8
127	5.2	0	100	94.8
128	4.6	0	100	95.4
129	4.2	0	100	95.8
130	4.4	0	100	95.6
131	4.6	0	100	95.4
132	4.6	0	100	95.4
133	5.6	0	100	94.4
134	5.2	0	100	94.8
135	5.4	0	100	94.6
136	5.2	0	100	94.8
137	5.8	0	100	94.2
138	6.8	0	100	93.2
139	4.6	0	100	95.4
140	5.6	0	100	94.4
141	4.8	0	100	95.2
142	5.4	0	100	94.6
143	3.8	0	100	96.2
144	6.2	0	100	93.8
145	4	0	100	96
146	6.4	0	100	93.6
147	5.4	0	100	94.6
148	4	0	100	96
149	4.4	0	100	95.6
150	4.2	0	100	95.8
