t	FPR	FNR	TRP	TNR
1	3.2	95.8	4.2	96.8
2	4.2	94.4	5.6	95.8
3	4.8	94.6	5.4	95.2
4	4.8	93.8	6.2	95.2
5	4.8	92.6	7.4	95.2
6	4.4	90	10	95.6
7	4.6	91.8	8.2	95.4
8	2.8	88.6	11.4	97.2
9	4.4	88.4	11.6	95.6
10	4.4	85.6	14.4	95.6
11	7	79.4	20.6	93
12	5.2	77	23	94.8
13	4.8	74.4	25.6	95.2
14	6.4	72	28	93.6
15	2.2	67	33	97.8
16	6	66.4	33.6	94
17	5.4	60.6	39.4	94.6
18	3.8	58.2	41.8	96.2
19	5.6	49.2	50.8	94.4
20	7.2	51	49	92.8
21	4.6	45.6	54.4	95.4
22	5.8	45.6	54.4	94.2
23	5.8	38.2	61.8	94.2
24	5.2	35.6	64.4	94.8
25	5.4	33	67	94.6
26	4	30.2	69.8	96
27	4.8	25.6	74.4	95.2
28	5.2	21.8	78.2	94.8
29	4	20.6	79.4	96
30	5.2	13.2	86.8	94.8
31	5.4	13.2	86.8	94.6
32	6.8	14	86	93.2
33	5.2	10.6	89.4	94.8
34	5.2	9.8	90.2	94.8
35	3.8	7.6	92.4	96.2
36	5.2	5.2	94.8	94.8
37	4.4	4.2	95.8	95.6
38	4.4	4.6	95.4	95.6
39	3	3.6	96.4	97
40	5.6	2.8	97.2	94.4
41	5.4	3	97	94.6
42	3.8	1.6	98.4	96.2
43	4.4	2.4	97.6	95.6
44	5	0.6	99.4	95
45	5.8	0.4	99.6	94.2
46	3.8	1.4	98.6	96.2
47	5	0.4	99.6	95
48	4	0.4	99.6	96
49	5.6	0.2	99.8	94.4
50	4	0	100	96
51	7	0	100	93
52	5.6	0.2	99.8	94.4
53	4.8	0.4	99.6	95.2
54	5.6	0	100	94.4
55	7	0	100	93
56	5.6	0	100	94.4
57	5.2	0	100	94.8
58	3.6	0.2	99.8	96.4
59	5.4	0	100	94.6
60	7.8	0	100	92.2
61	4.2	0	100	95.8
62	4.8	0	100	95.2
63	5.6	0	100	94.4
64	4.6	0	100	95.4
65	6	0	100	94
66	3.4	0	100	96.6
67	2.6	0	100	97.4
68	5.6	0	100	94.4
69	5.6	0	100	94.4
70	5.8	0	100	94.2
71	3.6	0	100	96.4
72	3.8	0	100	96.2
73	7.4	0	100	92.6
74	4.8	0	100	95.2
75	4.8	0	100	95.2
76	4.4	0	100	95.6
77	5.2	0	100	94.8
78	5.8	0	100	94.2
79	5.6	0	100	94.4
80	5.2	0	100	94.8
81	3.2	0	100	96.8
82	5.2	0	100	94.8
83	5.2	0	100	94.8
84	4.8	0	100	95.2
85	6.6	0	100	93.4
86	5.8	0	100	94.2
87	6.6	0	100	93.4
88	5.8	0	100	94.2
89	4.6	0	100	95.4
90	3.8	0	100	96.2
91	6.4	0	100	93.6
92	5.4	0	100	94.6
93	4.2	0	100	95.8
94	5	0	100	95
95	4.8	0	100	95.2
96	5.6	0	100	94.4
97	7.4	0	100	92.6
98	5.4	0	100	94.6
99	6.2	0	100	93.8
100	3.8	0	100	96.2
101	5.4	0	100	94.6
102	4.2	0	100	95.8
103	4.4	0	100	95.6
104	4.6	0	100	95.4
105	3.8	0	100	96.2
106	6.4	0	100	93.6
107	4.2	0	100	95.8
108	3.2	0	100	96.8
109	5.6	0	100	94.4
110	4.6	0	100	95.4
111	4.2	0	100	95.8
112	4.6	0	100	95.4
113	3.8	0	100	96.2
114	6.2	0	100	93.8
115	6.6	0	100	93.4
116	6.2	0	100	93.8
117	4.6	0	100	95.4
118	5.8	0	100	94.2
119	7.2	0	100	92.8
120	5.2	0	100	94.8
121	4	0	100	96
122	4.8	0	100	95.2
123	5	0	100	95
124	4.8	0	100	95.2
125	7	0	100	93
126	4.8	0	100	95.2
127	5	0	100	95
128	3.2	0	100	96.8
129	4.6	0	100	95.4
130	5.4	0	100	94.6
131	5	0	100	95
132	4.8	0	100	95.2
133	6.6	0	100	93.4
134	5.2	0	100	94.8
135	4.4	0	100	95.6
136	3.8	0	100	96.2
137	5.4	0	100	94.6
138	3.4	0	100	96.6
139	5.8	0	100	94.2
140	6.2	0	100	93.8
141	4.8	0	100	95.2
142	5.4	0	100	94.6
143	5.2	0	100	94.8
144	4.8	0	100	95.2
145	4.6	0	100	95.4
146	4.6	0	100	95.4
147	4.2	0	100	95.8
148	5	0	100	95
149	3.2	0	100	96.8
150	5.8	0	100	94.2
