t	FPR	FNR	TRP	TNR
1	5.6	95.6	4.4	94.4
2	4.8	95.6	4.4	95.2
3	6	95.4	4.6	94
4	5.6	94.6	5.4	94.4
5	5.2	94	6	94.8
6	6.8	94.8	5.2	93.2
7	5	93	7	95
8	4	93.2	6.8	96
9	4.6	92.6	7.4	95.4
10	4.2	94.4	5.6	95.8
11	4.8	91.2	8.8	95.2
12	5	91.2	8.8	95
13	4.6	89.8	10.2	95.4
14	4.8	90.2	9.8	95.2
15	4.4	91.4	8.6	95.6
16	5.4	89.8	10.2	94.6
17	4.8	92	8	95.2
18	3.6	91.2	8.8	96.4
19	4.8	88.6	11.4	95.2
20	6	86.4	13.6	94
21	5.8	86	14	94.2
22	4	84.8	15.2	96
23	6.2	83.2	16.8	93.8
24	4	82.4	17.6	96
25	4.8	82.4	17.6	95.2
26	5.4	78.4	21.6	94.6
27	3.2	80.2	19.8	96.8
28	3	78.6	21.4	97
29	6.6	77.8	22.2	93.4
30	5.2	75.2	24.8	94.8
31	3.4	72	28	96.6
32	7	71.2	28.8	93
33	4.6	71.8	28.2	95.4
34	5.8	74.6	25.4	94.2
35	6.8	68.4	31.6	93.2
36	3.2	66.6	33.4	96.8
37	4	64	36	96
38	8.4	66	34	91.6
39	4.8	61.8	38.2	95.2
40	6.4	56	44	93.6
41	5.8	60.4	39.6	94.2
42	5.6	57	43	94.4
43	6.6	58.6	41.4	93.4
44	5.4	51.4	48.6	94.6
45	5.6	51.4	48.6	94.4
46	4.4	52	48	95.6
47	4.8	53.2	46.8	95.2
48	4.8	49.4	50.6	95.2
49	5.6	47.8	52.2	94.4
50	5.4	42.8	57.2	94.6
51	6.8	48.4	51.6	93.2
52	5.4	39.2	60.8	94.6
53	3.6	38.2	61.8	96.4
54	5.2	46	54	94.8
55	5	37.8	62.2	95
56	4.2	33	67	95.8
57	4.8	37	63	95.2
58	5.6	32	68	94.4
59	4.8	29.8	70.2	95.2
60	6.4	30.2	69.8	93.6
61	5.2	26.8	73.2	94.8
62	5.4	28.2	71.8	94.6
63	5.8	23.6	76.4	94.2
64	4.8	25.8	74.2	95.2
65	4.8	21.6	78.4	95.2
66	5.2	22.8	77.2	94.8
67	5.2	21.4	78.6	94.8
68	4.6	18.6	81.4	95.4
69	5	16	84	95
70	3.8	16.8	83.2	96.2
71	6	17.6	82.4	94
72	5.4	10.8	89.2	94.6
73	5.2	13.2	86.8	94.8
74	4.6	13.6	86.4	95.4
75	5	12.6	87.4	95
76	5.8	8	92	94.2
77	3.8	9.6	90.4	96.2
78	4.6	9.6	90.4	95.4
79	5.4	8.8	91.2	94.6
80	4.6	8.6	91.4	95.4
81	5.4	9.4	90.6	94.6
82	6.6	8.4	91.6	93.4
83	6.8	8	92	93.2
84	6.6	8.8	91.2	93.4
85	4.8	4.8	95.2	95.2
86	6.8	5.2	94.8	93.2
87	4.4	4.6	95.4	95.6
88	4.8	2.4	97.6	95.2
89	6.8	5.4	94.6	93.2
90	7.4	2.8	97.2	92.6
91	6.2	3.4	96.6	93.8
92	5.4	3.4	96.6	94.6
93	5.2	3.6	96.4	94.8
94	5.8	2.4	97.6	94.2
95	4.8	2.4	97.6	95.2
96	7.6	3.8	96.2	92.4
97	6.4	2.6	97.4	93.6
98	5.4	1	99	94.6
99	6.4	1.8	98.2	93.6
100	4.2	1.6	98.4	95.8
101	6.2	1.2	98.8	93.8
102	4.4	1.4	98.6	95.6
103	3.2	2.6	97.4	96.8
104	4.4	0.4	99.6	95.6
105	5.4	0.6	99.4	94.6
106	3.8	0.4	99.6	96.2
107	6.2	1	99	93.8
108	5.2	0	100	94.8
109	5.4	1.2	98.8	94.6
110	5.2	1.4	98.6	94.8
111	6	0.2	99.8	94
112	8.2	0.4	99.6	91.8
113	6	0.2	99.8	94
114	4.4	0	100	95.6
115	5.6	0.2	99.8	94.4
116	5.4	1	99	94.6
117	4.4	0.4	99.6	95.6
118	3.2	0	100	96.8
119	5.4	0.4	99.6	94.6
120	5.2	0	100	94.8
121	5.4	0	100	94.6
122	4.6	0.4	99.6	95.4
123	6.4	0.2	99.8	93.6
124	6.2	0	100	93.8
125	4	0	100	96
126	6.2	0	100	93.8
127	4.2	0	100	95.8
128	6	0	100	94
129	5.4	0	100	94.6
130	4.8	0	100	95.2
131	5	0	100	95
132	5.8	0	100	94.2
133	3.8	0.2	99.8	96.2
134	6.6	0.2	99.8	93.4
135	4.6	0	100	95.4
136	4.6	0	100	95.4
137	5.2	0	100	94.8
138	4.6	0	100	95.4
139	4.8	0	100	95.2
140	6.6	0	100	93.4
141	5.8	0	100	94.2
142	5	0	100	95
143	6.4	0	100	93.6
144	4.8	0	100	95.2
145	3.4	0	100	96.6
146	6	0	100	94
147	5.2	0	100	94.8
148	5.2	0	100	94.8
149	4.6	0	100	95.4
150	6.2	0	100	93.8
