t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	100	0	100	0
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	100	0	100	0
390	100	0	100	0
400	100	0	100	0
410	100	0	100	0
420	100	0	100	0
430	100	0	100	0
440	100	0	100	0
450	99.8	0	100	0.2
460	100	0	100	0
470	100	0	100	0
480	99.8	0	100	0.2
490	100	0	100	0
500	100	0	100	0
510	100	0	100	0
520	99.6	0	100	0.4
530	100	0	100	0
540	99.4	0	100	0.6
550	99.8	0	100	0.2
560	98.6	0	100	1.4
570	99.6	0	100	0.4
580	99.4	0	100	0.6
590	99.4	0	100	0.6
600	99.4	0	100	0.6
610	98.2	0	100	1.8
620	98.8	0	100	1.2
630	98.6	0	100	1.4
640	98.2	0	100	1.8
650	98.4	0	100	1.6
660	97.6	0	100	2.4
670	97.2	0	100	2.8
680	96.8	0	100	3.2
690	96.6	0	100	3.4
700	96.4	0	100	3.6
710	95.8	0	100	4.2
720	96	0	100	4
730	92.8	0	100	7.2
740	93.4	0	100	6.6
750	93.2	0	100	6.8
760	94.6	0	100	5.4
770	93.4	0	100	6.6
780	93.4	0	100	6.6
790	91.8	0	100	8.2
800	91.8	0	100	8.2
810	89.2	0	100	10.8
820	89.4	0	100	10.6
830	89.2	0	100	10.8
840	90	0	100	10
850	91	0	100	9
860	87.8	0	100	12.2
870	89.8	0	100	10.2
880	87.2	0	100	12.8
890	84.2	0	100	15.8
900	86	0	100	14
910	85	0	100	15
920	82.4	0	100	17.6
930	82.4	0	100	17.6
940	80.2	0	100	19.8
950	82.4	0	100	17.6
960	81.8	0	100	18.2
970	82.4	0	100	17.6
980	74.8	0	100	25.2
990	78.6	0	100	21.4
1000	78.8	0	100	21.2
1010	74.4	0	100	25.6
1020	74	0	100	26
1030	76.4	0	100	23.6
1040	72.4	0	100	27.6
1050	75	0	100	25
1060	71	0	100	29
1070	73.8	0	100	26.2
1080	71.2	0	100	28.8
1090	69.4	0	100	30.6
1100	70	0	100	30
1110	68	0	100	32
1120	69.2	0	100	30.8
1130	69.2	0.2	99.8	30.8
1140	69	0	100	31
1150	64	0.2	99.8	36
1160	69.2	0.2	99.8	30.8
1170	67.8	0.2	99.8	32.2
1180	66	0.2	99.8	34
1190	65.4	0	100	34.6
1200	63.8	0.2	99.8	36.2
1210	59.6	0	100	40.4
1220	63.6	0	100	36.4
1230	62	0	100	38
1240	61.8	0.2	99.8	38.2
1250	62	0.4	99.6	38
1260	62.4	0	100	37.6
1270	54.6	0.4	99.6	45.4
1280	59.8	0.6	99.4	40.2
1290	61	0.8	99.2	39
1300	54.4	0	100	45.6
1310	55.4	0	100	44.6
1320	52.8	0.2	99.8	47.2
1330	60.8	0	100	39.2
1340	52.6	0.4	99.6	47.4
1350	56.4	0.6	99.4	43.6
1360	52.4	0.2	99.8	47.6
1370	51.6	0.8	99.2	48.4
1380	54.2	1	99	45.8
1390	53.2	0	100	46.8
1400	51	1.2	98.8	49
1410	49.4	0.6	99.4	50.6
1420	48.6	1.6	98.4	51.4
1430	48.4	1.4	98.6	51.6
1440	46.4	1	99	53.6
1450	50.6	1.4	98.6	49.4
1460	51.2	1	99	48.8
1470	44.8	1.2	98.8	55.2
1480	51.4	2	98	48.6
1490	46.8	1.4	98.6	53.2
1500	46.4	2.4	97.6	53.6
1510	49.2	2.6	97.4	50.8
1520	46.2	2.6	97.4	53.8
1530	42.8	3.6	96.4	57.2
1540	43.8	1.6	98.4	56.2
1550	42.2	2.2	97.8	57.8
1560	38.2	3.6	96.4	61.8
1570	43.2	2.8	97.2	56.8
1580	42.6	4.6	95.4	57.4
1590	41.4	3.4	96.6	58.6
1600	39.6	4	96	60.4
1610	39.2	5.6	94.4	60.8
1620	40	3.8	96.2	60
1630	38.8	2.4	97.6	61.2
1640	40.8	4.8	95.2	59.2
1650	39.8	6.4	93.6	60.2
1660	40.2	4.8	95.2	59.8
1670	39.6	4.6	95.4	60.4
1680	37.4	7.8	92.2	62.6
1690	41.2	6	94	58.8
1700	41.6	5.6	94.4	58.4
1710	35	5.8	94.2	65
1720	34.8	6.8	93.2	65.2
1730	38	5.6	94.4	62
1740	40.2	6.4	93.6	59.8
1750	36.8	5.6	94.4	63.2
1760	36	8.2	91.8	64
1770	34.6	8.2	91.8	65.4
1780	38.4	6.6	93.4	61.6
1790	34	8.2	91.8	66
1800	36.4	9.2	90.8	63.6
1810	35.6	9	91	64.4
1820	34.4	10.2	89.8	65.6
1830	34.8	9.4	90.6	65.2
1840	32.6	8.8	91.2	67.4
1850	34.2	9.4	90.6	65.8
1860	32	12.6	87.4	68
1870	33.2	12.4	87.6	66.8
1880	33	10.4	89.6	67
1890	35	15	85	65
1900	33.4	12.4	87.6	66.6
1910	32	12.6	87.4	68
1920	33.8	11.4	88.6	66.2
1930	33	12.6	87.4	67
1940	31.6	14	86	68.4
1950	28.2	13.2	86.8	71.8
1960	29.4	13	87	70.6
1970	31.6	11.4	88.6	68.4
1980	33.2	15.2	84.8	66.8
1990	32.4	13.2	86.8	67.6
2000	29.6	13.8	86.2	70.4
2010	29.8	16.2	83.8	70.2
2020	27.8	21	79	72.2
2030	26.6	14.6	85.4	73.4
2040	27.2	13.6	86.4	72.8
2050	28.6	18.6	81.4	71.4
