t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	100	0	100	0
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	100	0	100	0
390	100	0	100	0
400	100	0	100	0
410	100	0	100	0
420	100	0	100	0
430	100	0	100	0
440	100	0	100	0
450	100	0	100	0
460	100	0	100	0
470	100	0	100	0
480	100	0	100	0
490	100	0	100	0
500	100	0	100	0
510	100	0	100	0
520	100	0	100	0
530	100	0	100	0
540	100	0	100	0
550	100	0	100	0
560	100	0	100	0
570	100	0	100	0
580	100	0	100	0
590	100	0	100	0
600	100	0	100	0
610	100	0	100	0
620	100	0	100	0
630	100	0	100	0
640	100	0	100	0
650	100	0	100	0
660	100	0	100	0
670	100	0	100	0
680	100	0	100	0
690	100	0	100	0
700	100	0	100	0
710	100	0	100	0
720	100	0	100	0
730	100	0	100	0
740	100	0	100	0
750	100	0	100	0
760	100	0	100	0
770	100	0	100	0
780	99.8	0	100	0.2
790	100	0	100	0
800	100	0	100	0
810	100	0	100	0
820	100	0	100	0
830	100	0	100	0
840	100	0	100	0
850	100	0	100	0
860	99.8	0	100	0.2
870	100	0	100	0
880	100	0	100	0
890	100	0	100	0
900	100	0	100	0
910	100	0	100	0
920	99.8	0	100	0.2
930	100	0	100	0
940	99.4	0	100	0.6
950	100	0	100	0
960	99.6	0	100	0.4
970	99.6	0	100	0.4
980	99.6	0	100	0.4
990	99.4	0	100	0.6
1000	99.8	0	100	0.2
1010	99.6	0	100	0.4
1020	99.2	0	100	0.8
1030	99.8	0	100	0.2
1040	98.6	0	100	1.4
1050	99	0	100	1
1060	99.6	0	100	0.4
1070	99.4	0	100	0.6
1080	98.8	0	100	1.2
1090	99	0	100	1
1100	98	0	100	2
1110	98.2	0	100	1.8
1120	98.4	0	100	1.6
1130	98.2	0	100	1.8
1140	99	0	100	1
1150	97.2	0	100	2.8
1160	97.6	0	100	2.4
1170	97.8	0	100	2.2
1180	98.2	0	100	1.8
1190	96.8	0	100	3.2
1200	97.2	0	100	2.8
1210	97.2	0	100	2.8
1220	96.8	0	100	3.2
1230	98	0	100	2
1240	96.8	0	100	3.2
1250	94.8	0	100	5.2
1260	96.4	0	100	3.6
1270	95.8	0	100	4.2
1280	94.6	0	100	5.4
1290	95	0	100	5
1300	93.6	0	100	6.4
1310	94.2	0	100	5.8
1320	93	0	100	7
1330	92.4	0	100	7.6
1340	92	0	100	8
1350	94.8	0	100	5.2
1360	91.4	0	100	8.6
1370	93	0	100	7
1380	92	0	100	8
1390	91.4	0	100	8.6
1400	89.8	0	100	10.2
1410	89	0	100	11
1420	91.2	0	100	8.8
1430	92.4	0	100	7.6
1440	87.2	0	100	12.8
1450	90.2	0	100	9.8
1460	86.4	0	100	13.6
1470	91.2	0	100	8.8
1480	86.6	0	100	13.4
1490	88.6	0	100	11.4
1500	85.8	0	100	14.2
1510	84.8	0	100	15.2
1520	89.4	0	100	10.6
1530	86	0	100	14
1540	86	0	100	14
1550	86.6	0	100	13.4
1560	84.4	0	100	15.6
1570	83.6	0	100	16.4
1580	86.2	0	100	13.8
1590	82.8	0	100	17.2
1600	83.4	0	100	16.6
1610	84.4	0	100	15.6
1620	82.2	0	100	17.8
1630	79.8	0	100	20.2
1640	82	0	100	18
1650	80	0	100	20
1660	78.8	0	100	21.2
1670	82.6	0	100	17.4
1680	79.8	0	100	20.2
1690	80.4	0	100	19.6
1700	78	0	100	22
1710	77.4	0	100	22.6
1720	79.2	0	100	20.8
1730	74.8	0	100	25.2
1740	75.8	0	100	24.2
1750	77.2	0	100	22.8
1760	77	0	100	23
1770	75	0	100	25
1780	79	0	100	21
1790	76	0	100	24
1800	74.8	0	100	25.2
1810	71.8	0	100	28.2
1820	72.2	0	100	27.8
1830	73	0	100	27
1840	73	0.2	99.8	27
1850	69.2	0	100	30.8
1860	71	0	100	29
1870	70.4	0	100	29.6
1880	74.4	0.2	99.8	25.6
1890	71	0.2	99.8	29
1900	70.2	0	100	29.8
1910	66.4	0	100	33.6
1920	67.2	0	100	32.8
1930	65.2	0.2	99.8	34.8
1940	68.8	0.2	99.8	31.2
1950	66.2	0	100	33.8
1960	66.2	0	100	33.8
1970	65.2	0.2	99.8	34.8
1980	68.6	0	100	31.4
1990	67.6	0.6	99.4	32.4
2000	69.6	0.2	99.8	30.4
2010	64.2	0.2	99.8	35.8
2020	63.2	0.4	99.6	36.8
2030	66.2	0	100	33.8
2040	61	0.6	99.4	39
2050	62.2	0.4	99.6	37.8
