t	FPR	FNR	TRP	TNR
100	99.8	0	100	0.2
110	99.8	0	100	0.2
120	100	0	100	0
130	99.2	0	100	0.8
140	99.8	0	100	0.2
150	99.6	0	100	0.4
160	99.4	0	100	0.6
170	99	0	100	1
180	100	0	100	0
190	99.4	0	100	0.6
200	99.2	0	100	0.8
210	99.6	0	100	0.4
220	99.8	0	100	0.2
230	99.4	0	100	0.6
240	100	0	100	0
250	99.8	0	100	0.2
260	99.4	0	100	0.6
270	99.6	0	100	0.4
280	99.8	0	100	0.2
290	99	0	100	1
300	99	0	100	1
310	98.2	0	100	1.8
320	98.8	0	100	1.2
330	98.4	0	100	1.6
340	98	0	100	2
350	97.4	0	100	2.6
360	97.6	0	100	2.4
370	95.8	0	100	4.2
380	95	0	100	5
390	95.4	0	100	4.6
400	95	0	100	5
410	94.4	0	100	5.6
420	93.2	0	100	6.8
430	93.8	0	100	6.2
440	90.4	0	100	9.6
450	91.6	0	100	8.4
460	92.6	0	100	7.4
470	90.6	0	100	9.4
480	89	0	100	11
490	86.4	0	100	13.6
500	86.8	0	100	13.2
510	86	0	100	14
520	86.2	0	100	13.8
530	83.6	0	100	16.4
540	83.4	0	100	16.6
550	80.4	0	100	19.6
560	83	0	100	17
570	82.4	0	100	17.6
580	80.4	0	100	19.6
590	79.2	0	100	20.8
600	76.2	0	100	23.8
610	76	0	100	24
620	74.4	0	100	25.6
630	75.4	0	100	24.6
640	72.8	0	100	27.2
650	69.8	0	100	30.2
660	71.2	0	100	28.8
670	70.6	0	100	29.4
680	67	0	100	33
690	66.8	0	100	33.2
700	69.4	0	100	30.6
710	70.2	0	100	29.8
720	67.4	0	100	32.6
730	64.6	0	100	35.4
740	65.8	0	100	34.2
750	62.6	0.4	99.6	37.4
760	64.8	0.2	99.8	35.2
770	62.8	0	100	37.2
780	62.6	0.2	99.8	37.4
790	67.8	0.2	99.8	32.2
800	61.6	0	100	38.4
810	57.8	0	100	42.2
820	57.6	0	100	42.4
830	57.6	0.4	99.6	42.4
840	53	0.2	99.8	47
850	54.4	0	100	45.6
860	53	0	100	47
870	54.4	0.4	99.6	45.6
880	51.6	0.2	99.8	48.4
890	49.6	0.6	99.4	50.4
900	52.4	1	99	47.6
910	53.2	0.8	99.2	46.8
920	50.8	0.6	99.4	49.2
930	46.2	1	99	53.8
940	48.8	0.8	99.2	51.2
950	51	0.6	99.4	49
960	43	1.4	98.6	57
970	45.2	1.2	98.8	54.8
980	40.8	2	98	59.2
990	44.8	1	99	55.2
1000	48.6	2	98	51.4
1010	46	1.2	98.8	54
1020	42.4	2.2	97.8	57.6
1030	42.8	3	97	57.2
1040	46	2.4	97.6	54
1050	44.4	2	98	55.6
1060	42.2	2.8	97.2	57.8
1070	36.8	1.6	98.4	63.2
1080	41.8	2.8	97.2	58.2
1090	40.2	3.4	96.6	59.8
1100	36.8	2.6	97.4	63.2
1110	37.2	3.8	96.2	62.8
1120	38	3	97	62
1130	37	5.2	94.8	63
1140	37.2	4.4	95.6	62.8
1150	33.8	7.8	92.2	66.2
1160	38.2	5.6	94.4	61.8
1170	36	4	96	64
1180	37.2	4.2	95.8	62.8
1190	35.6	7.2	92.8	64.4
1200	36	7	93	64
1210	33.6	6	94	66.4
1220	32.8	8.8	91.2	67.2
1230	32.6	10.6	89.4	67.4
1240	31.2	7.8	92.2	68.8
1250	27.4	10	90	72.6
1260	28	8.6	91.4	72
1270	30.6	4.6	95.4	69.4
1280	30.6	10.4	89.6	69.4
1290	30	10	90	70
1300	32	11.8	88.2	68
1310	29	11.2	88.8	71
1320	32.2	8.4	91.6	67.8
1330	29	13	87	71
1340	30	12.6	87.4	70
1350	30.6	10.6	89.4	69.4
1360	32	15.6	84.4	68
1370	27.8	13.6	86.4	72.2
1380	25.2	14.8	85.2	74.8
1390	26.4	14	86	73.6
1400	28.4	18	82	71.6
1410	23.2	15.2	84.8	76.8
1420	25.6	17.6	82.4	74.4
1430	28.2	14.2	85.8	71.8
1440	25.4	16.4	83.6	74.6
1450	28.4	18.6	81.4	71.6
1460	23.8	19.4	80.6	76.2
1470	24.8	16.6	83.4	75.2
1480	25	21.8	78.2	75
1490	25	21.8	78.2	75
1500	24.4	18.4	81.6	75.6
1510	27.2	23.6	76.4	72.8
1520	26.8	20.2	79.8	73.2
1530	21.8	22.8	77.2	78.2
1540	23.4	21.8	78.2	76.6
1550	24.8	24.4	75.6	75.2
1560	20.2	23.2	76.8	79.8
1570	23.4	29.4	70.6	76.6
1580	23.4	21.2	78.8	76.6
1590	21	25.8	74.2	79
1600	18.8	28.8	71.2	81.2
1610	25.6	26.6	73.4	74.4
1620	23.4	25	75	76.6
1630	20.8	24	76	79.2
1640	24.4	26.2	73.8	75.6
1650	24.8	26.2	73.8	75.2
1660	22.4	29.4	70.6	77.6
1670	21.8	31.2	68.8	78.2
1680	20.4	30	70	79.6
1690	18.2	30	70	81.8
1700	18.2	32.2	67.8	81.8
1710	18.6	34.2	65.8	81.4
1720	19.8	33.8	66.2	80.2
1730	21.6	32.8	67.2	78.4
1740	19.2	36	64	80.8
1750	18	36.2	63.8	82
1760	20.2	31.6	68.4	79.8
1770	20.8	36.4	63.6	79.2
1780	20.2	36	64	79.8
1790	18.2	36.4	63.6	81.8
1800	17	35	65	83
1810	19.2	34	66	80.8
1820	19.8	39.4	60.6	80.2
1830	18	39.8	60.2	82
1840	18	40	60	82
1850	15.6	37.6	62.4	84.4
1860	21.2	40.4	59.6	78.8
1870	21	36.6	63.4	79
1880	20.2	39	61	79.8
1890	16.8	39.2	60.8	83.2
1900	12.8	38.8	61.2	87.2
1910	17	47.8	52.2	83
1920	15.8	41.6	58.4	84.2
1930	21.6	42	58	78.4
1940	18	43.6	56.4	82
1950	15.8	43.6	56.4	84.2
1960	14.8	45.6	54.4	85.2
1970	16.4	42.4	57.6	83.6
1980	15.2	49	51	84.8
1990	17.8	47.8	52.2	82.2
2000	17.2	45.6	54.4	82.8
2010	16.8	45.4	54.6	83.2
2020	16.6	46.6	53.4	83.4
2030	14.4	46.2	53.8	85.6
2040	19	44	56	81
2050	18.2	47.8	52.2	81.8
