t	FPR	FNR	TRP	TNR
100	4.4	0	100	95.6
110	3.2	0	100	96.8
120	5.4	0	100	94.6
130	3.4	0	100	96.6
140	6	0	100	94
150	5.6	0	100	94.4
160	5.4	0	100	94.6
170	5.2	0	100	94.8
180	5.2	0	100	94.8
190	6.2	0	100	93.8
200	3.4	0	100	96.6
210	3.8	0	100	96.2
220	4	0	100	96
230	4	0	100	96
240	3.4	0	100	96.6
250	4.6	0	100	95.4
260	7.2	0	100	92.8
270	5.2	0	100	94.8
280	6.4	0	100	93.6
290	5.2	0	100	94.8
300	4.6	0	100	95.4
310	5.4	0	100	94.6
320	4	0	100	96
330	4.2	0	100	95.8
340	5.2	0	100	94.8
350	5.8	0	100	94.2
360	6.8	0	100	93.2
370	5.4	0	100	94.6
380	4.2	0	100	95.8
390	4.2	0	100	95.8
400	4.2	0	100	95.8
410	6.2	0	100	93.8
420	4.4	0	100	95.6
430	5	0	100	95
440	4.6	0	100	95.4
450	5	0	100	95
460	4.4	0	100	95.6
470	4.8	0	100	95.2
480	5.6	0	100	94.4
490	5.4	0	100	94.6
500	5.8	0	100	94.2
510	5.4	0	100	94.6
520	6.2	0	100	93.8
530	3.8	0	100	96.2
540	6.2	0	100	93.8
550	5.4	0	100	94.6
560	5	0	100	95
570	4.6	0	100	95.4
580	4	0	100	96
590	6.4	0	100	93.6
600	7	0	100	93
610	5.8	0	100	94.2
620	4.2	0	100	95.8
630	5	0	100	95
640	5.2	0	100	94.8
650	5.6	0	100	94.4
660	4.2	0	100	95.8
670	5.4	0	100	94.6
680	5.4	0	100	94.6
690	5.2	0	100	94.8
700	3	0	100	97
710	4.2	0	100	95.8
720	5.8	0	100	94.2
730	7.4	0	100	92.6
740	5.2	0	100	94.8
750	5	0	100	95
760	5	0	100	95
770	4.4	0	100	95.6
780	3.6	0	100	96.4
790	4.6	0	100	95.4
800	4	0	100	96
810	5.2	0	100	94.8
820	6.6	0	100	93.4
830	5	0	100	95
840	4.6	0	100	95.4
850	4.6	0	100	95.4
860	3.4	0	100	96.6
870	3.6	0	100	96.4
880	4.2	0	100	95.8
890	5	0	100	95
900	6	0	100	94
910	4	0	100	96
920	5	0	100	95
930	6	0	100	94
940	4.6	0	100	95.4
950	5.2	0	100	94.8
960	6	0	100	94
970	2.6	0	100	97.4
980	5.4	0	100	94.6
990	5.6	0	100	94.4
1000	4.4	0	100	95.6
1010	5.4	0	100	94.6
1020	3.8	0	100	96.2
1030	6.6	0	100	93.4
1040	6.4	0	100	93.6
1050	4.4	0	100	95.6
1060	4.4	0	100	95.6
1070	4	0	100	96
1080	5.8	0	100	94.2
1090	5.4	0	100	94.6
1100	3.8	0	100	96.2
1110	4.8	0	100	95.2
1120	6.8	0	100	93.2
1130	5.2	0.2	99.8	94.8
1140	5.6	0	100	94.4
1150	5.6	0.2	99.8	94.4
1160	3.4	0.2	99.8	96.6
1170	6	0.2	99.8	94
1180	4.8	0.2	99.8	95.2
1190	5.8	0	100	94.2
1200	4	0.2	99.8	96
1210	4.4	0	100	95.6
1220	4.4	0	100	95.6
1230	4.2	0	100	95.8
1240	6.2	0.2	99.8	93.8
1250	3.4	0.4	99.6	96.6
1260	5.4	0	100	94.6
1270	5	0.4	99.6	95
1280	4	0.6	99.4	96
1290	4	0.8	99.2	96
1300	5.6	0	100	94.4
1310	4.2	0	100	95.8
1320	4.8	0.2	99.8	95.2
1330	5.6	0	100	94.4
1340	5.6	0.4	99.6	94.4
1350	4.2	0.6	99.4	95.8
1360	5.4	0.2	99.8	94.6
1370	5	0.8	99.2	95
1380	6.2	1	99	93.8
1390	3.2	0	100	96.8
1400	3.8	1.2	98.8	96.2
1410	5.6	0.6	99.4	94.4
1420	5.6	1.6	98.4	94.4
1430	4.8	1.4	98.6	95.2
1440	5.6	1	99	94.4
1450	3.6	1.4	98.6	96.4
1460	4.2	1	99	95.8
1470	6	1.2	98.8	94
1480	6.8	2	98	93.2
1490	5.6	1.4	98.6	94.4
1500	5.2	2.4	97.6	94.8
1510	4	2.6	97.4	96
1520	6	2.6	97.4	94
1530	5.4	3.6	96.4	94.6
1540	4.6	1.6	98.4	95.4
1550	5	2.2	97.8	95
1560	5.4	3.6	96.4	94.6
1570	4.6	2.8	97.2	95.4
1580	5.2	4.6	95.4	94.8
1590	4.2	3.4	96.6	95.8
1600	3.8	4	96	96.2
1610	5.2	5.6	94.4	94.8
1620	4.2	3.8	96.2	95.8
1630	4.8	2.4	97.6	95.2
1640	5	4.8	95.2	95
1650	6.4	6.4	93.6	93.6
1660	4.2	4.8	95.2	95.8
1670	4.2	4.6	95.4	95.8
1680	6.2	7.8	92.2	93.8
1690	5.6	6	94	94.4
1700	5.2	5.6	94.4	94.8
1710	4.6	5.8	94.2	95.4
1720	5.2	6.8	93.2	94.8
1730	4.4	5.6	94.4	95.6
1740	4.2	6.4	93.6	95.8
1750	3.4	5.6	94.4	96.6
1760	6.4	8.2	91.8	93.6
1770	5.4	8.2	91.8	94.6
1780	6.4	6.6	93.4	93.6
1790	3.8	8.2	91.8	96.2
1800	3.6	9.2	90.8	96.4
1810	5.8	9	91	94.2
1820	3.2	10.2	89.8	96.8
1830	3.6	9.4	90.6	96.4
1840	5	8.8	91.2	95
1850	5.4	9.4	90.6	94.6
1860	6.6	12.6	87.4	93.4
1870	4.2	12.4	87.6	95.8
1880	5	10.4	89.6	95
1890	4.2	15	85	95.8
1900	4.4	12.4	87.6	95.6
1910	5.6	12.6	87.4	94.4
1920	4.8	11.4	88.6	95.2
1930	6.4	12.6	87.4	93.6
1940	3.8	14	86	96.2
1950	4.4	13.2	86.8	95.6
1960	6.2	13	87	93.8
1970	4	11.4	88.6	96
1980	4.2	15.2	84.8	95.8
1990	4.4	13.2	86.8	95.6
2000	5.6	13.8	86.2	94.4
2010	4.4	16.2	83.8	95.6
2020	4.2	21	79	95.8
2030	4.8	14.6	85.4	95.2
2040	5.2	13.6	86.4	94.8
2050	5.6	18.6	81.4	94.4
