t	FPR	FNR	TRP	TNR
100	3.2	0	100	96.8
110	4.8	0	100	95.2
120	5.4	0	100	94.6
130	4.6	0	100	95.4
140	5.6	0	100	94.4
150	4	0	100	96
160	5.6	0	100	94.4
170	3.4	0	100	96.6
180	5.2	0	100	94.8
190	5.8	0	100	94.2
200	2.8	0	100	97.2
210	6.2	0	100	93.8
220	4.2	0	100	95.8
230	4.8	0	100	95.2
240	5.8	0	100	94.2
250	7.2	0	100	92.8
260	4.4	0	100	95.6
270	6	0	100	94
280	6.4	0	100	93.6
290	6	0	100	94
300	5	0	100	95
310	3.6	0	100	96.4
320	5	0	100	95
330	4	0	100	96
340	6	0	100	94
350	7	0	100	93
360	4.8	0	100	95.2
370	4.6	0	100	95.4
380	5.2	0	100	94.8
390	4.4	0	100	95.6
400	6	0	100	94
410	4.2	0	100	95.8
420	4.8	0	100	95.2
430	4.6	0	100	95.4
440	3.4	0	100	96.6
450	3.8	0	100	96.2
460	3	0	100	97
470	4.4	0	100	95.6
480	4.4	0	100	95.6
490	5.2	0	100	94.8
500	5.4	0	100	94.6
510	4.2	0	100	95.8
520	4.2	0	100	95.8
530	4.8	0	100	95.2
540	4.4	0	100	95.6
550	4.8	0	100	95.2
560	5	0	100	95
570	3.6	0	100	96.4
580	4.8	0	100	95.2
590	5.4	0	100	94.6
600	3.8	0	100	96.2
610	4.8	0	100	95.2
620	4	0	100	96
630	3.8	0	100	96.2
640	5.2	0	100	94.8
650	5	0	100	95
660	4.6	0	100	95.4
670	3.8	0	100	96.2
680	3.6	0	100	96.4
690	4.2	0	100	95.8
700	5	0	100	95
710	3.8	0	100	96.2
720	4.6	0	100	95.4
730	5	0	100	95
740	5	0	100	95
750	3.2	0	100	96.8
760	8	0	100	92
770	3.2	0	100	96.8
780	5	0	100	95
790	4.6	0	100	95.4
800	4.2	0	100	95.8
810	6.6	0	100	93.4
820	4.2	0	100	95.8
830	4.4	0	100	95.6
840	4.8	0	100	95.2
850	6	0	100	94
860	6.4	0	100	93.6
870	3.8	0	100	96.2
880	4.2	0	100	95.8
890	3.6	0	100	96.4
900	4.2	0	100	95.8
910	5	0	100	95
920	3.8	0	100	96.2
930	3.8	0	100	96.2
940	5.2	0	100	94.8
950	6.2	0	100	93.8
960	6.2	0	100	93.8
970	5.4	0	100	94.6
980	4.8	0	100	95.2
990	6	0	100	94
1000	4	0	100	96
1010	7	0	100	93
1020	5.8	0	100	94.2
1030	5.2	0	100	94.8
1040	5.8	0	100	94.2
1050	7	0	100	93
1060	4.2	0	100	95.8
1070	4.8	0	100	95.2
1080	4	0	100	96
1090	4.8	0	100	95.2
1100	6	0	100	94
1110	6	0	100	94
1120	4.8	0	100	95.2
1130	4.8	0	100	95.2
1140	5.8	0	100	94.2
1150	5	0	100	95
1160	6.8	0	100	93.2
1170	5.4	0	100	94.6
1180	4.2	0	100	95.8
1190	5.2	0	100	94.8
1200	4.4	0	100	95.6
1210	3.6	0	100	96.4
1220	4.8	0	100	95.2
1230	4.2	0	100	95.8
1240	2.2	0	100	97.8
1250	5.2	0	100	94.8
1260	4.8	0	100	95.2
1270	5	0	100	95
1280	3.6	0	100	96.4
1290	4	0	100	96
1300	6.6	0	100	93.4
1310	5.8	0	100	94.2
1320	5	0	100	95
1330	5.6	0	100	94.4
1340	6.6	0	100	93.4
1350	5.4	0	100	94.6
1360	6.4	0	100	93.6
1370	4.2	0	100	95.8
1380	4.6	0	100	95.4
1390	7	0	100	93
1400	4.8	0	100	95.2
1410	5.6	0	100	94.4
1420	5.2	0	100	94.8
1430	3.6	0	100	96.4
1440	6.4	0	100	93.6
1450	5	0	100	95
1460	4.4	0	100	95.6
1470	4	0	100	96
1480	4.4	0	100	95.6
1490	4.6	0	100	95.4
1500	5.2	0	100	94.8
1510	5.2	0	100	94.8
1520	4.8	0	100	95.2
1530	4.2	0	100	95.8
1540	4.6	0	100	95.4
1550	5.4	0	100	94.6
1560	4.6	0	100	95.4
1570	3.8	0	100	96.2
1580	4.8	0	100	95.2
1590	2.8	0	100	97.2
1600	6.4	0	100	93.6
1610	3.6	0	100	96.4
1620	5.2	0	100	94.8
1630	4	0	100	96
1640	6.2	0	100	93.8
1650	5.4	0	100	94.6
1660	7.8	0	100	92.2
1670	4.2	0	100	95.8
1680	6.2	0	100	93.8
1690	5.2	0	100	94.8
1700	4	0	100	96
1710	3.4	0	100	96.6
1720	4	0	100	96
1730	5.4	0	100	94.6
1740	3.8	0	100	96.2
1750	4	0	100	96
1760	5.4	0	100	94.6
1770	5.4	0	100	94.6
1780	5	0	100	95
1790	5.4	0	100	94.6
1800	3.8	0	100	96.2
1810	6.4	0	100	93.6
1820	4.8	0	100	95.2
1830	4.6	0	100	95.4
1840	4	0.2	99.8	96
1850	4.2	0	100	95.8
1860	6	0	100	94
1870	5	0	100	95
1880	5.4	0.2	99.8	94.6
1890	5	0.2	99.8	95
1900	4.6	0	100	95.4
1910	4.4	0	100	95.6
1920	4.8	0	100	95.2
1930	4	0.2	99.8	96
1940	7	0.2	99.8	93
1950	7.8	0	100	92.2
1960	5.6	0	100	94.4
1970	4.8	0.2	99.8	95.2
1980	5	0	100	95
1990	5.2	0.6	99.4	94.8
2000	5	0.2	99.8	95
2010	5.2	0.2	99.8	94.8
2020	3.6	0.4	99.6	96.4
2030	7.6	0	100	92.4
2040	5.8	0.6	99.4	94.2
2050	6.8	0.4	99.6	93.2
