t	FPR	FNR	TRP	TNR
100	5.6	0	100	94.4
110	4.8	0	100	95.2
120	6	0	100	94
130	5.6	0	100	94.4
140	6.8	0	100	93.2
150	4.4	0	100	95.6
160	6.2	0	100	93.8
170	5.8	0	100	94.2
180	5.2	0	100	94.8
190	6	0	100	94
200	4.4	0	100	95.6
210	6	0	100	94
220	4.8	0	100	95.2
230	4.8	0	100	95.2
240	5.4	0	100	94.6
250	4.6	0	100	95.4
260	4.2	0	100	95.8
270	6.2	0	100	93.8
280	5	0	100	95
290	4	0	100	96
300	5.4	0	100	94.6
310	5	0	100	95
320	2.8	0	100	97.2
330	6.6	0	100	93.4
340	4.4	0	100	95.6
350	5.2	0	100	94.8
360	4.4	0	100	95.6
370	4.4	0	100	95.6
380	4.6	0	100	95.4
390	4.6	0	100	95.4
400	6	0	100	94
410	5.2	0	100	94.8
420	4.8	0	100	95.2
430	5.4	0	100	94.6
440	4.4	0	100	95.6
450	6	0	100	94
460	5.2	0	100	94.8
470	6.4	0	100	93.6
480	5.4	0	100	94.6
490	7.2	0	100	92.8
500	6.6	0	100	93.4
510	6.2	0	100	93.8
520	5.6	0	100	94.4
530	6.6	0	100	93.4
540	6.2	0	100	93.8
550	5	0	100	95
560	6	0	100	94
570	4	0	100	96
580	5.4	0	100	94.6
590	3.2	0	100	96.8
600	5.6	0	100	94.4
610	4.8	0	100	95.2
620	4.4	0	100	95.6
630	5	0	100	95
640	5.6	0	100	94.4
650	3.6	0	100	96.4
660	6.4	0	100	93.6
670	5.8	0	100	94.2
680	3.8	0	100	96.2
690	5.4	0	100	94.6
700	5	0	100	95
710	5.8	0	100	94.2
720	5.6	0	100	94.4
730	5.2	0	100	94.8
740	4	0	100	96
750	6.4	0.4	99.6	93.6
760	3.8	0.2	99.8	96.2
770	4	0	100	96
780	5.6	0.2	99.8	94.4
790	4.8	0.2	99.8	95.2
800	6.8	0	100	93.2
810	4.8	0	100	95.2
820	3.2	0	100	96.8
830	5.6	0.4	99.6	94.4
840	5.2	0.2	99.8	94.8
850	5.8	0	100	94.2
860	5.4	0	100	94.6
870	5.6	0.4	99.6	94.4
880	5.6	0.2	99.8	94.4
890	6.2	0.6	99.4	93.8
900	5	1	99	95
910	4.4	0.8	99.2	95.6
920	5.2	0.6	99.4	94.8
930	6	1	99	94
940	4.2	0.8	99.2	95.8
950	6	0.6	99.4	94
960	6.4	1.4	98.6	93.6
970	3.8	1.2	98.8	96.2
980	6	2	98	94
990	5.8	1	99	94.2
1000	5	2	98	95
1010	4.8	1.2	98.8	95.2
1020	4.6	2.2	97.8	95.4
1030	4.8	3	97	95.2
1040	6.6	2.4	97.6	93.4
1050	5.8	2	98	94.2
1060	8.6	2.8	97.2	91.4
1070	6.2	1.6	98.4	93.8
1080	5.6	2.8	97.2	94.4
1090	4.8	3.4	96.6	95.2
1100	5.4	2.6	97.4	94.6
1110	4.8	3.8	96.2	95.2
1120	5.2	3	97	94.8
1130	4.4	5.2	94.8	95.6
1140	4.2	4.4	95.6	95.8
1150	4.8	7.8	92.2	95.2
1160	6.8	5.6	94.4	93.2
1170	6.4	4	96	93.6
1180	4.2	4.2	95.8	95.8
1190	4	7.2	92.8	96
1200	4.8	7	93	95.2
1210	5	6	94	95
1220	4.2	8.8	91.2	95.8
1230	6.6	10.6	89.4	93.4
1240	5.2	7.8	92.2	94.8
1250	5	10	90	95
1260	7	8.6	91.4	93
