t	FPR	FNR	TRP	TNR
1	0.2	100	0	99.8
2	0	100	0	100
3	0.2	99.8	0.2	99.8
4	0	99.6	0.4	100
5	0.4	99.8	0.2	99.6
6	0	99.6	0.4	100
7	0.2	98.8	1.2	99.8
8	0.6	100	0	99.4
9	0.2	99.6	0.4	99.8
10	0.2	99.2	0.8	99.8
11	0.2	98.8	1.2	99.8
12	0	98.8	1.2	100
13	0	98	2	100
14	0	98.4	1.6	100
15	0.2	98	2	99.8
16	0	98	2	100
17	0.6	97.6	2.4	99.4
18	0.4	96.4	3.6	99.6
19	0.2	96.4	3.6	99.8
20	0.2	97	3	99.8
21	0.2	95.8	4.2	99.8
22	0.2	94.2	5.8	99.8
23	0	94	6	100
24	0.2	94	6	99.8
25	0.2	92.6	7.4	99.8
26	0	90	10	100
27	0	89.8	10.2	100
28	0	88.2	11.8	100
29	0.2	89.4	10.6	99.8
30	0	85.8	14.2	100
31	0	84	16	100
32	0	85.2	14.8	100
33	0.2	80	20	99.8
34	0	82.2	17.8	100
35	0	76.6	23.4	100
36	0.2	74.6	25.4	99.8
37	0.2	73.6	26.4	99.8
38	0	69	31	100
39	0.4	69	31	99.6
40	0.2	70.2	29.8	99.8
41	0.2	67.2	32.8	99.8
42	0	58.4	41.6	100
43	0.4	54	46	99.6
44	0.2	56	44	99.8
45	0.2	56.2	43.8	99.8
46	0.2	53.8	46.2	99.8
47	0	46.8	53.2	100
48	0	48.2	51.8	100
49	0.4	45.6	54.4	99.6
50	0	43.6	56.4	100
51	0.2	37.4	62.6	99.8
52	0	38	62	100
53	0.2	35.4	64.6	99.8
54	0.2	34.2	65.8	99.8
55	0	31	69	100
56	0.6	29.8	70.2	99.4
57	0	27.2	72.8	100
58	0	29.8	70.2	100
59	0.2	24.4	75.6	99.8
60	0	23.6	76.4	100
61	0	21.2	78.8	100
62	0	17	83	100
63	0.4	17.4	82.6	99.6
64	0.2	12.6	87.4	99.8
65	0.2	12.4	87.6	99.8
66	0	13.8	86.2	100
67	0	10	90	100
68	0.2	8.8	91.2	99.8
69	0.4	8.8	91.2	99.6
70	0	8.8	91.2	100
71	0.2	7.2	92.8	99.8
72	0	7.6	92.4	100
73	0.4	6.2	93.8	99.6
74	0	4.8	95.2	100
75	0	3.8	96.2	100
76	0.2	4.6	95.4	99.8
77	0	1.8	98.2	100
78	0.2	3	97	99.8
79	0.2	2.4	97.6	99.8
80	0.6	2.4	97.6	99.4
81	0.4	1.8	98.2	99.6
82	0.4	2.4	97.6	99.6
83	0.4	1.4	98.6	99.6
84	0.2	1.2	98.8	99.8
85	0.2	1.4	98.6	99.8
86	0	0.6	99.4	100
87	0.6	0.4	99.6	99.4
88	0.2	1	99	99.8
89	0.4	1	99	99.6
90	0.2	0.2	99.8	99.8
91	0	1	99	100
92	0	0.6	99.4	100
93	0	0.2	99.8	100
94	0	0.2	99.8	100
95	0.2	0.6	99.4	99.8
96	0	0.4	99.6	100
97	0	0.2	99.8	100
98	0	0.4	99.6	100
99	0	0	100	100
100	0.2	0	100	99.8
101	0.2	0.2	99.8	99.8
102	0.2	0.2	99.8	99.8
103	0	0	100	100
104	0	0	100	100
105	0.2	0	100	99.8
106	0.2	0	100	99.8
107	0.4	0	100	99.6
108	0.6	0	100	99.4
109	0.2	0.2	99.8	99.8
110	0	0	100	100
111	0.2	0	100	99.8
112	0.4	0	100	99.6
113	0.2	0	100	99.8
114	0.4	0	100	99.6
115	0.2	0	100	99.8
116	0.2	0	100	99.8
117	0.2	0	100	99.8
118	0.2	0	100	99.8
119	0.2	0	100	99.8
120	0.6	0	100	99.4
121	0	0	100	100
122	0.2	0	100	99.8
123	0.2	0	100	99.8
124	0.4	0	100	99.6
125	0.2	0	100	99.8
126	0.2	0	100	99.8
127	0.2	0	100	99.8
128	0	0	100	100
129	0.2	0	100	99.8
130	0	0	100	100
131	0.6	0	100	99.4
132	0.4	0	100	99.6
133	0	0	100	100
134	0	0	100	100
135	0.4	0	100	99.6
136	0.2	0	100	99.8
137	0	0	100	100
138	0	0	100	100
139	0	0	100	100
140	0	0	100	100
141	0	0	100	100
142	0.2	0	100	99.8
143	0.2	0	100	99.8
144	0.2	0	100	99.8
145	0	0	100	100
146	0.4	0	100	99.6
147	0.4	0	100	99.6
148	0.6	0	100	99.4
149	0.2	0	100	99.8
150	0.2	0	100	99.8
