t	FPR	FNR	TRP	TNR
1	0	99.6	0.4	100
2	0.2	99.6	0.4	99.8
3	0.2	99.4	0.6	99.8
4	0.4	99.6	0.4	99.6
5	0.2	100	0	99.8
6	0	99.4	0.6	100
7	0	99	1	100
8	0.2	99	1	99.8
9	0.2	98.8	1.2	99.8
10	0	98.4	1.6	100
11	0	99.2	0.8	100
12	0.2	97.6	2.4	99.8
13	0.2	98	2	99.8
14	0	97.4	2.6	100
15	0.2	96.8	3.2	99.8
16	0.2	95.8	4.2	99.8
17	0	94.6	5.4	100
18	0.4	91.8	8.2	99.6
19	0	92.4	7.6	100
20	0	91	9	100
21	0.2	88.8	11.2	99.8
22	0	88.4	11.6	100
23	0.6	85.2	14.8	99.4
24	0.4	85	15	99.6
25	0	81.6	18.4	100
26	0	74.8	25.2	100
27	0.4	76.2	23.8	99.6
28	0.2	74.8	25.2	99.8
29	0	73	27	100
30	0	62.8	37.2	100
31	0.4	70.6	29.4	99.6
32	0	65.2	34.8	100
33	0	61.8	38.2	100
34	0.2	53.4	46.6	99.8
35	0.2	52.2	47.8	99.8
36	0	50.4	49.6	100
37	0.4	43.8	56.2	99.6
38	0.2	42.2	57.8	99.8
39	0.2	39.6	60.4	99.8
40	0	35.8	64.2	100
41	0.6	32	68	99.4
42	0.2	29.2	70.8	99.8
43	0	29.4	70.6	100
44	0.4	26.2	73.8	99.6
45	0	21.6	78.4	100
46	0	22.2	77.8	100
47	0.2	17.2	82.8	99.8
48	0	17.2	82.8	100
49	0.4	14.6	85.4	99.6
50	0	12.8	87.2	100
51	0.4	12.6	87.4	99.6
52	0.2	7	93	99.8
53	0.4	10.8	89.2	99.6
54	0.2	6.8	93.2	99.8
55	0	7.8	92.2	100
56	0	6.6	93.4	100
57	0.2	7.8	92.2	99.8
58	0.4	2.8	97.2	99.6
59	0.4	3.8	96.2	99.6
60	0.4	2.4	97.6	99.6
61	0	2.2	97.8	100
62	0	1.8	98.2	100
63	0	2	98	100
64	0.2	1.8	98.2	99.8
65	0	1.8	98.2	100
66	0.2	0.6	99.4	99.8
67	0.2	0.4	99.6	99.8
68	0	0.8	99.2	100
69	0.6	0.2	99.8	99.4
70	0	0.4	99.6	100
71	0.6	0.6	99.4	99.4
72	0.4	0.2	99.8	99.6
73	0.2	0	100	99.8
74	0.4	0.2	99.8	99.6
75	0.2	0.2	99.8	99.8
76	0.2	0	100	99.8
77	0.2	0	100	99.8
78	0.2	0.2	99.8	99.8
79	0	0	100	100
80	0	0	100	100
81	0	0	100	100
82	0	0	100	100
83	0.2	0	100	99.8
84	0.2	0	100	99.8
85	0.4	0	100	99.6
86	0.6	0	100	99.4
87	0	0	100	100
88	0.4	0	100	99.6
89	0.6	0	100	99.4
90	0	0	100	100
91	0	0	100	100
92	0.4	0	100	99.6
93	0	0	100	100
94	0	0	100	100
95	0.2	0	100	99.8
96	0.4	0	100	99.6
97	0.2	0	100	99.8
98	0.4	0	100	99.6
99	0	0	100	100
100	0.2	0	100	99.8
101	0.6	0	100	99.4
102	0.4	0	100	99.6
103	0.6	0	100	99.4
104	0	0	100	100
105	0.4	0	100	99.6
106	0.2	0	100	99.8
107	0.2	0	100	99.8
108	0.2	0	100	99.8
109	0.2	0	100	99.8
110	0.2	0	100	99.8
111	0.6	0	100	99.4
112	0	0	100	100
113	0.6	0	100	99.4
114	0	0	100	100
115	0	0	100	100
116	0	0	100	100
117	0.2	0	100	99.8
118	0.2	0	100	99.8
119	0.2	0	100	99.8
120	0	0	100	100
121	0.4	0	100	99.6
122	0.4	0	100	99.6
123	0.2	0	100	99.8
124	0.4	0	100	99.6
125	0.4	0	100	99.6
126	0.2	0	100	99.8
127	0.6	0	100	99.4
128	0	0	100	100
129	0.2	0	100	99.8
130	0.2	0	100	99.8
131	0.2	0	100	99.8
132	0.2	0	100	99.8
133	0	0	100	100
134	0	0	100	100
135	0	0	100	100
136	0.2	0	100	99.8
137	0.4	0	100	99.6
138	0.2	0	100	99.8
139	0.6	0	100	99.4
140	0	0	100	100
141	0	0	100	100
142	0	0	100	100
143	0.2	0	100	99.8
144	0.2	0	100	99.8
145	0.4	0	100	99.6
146	0.2	0	100	99.8
147	0.2	0	100	99.8
148	0.2	0	100	99.8
149	0.2	0	100	99.8
150	0	0	100	100
