t	FPR	FNR	TRP	TNR
1	0.2	99.4	0.6	99.8
2	0.2	100	0	99.8
3	0.4	99.8	0.2	99.6
4	0.2	100	0	99.8
5	0	99.8	0.2	100
6	0	99.4	0.6	100
7	0	99.2	0.8	100
8	0.4	100	0	99.6
9	0	100	0	100
10	0	99.6	0.4	100
11	0	100	0	100
12	0.2	99.8	0.2	99.8
13	0.2	99.6	0.4	99.8
14	0	99.6	0.4	100
15	0	99.8	0.2	100
16	0.2	99.4	0.6	99.8
17	0.2	99	1	99.8
18	0	99.4	0.6	100
19	0.2	99.2	0.8	99.8
20	0.4	99.6	0.4	99.6
21	0.2	99.2	0.8	99.8
22	0.2	99.2	0.8	99.8
23	0.2	99.6	0.4	99.8
24	0	98.4	1.6	100
25	0	99	1	100
26	0.2	98	2	99.8
27	0.4	98.8	1.2	99.6
28	0.2	97.8	2.2	99.8
29	0	98.6	1.4	100
30	0	98.6	1.4	100
31	0	97.8	2.2	100
32	0.2	97.8	2.2	99.8
33	0.2	97.6	2.4	99.8
34	0.6	97.8	2.2	99.4
35	0.2	96.4	3.6	99.8
36	0.4	96.4	3.6	99.6
37	0.6	96.4	3.6	99.4
38	0	93.6	6.4	100
39	0	96.8	3.2	100
40	0.2	94.8	5.2	99.8
41	0	97.4	2.6	100
42	0	96.2	3.8	100
43	0	93.2	6.8	100
44	0	92.6	7.4	100
45	0	93	7	100
46	0.2	92.2	7.8	99.8
47	0	92	8	100
48	0.6	91.8	8.2	99.4
49	0	90.4	9.6	100
50	0	89.4	10.6	100
51	0.2	89.4	10.6	99.8
52	0.4	92	8	99.6
53	0.4	87	13	99.6
54	0.4	87.2	12.8	99.6
55	0.6	85	15	99.4
56	0.4	87	13	99.6
57	0.4	85.8	14.2	99.6
58	0	82	18	100
59	0.2	82.6	17.4	99.8
60	0.2	86.2	13.8	99.8
61	0	82.6	17.4	100
62	0.2	83.8	16.2	99.8
63	0.2	80	20	99.8
64	0	82	18	100
65	0.2	79.2	20.8	99.8
66	0.2	79.4	20.6	99.8
67	0.2	77	23	99.8
68	0.2	72.6	27.4	99.8
69	0.6	79.2	20.8	99.4
70	0	73.4	26.6	100
71	0.4	70.8	29.2	99.6
72	0.4	69.6	30.4	99.6
73	0	68.2	31.8	100
74	0	70	30	100
75	0.4	64.8	35.2	99.6
76	0.4	67	33	99.6
77	0	63.4	36.6	100
78	0.4	62.6	37.4	99.6
79	0	61.4	38.6	100
80	0.2	61.6	38.4	99.8
81	0.2	57.6	42.4	99.8
82	0.2	58.4	41.6	99.8
83	0	55.6	44.4	100
84	0.2	57.6	42.4	99.8
85	0	55.8	44.2	100
86	0.2	56.8	43.2	99.8
87	0.2	52	48	99.8
88	0	51.2	48.8	100
89	0	48.2	51.8	100
90	0.6	46.2	53.8	99.4
91	0.2	44.6	55.4	99.8
92	0.6	48.8	51.2	99.4
93	0.2	43.8	56.2	99.8
94	0.2	43.8	56.2	99.8
95	0	43	57	100
96	0	40.8	59.2	100
97	0	39	61	100
98	0	40.6	59.4	100
99	0.4	39.2	60.8	99.6
100	0.6	39.6	60.4	99.4
101	0.4	35.4	64.6	99.6
102	0.4	32.2	67.8	99.6
103	0	34.4	65.6	100
104	0.4	29.6	70.4	99.6
105	0	26.6	73.4	100
106	0.2	28.6	71.4	99.8
107	0	31.2	68.8	100
108	0.6	24.8	75.2	99.4
109	0	27.8	72.2	100
110	0	21.6	78.4	100
111	0.4	22	78	99.6
112	0	21.8	78.2	100
113	0	20.6	79.4	100
114	0	20.8	79.2	100
115	0	18.8	81.2	100
116	0.4	17	83	99.6
117	0.4	16.4	83.6	99.6
118	0	15.6	84.4	100
119	0	14.6	85.4	100
120	0	18.4	81.6	100
121	0.2	14	86	99.8
122	0.2	13.4	86.6	99.8
123	0	13.4	86.6	100
124	0	12.2	87.8	100
125	0.2	14	86	99.8
126	0	10	90	100
127	0.4	11	89	99.6
128	0.4	10	90	99.6
129	0	9.6	90.4	100
130	0	9.6	90.4	100
131	0	6	94	100
132	0	7.8	92.2	100
133	0.4	5.6	94.4	99.6
134	0.4	6.4	93.6	99.6
135	0.2	6	94	99.8
136	0.6	6.8	93.2	99.4
137	0.4	6	94	99.6
138	0	5.4	94.6	100
139	0.2	5.8	94.2	99.8
140	0	4.6	95.4	100
141	0	5.2	94.8	100
142	0	4.8	95.2	100
143	0	4.8	95.2	100
144	0	3.2	96.8	100
145	0.2	1.4	98.6	99.8
146	0.2	2.8	97.2	99.8
147	0.2	2.6	97.4	99.8
148	0.6	3.4	96.6	99.4
149	0.2	3.2	96.8	99.8
150	0.4	3.2	96.8	99.6
