t	FPR	FNR	TRP	TNR
100	4.4	0	100	95.6
110	6.6	0	100	93.4
120	4.8	0	100	95.2
130	5	0	100	95
140	4.2	0	100	95.8
150	4	0	100	96
160	5.8	0	100	94.2
170	4.8	0	100	95.2
180	5.2	0	100	94.8
190	4.8	0	100	95.2
200	4	0	100	96
210	4.2	0	100	95.8
220	3.4	0	100	96.6
230	5.8	0	100	94.2
240	5.2	0	100	94.8
250	4.4	0	100	95.6
260	5	0	100	95
270	5	0	100	95
280	6.2	0	100	93.8
290	6.8	0	100	93.2
300	2.8	0	100	97.2
310	3.4	0	100	96.6
320	4.8	0	100	95.2
330	5.4	0	100	94.6
340	3.6	0	100	96.4
350	4.6	0	100	95.4
360	4.6	0	100	95.4
370	2.8	0	100	97.2
380	6.4	0	100	93.6
390	6.8	0	100	93.2
400	5.6	0	100	94.4
410	6	0	100	94
420	5.6	0	100	94.4
430	4.8	0	100	95.2
440	6.2	0	100	93.8
450	5	0	100	95
460	4	0	100	96
470	4.8	0	100	95.2
480	5	0	100	95
490	4.2	0	100	95.8
500	4.6	0	100	95.4
510	5.8	0	100	94.2
520	5.4	0	100	94.6
530	4.8	0	100	95.2
540	4.6	0	100	95.4
550	5.4	0	100	94.6
560	4.8	0	100	95.2
570	5	0	100	95
580	4.6	0	100	95.4
590	5.8	0	100	94.2
600	5.8	0	100	94.2
610	4.4	0	100	95.6
620	5.4	0	100	94.6
630	4.2	0	100	95.8
640	2.8	0	100	97.2
650	5.2	0	100	94.8
660	5	0	100	95
670	4.8	0	100	95.2
680	4.6	0	100	95.4
690	4.4	0	100	95.6
700	6.8	0	100	93.2
710	5	0	100	95
720	5.8	0	100	94.2
730	4.6	0	100	95.4
740	4.4	0	100	95.6
750	4.2	0	100	95.8
760	5.6	0	100	94.4
770	6	0	100	94
780	5.8	0	100	94.2
790	4	0	100	96
800	3.6	0	100	96.4
810	3.8	0	100	96.2
820	3.4	0	100	96.6
830	3.8	0	100	96.2
840	5.6	0	100	94.4
850	5.2	0	100	94.8
860	4	0	100	96
870	3.2	0	100	96.8
880	4.6	0	100	95.4
890	5	0	100	95
900	4.2	0	100	95.8
910	5.6	0	100	94.4
920	5.6	0	100	94.4
930	4.4	0	100	95.6
940	4.8	0	100	95.2
950	4.6	0	100	95.4
960	6.4	0	100	93.6
970	5.2	0.2	99.8	94.8
980	4	0.2	99.8	96
990	4.8	0	100	95.2
1000	3.6	0.2	99.8	96.4
1010	7	0.2	99.8	93
1020	4	0	100	96
1030	3.8	0.2	99.8	96.2
1040	4.4	0.4	99.6	95.6
1050	4	0.4	99.6	96
1060	4.8	0.2	99.8	95.2
1070	5.8	0.4	99.6	94.2
1080	5.6	0.2	99.8	94.4
1090	3.2	0.6	99.4	96.8
1100	5.4	0.6	99.4	94.6
1110	4.6	0.8	99.2	95.4
1120	4.4	0.6	99.4	95.6
1130	3.8	1	99	96.2
1140	3.4	0.4	99.6	96.6
1150	5.4	1	99	94.6
1160	5	0	100	95
1170	3.6	1.4	98.6	96.4
1180	7.2	1.2	98.8	92.8
1190	4.2	1.4	98.6	95.8
1200	4.2	2.2	97.8	95.8
1210	5.8	1	99	94.2
1220	6	2.4	97.6	94
1230	5.4	2.8	97.2	94.6
1240	4.6	0.8	99.2	95.4
1250	6	3.4	96.6	94
1260	3.8	3	97	96.2
1270	3	4	96	97
1280	3.4	1.2	98.8	96.6
1290	4.2	3	97	95.8
1300	5	3	97	95
1310	5	3.2	96.8	95
1320	5.2	4.4	95.6	94.8
1330	4	3	97	96
1340	4.2	5	95	95.8
1350	4.8	5.6	94.4	95.2
1360	2.8	3.8	96.2	97.2
1370	3.4	5.8	94.2	96.6
1380	4.2	5.6	94.4	95.8
1390	3.2	4.8	95.2	96.8
1400	3.6	6.8	93.2	96.4
1410	4.6	5.2	94.8	95.4
1420	2.4	8.6	91.4	97.6
1430	3.6	10.6	89.4	96.4
1440	2.6	7.4	92.6	97.4
1450	3.6	8.6	91.4	96.4
1460	3.2	10.2	89.8	96.8
1470	5.8	8.6	91.4	94.2
1480	6	11.4	88.6	94
1490	2.2	11.6	88.4	97.8
1500	3	11.6	88.4	97
1510	4.4	11.8	88.2	95.6
1520	3.6	12.8	87.2	96.4
1530	2.2	13.4	86.6	97.8
1540	3.8	14.2	85.8	96.2
1550	3.6	15	85	96.4
1560	4.2	13.4	86.6	95.8
1570	3.6	15.4	84.6	96.4
1580	3.6	14.2	85.8	96.4
1590	2.8	16.4	83.6	97.2
1600	5	18.8	81.2	95
1610	3.4	16.2	83.8	96.6
1620	2.6	16	84	97.4
1630	3.2	18.8	81.2	96.8
1640	2.4	23.4	76.6	97.6
1650	4.2	17.4	82.6	95.8
1660	3.4	17.4	82.6	96.6
1670	3.4	19.4	80.6	96.6
1680	3.2	21.4	78.6	96.8
1690	3.2	22.2	77.8	96.8
1700	2	24.2	75.8	98
1710	2	26	74	98
1720	3.8	24.6	75.4	96.2
1730	3.6	24.2	75.8	96.4
1740	3.6	26.8	73.2	96.4
1750	3.2	26.6	73.4	96.8
1760	3.2	25	75	96.8
1770	4	25.8	74.2	96
1780	3.2	25.2	74.8	96.8
1790	3.4	29.6	70.4	96.6
1800	2	29	71	98
1810	3.2	32.4	67.6	96.8
1820	3	29.4	70.6	97
1830	3	30.4	69.6	97
1840	2.2	30.6	69.4	97.8
1850	3.6	36.6	63.4	96.4
1860	4	35.6	64.4	96
1870	2.4	33.6	66.4	97.6
1880	2.8	40.4	59.6	97.2
1890	2.8	34.8	65.2	97.2
1900	1.6	40.2	59.8	98.4
1910	2	35.6	64.4	98
1920	2.4	39.4	60.6	97.6
1930	3.4	40.6	59.4	96.6
1940	3.6	38	62	96.4
1950	2.2	42.4	57.6	97.8
1960	3.2	42.2	57.8	96.8
1970	1.8	39.8	60.2	98.2
1980	2.4	41.2	58.8	97.6
1990	2.4	38.4	61.6	97.6
2000	2	43.2	56.8	98
2010	3	44.6	55.4	97
2020	2.4	45	55	97.6
2030	2.4	47.8	52.2	97.6
2040	3.2	43.4	56.6	96.8
2050	4	46.8	53.2	96
