t	FPR	FNR	TRP	TNR
100	3.8	0	100	96.2
110	6.6	0	100	93.4
120	6.6	0	100	93.4
130	3.8	0	100	96.2
140	4.8	0	100	95.2
150	4.6	0	100	95.4
160	5	0	100	95
170	6.8	0	100	93.2
180	5	0	100	95
190	4.8	0	100	95.2
200	5.4	0	100	94.6
210	5.2	0	100	94.8
220	5	0	100	95
230	3.6	0	100	96.4
240	5	0	100	95
250	3.6	0	100	96.4
260	6	0	100	94
270	4	0	100	96
280	4.2	0	100	95.8
290	4.2	0	100	95.8
300	4.2	0	100	95.8
310	5.6	0	100	94.4
320	4	0	100	96
330	6.6	0	100	93.4
340	4.8	0	100	95.2
350	4	0	100	96
360	5.4	0	100	94.6
370	5.2	0	100	94.8
380	3.4	0	100	96.6
390	4.6	0	100	95.4
400	4.2	0	100	95.8
410	5.8	0	100	94.2
420	4	0	100	96
430	4.6	0	100	95.4
440	4.6	0	100	95.4
450	3.2	0	100	96.8
460	5.2	0	100	94.8
470	4.2	0	100	95.8
480	5.2	0	100	94.8
490	5.4	0	100	94.6
500	4.6	0	100	95.4
510	5.8	0	100	94.2
520	4	0	100	96
530	4.2	0	100	95.8
540	4.4	0	100	95.6
550	3.4	0	100	96.6
560	4.8	0	100	95.2
570	4	0	100	96
580	5.2	0	100	94.8
590	4.4	0	100	95.6
600	3	0	100	97
610	3.8	0	100	96.2
620	3.8	0	100	96.2
630	5.8	0	100	94.2
640	5	0	100	95
650	4.4	0	100	95.6
660	3.8	0	100	96.2
670	5.2	0	100	94.8
680	4.2	0	100	95.8
690	5.2	0	100	94.8
700	5.4	0	100	94.6
710	3.4	0	100	96.6
720	4.6	0	100	95.4
730	4.6	0	100	95.4
740	6.6	0	100	93.4
750	4.4	0	100	95.6
760	5.2	0	100	94.8
770	4	0	100	96
780	6.2	0	100	93.8
790	4.4	0	100	95.6
800	6	0	100	94
810	4.4	0	100	95.6
820	4	0	100	96
830	5.8	0	100	94.2
840	5.2	0	100	94.8
850	6.2	0	100	93.8
860	5	0	100	95
870	5.8	0	100	94.2
880	4.2	0	100	95.8
890	7.2	0	100	92.8
900	4.6	0	100	95.4
910	4.4	0	100	95.6
920	4.6	0	100	95.4
930	3.8	0	100	96.2
940	4.8	0	100	95.2
950	3.4	0	100	96.6
960	4.2	0	100	95.8
970	3.8	0	100	96.2
980	5	0	100	95
990	5.4	0	100	94.6
1000	4.6	0	100	95.4
1010	6	0	100	94
1020	5.6	0	100	94.4
1030	4.6	0	100	95.4
1040	4.4	0	100	95.6
1050	5.2	0	100	94.8
1060	5.4	0	100	94.6
1070	6.2	0	100	93.8
1080	5.6	0	100	94.4
1090	4.2	0	100	95.8
1100	6.2	0	100	93.8
1110	6	0	100	94
1120	3.6	0	100	96.4
1130	3.4	0	100	96.6
1140	5.6	0	100	94.4
1150	7	0	100	93
1160	5	0	100	95
1170	4.6	0	100	95.4
1180	5	0	100	95
1190	5	0	100	95
1200	5.4	0	100	94.6
1210	5.4	0.2	99.8	94.6
1220	4.8	0	100	95.2
1230	4.4	0	100	95.6
1240	5.6	0.2	99.8	94.4
1250	4.2	0	100	95.8
1260	5.4	0	100	94.6
1270	5.4	0	100	94.6
1280	6	0	100	94
1290	6.4	0	100	93.6
1300	5.4	0	100	94.6
1310	5.8	0	100	94.2
1320	6.4	0	100	93.6
1330	5.6	0.4	99.6	94.4
1340	6	0.2	99.8	94
1350	3.4	0.2	99.8	96.6
1360	5.2	0.4	99.6	94.8
1370	3.2	0.2	99.8	96.8
1380	5.4	0.2	99.8	94.6
1390	5.2	0	100	94.8
1400	4.8	0	100	95.2
1410	4.4	0.4	99.6	95.6
1420	4.4	0	100	95.6
1430	5	0.4	99.6	95
1440	4.8	0	100	95.2
1450	5.8	0.6	99.4	94.2
1460	4.2	0.2	99.8	95.8
1470	6.6	0.4	99.6	93.4
1480	4.8	0.6	99.4	95.2
1490	4	1.2	98.8	96
1500	4.6	0.4	99.6	95.4
1510	3.2	0.6	99.4	96.8
1520	4.2	1.2	98.8	95.8
1530	3.2	1	99	96.8
1540	7	1.8	98.2	93
1550	3.2	1	99	96.8
1560	5.4	1.6	98.4	94.6
1570	5.8	0.6	99.4	94.2
1580	3.8	1.2	98.8	96.2
1590	4.4	2	98	95.6
1600	4.2	1.4	98.6	95.8
1610	4	2	98	96
1620	4	2	98	96
1630	4.2	1.4	98.6	95.8
1640	3.4	3.8	96.2	96.6
1650	3.8	3.4	96.6	96.2
1660	5.6	4.2	95.8	94.4
1670	2.8	3.2	96.8	97.2
1680	4.6	2.8	97.2	95.4
1690	3.4	3	97	96.6
1700	3	3.6	96.4	97
1710	3.8	3.2	96.8	96.2
1720	4.6	4.8	95.2	95.4
1730	5.4	3.6	96.4	94.6
1740	4.8	5.4	94.6	95.2
1750	3.8	2.6	97.4	96.2
1760	3.8	4.6	95.4	96.2
1770	5.2	6.2	93.8	94.8
1780	3.4	6.4	93.6	96.6
1790	4	5.6	94.4	96
1800	4.6	4	96	95.4
1810	2.2	5.2	94.8	97.8
1820	5.2	6.4	93.6	94.8
1830	4.8	7.2	92.8	95.2
1840	2.2	8.6	91.4	97.8
1850	5.8	8.6	91.4	94.2
1860	6	6.4	93.6	94
1870	5.8	7.8	92.2	94.2
1880	4.8	8	92	95.2
1890	4.2	8.2	91.8	95.8
1900	2.8	9.8	90.2	97.2
1910	4	10	90	96
1920	2.8	11.4	88.6	97.2
1930	5	8.6	91.4	95
1940	3.2	9.4	90.6	96.8
1950	3	9	91	97
1960	3.6	9.6	90.4	96.4
1970	4.2	10	90	95.8
1980	5	10.8	89.2	95
1990	2.6	12.8	87.2	97.4
2000	4.6	13.2	86.8	95.4
2010	3.4	11.4	88.6	96.6
2020	3.4	12.8	87.2	96.6
2030	4.4	15	85	95.6
2040	4	14.6	85.4	96
