t	FPR	FNR	TRP	TNR
100	4	0	100	96
110	4.4	0	100	95.6
120	6	0	100	94
130	5.4	0	100	94.6
140	3.8	0	100	96.2
150	3.2	0	100	96.8
160	5.6	0	100	94.4
170	3.6	0	100	96.4
180	7	0	100	93
190	5.4	0	100	94.6
200	6	0	100	94
210	5.2	0	100	94.8
220	4	0	100	96
230	3.6	0	100	96.4
240	5	0	100	95
250	5.2	0	100	94.8
260	4.6	0	100	95.4
270	4.8	0	100	95.2
280	3.6	0	100	96.4
290	5	0	100	95
300	5.6	0	100	94.4
310	6	0	100	94
320	3.6	0	100	96.4
330	5.2	0	100	94.8
340	4.8	0	100	95.2
350	5	0	100	95
360	6.2	0	100	93.8
370	4.8	0	100	95.2
380	3.2	0	100	96.8
390	4.8	0	100	95.2
400	3.4	0	100	96.6
410	3.6	0	100	96.4
420	3.8	0	100	96.2
430	5.2	0	100	94.8
440	5.2	0	100	94.8
450	4	0	100	96
460	6.2	0	100	93.8
470	4.4	0	100	95.6
480	5.2	0	100	94.8
490	5	0	100	95
500	3	0	100	97
510	3.8	0.2	99.8	96.2
520	4.8	0	100	95.2
530	3.4	0.4	99.6	96.6
540	6.2	0	100	93.8
550	4.4	0	100	95.6
560	4.2	0.4	99.6	95.8
570	4.4	0.4	99.6	95.6
580	5.4	1	99	94.6
590	3.8	0.4	99.6	96.2
600	5	0.8	99.2	95
610	4.4	0.8	99.2	95.6
620	4.2	1.8	98.2	95.8
630	4	1.8	98.2	96
640	4.6	3.4	96.6	95.4
650	5	2.4	97.6	95
660	5	2.8	97.2	95
670	5.2	2.4	97.6	94.8
680	4.6	3.8	96.2	95.4
690	5.4	3.2	96.8	94.6
700	1.8	5.4	94.6	98.2
710	4.2	4.2	95.8	95.8
720	4.6	5.8	94.2	95.4
730	3.8	4.6	95.4	96.2
740	2.8	8	92	97.2
750	4.4	8.4	91.6	95.6
760	5.4	7.2	92.8	94.6
770	2.8	8.8	91.2	97.2
780	4.6	13	87	95.4
790	4.8	11.4	88.6	95.2
800	3.2	12.8	87.2	96.8
810	3.6	11.4	88.6	96.4
820	2.8	14.2	85.8	97.2
830	4.2	17.8	82.2	95.8
840	4.4	15.6	84.4	95.6
850	3.6	16.4	83.6	96.4
860	2.4	19	81	97.6
870	3.2	18.6	81.4	96.8
880	3.4	16.8	83.2	96.6
890	2.2	21.4	78.6	97.8
900	3	22	78	97
910	4	23.8	76.2	96
920	4.2	22.2	77.8	95.8
930	4.8	29.4	70.6	95.2
940	2.4	28.8	71.2	97.6
950	3	30.2	69.8	97
960	2.4	30.2	69.8	97.6
970	3	32	68	97
980	3.6	32.4	67.6	96.4
990	2.4	32.2	67.8	97.6
1000	3.6	32.8	67.2	96.4
1010	1.4	37.2	62.8	98.6
1020	1.6	39.2	60.8	98.4
1030	2.2	40	60	97.8
1040	3.2	41.6	58.4	96.8
1050	2.2	41.2	58.8	97.8
1060	3.6	41.2	58.8	96.4
1070	3.2	45.6	54.4	96.8
1080	3	46.2	53.8	97
1090	2.8	48.2	51.8	97.2
1100	2.8	50	50	97.2
1110	2	48	52	98
1120	2.2	49.4	50.6	97.8
1130	3.2	49.8	50.2	96.8
1140	2.4	48.8	51.2	97.6
1150	2.8	53	47	97.2
1160	3.2	58.2	41.8	96.8
1170	2.4	54.2	45.8	97.6
1180	2.2	58.2	41.8	97.8
1190	3	57	43	97
1200	2.4	58.4	41.6	97.6
1210	2.2	58.6	41.4	97.8
1220	1	58	42	99
1230	2.8	60.6	39.4	97.2
1240	1.8	61.2	38.8	98.2
1250	2.6	56.8	43.2	97.4
1260	2.2	58.2	41.8	97.8
1270	2.6	61.2	38.8	97.4
1280	1.6	61.6	38.4	98.4
1290	1.4	63.6	36.4	98.6
1300	2.2	67.4	32.6	97.8
1310	1.6	65.4	34.6	98.4
1320	1.6	69.4	30.6	98.4
1330	1	64.8	35.2	99
1340	2.4	69.4	30.6	97.6
1350	1.8	70.2	29.8	98.2
1360	1.2	69.6	30.4	98.8
1370	1.8	72.2	27.8	98.2
1380	1.8	70.4	29.6	98.2
1390	2.4	72.2	27.8	97.6
1400	2	68	32	98
1410	1.4	73.6	26.4	98.6
1420	1.4	73.4	26.6	98.6
1430	2	75.4	24.6	98
1440	0.6	75.8	24.2	99.4
1450	1	73.6	26.4	99
1460	1.4	73.4	26.6	98.6
1470	0.8	74.6	25.4	99.2
1480	1.4	76	24	98.6
1490	1.2	77.4	22.6	98.8
1500	1.6	77.2	22.8	98.4
1510	1.8	74.2	25.8	98.2
1520	1.6	81	19	98.4
1530	1.4	75.2	24.8	98.6
1540	0.8	78.8	21.2	99.2
1550	1	84.4	15.6	99
1560	0.8	80.4	19.6	99.2
1570	1.6	80.4	19.6	98.4
1580	2	80.2	19.8	98
1590	1.8	82.6	17.4	98.2
1600	0.8	83.2	16.8	99.2
1610	0.4	80.2	19.8	99.6
1620	0.8	83.6	16.4	99.2
1630	0.8	82.2	17.8	99.2
1640	0.8	82	18	99.2
1650	1.6	83.2	16.8	98.4
1660	1.4	81.4	18.6	98.6
1670	2	82.2	17.8	98
1680	0.8	85.4	14.6	99.2
1690	1.4	84.2	15.8	98.6
1700	1	82	18	99
1710	1.8	84.4	15.6	98.2
1720	1.2	86.2	13.8	98.8
1730	0.6	86.4	13.6	99.4
1740	0.8	86.8	13.2	99.2
1750	1	84.6	15.4	99
1760	0.8	88.2	11.8	99.2
1770	1.6	85.2	14.8	98.4
1780	0.2	85.8	14.2	99.8
1790	0.4	86.6	13.4	99.6
1800	0.8	87.6	12.4	99.2
1810	0.8	88.8	11.2	99.2
1820	0.6	87.6	12.4	99.4
1830	0.8	87.8	12.2	99.2
1840	1.4	86.8	13.2	98.6
1850	1.2	89.6	10.4	98.8
1860	1	88.2	11.8	99
1870	1.2	85.6	14.4	98.8
1880	1	89.2	10.8	99
1890	0.8	91	9	99.2
1900	1.4	88.6	11.4	98.6
1910	1	89.8	10.2	99
1920	1	90.2	9.8	99
1930	1.2	89	11	98.8
1940	0.8	89.4	10.6	99.2
1950	0.8	89.6	10.4	99.2
1960	1	87.4	12.6	99
1970	0.8	91.2	8.8	99.2
1980	0.6	91.8	8.2	99.4
1990	0.6	88.6	11.4	99.4
2000	1.6	91	9	98.4
2010	0.8	92.2	7.8	99.2
2020	0.8	91.2	8.8	99.2
2030	0.6	88.4	11.6	99.4
2040	1	92.4	7.6	99
2050	0.4	92.8	7.2	99.6
