t	FPR	FNR	TRP	TNR
100	0.2	0	100	99.8
110	0	0	100	100
120	0.2	0	100	99.8
130	0	0	100	100
140	0.4	0	100	99.6
150	0	0	100	100
160	0.2	0	100	99.8
170	0.6	0	100	99.4
180	0.2	0	100	99.8
190	0.2	0	100	99.8
200	0.2	0	100	99.8
210	0	0	100	100
220	0	0	100	100
230	0	0	100	100
240	0.2	0	100	99.8
250	0	0	100	100
260	0.6	0	100	99.4
270	0.4	0	100	99.6
280	0.2	0	100	99.8
290	0.2	0	100	99.8
300	0.2	0	100	99.8
310	0.2	0	100	99.8
320	0	0	100	100
330	0.2	0	100	99.8
340	0.2	0	100	99.8
350	0	0	100	100
360	0	0	100	100
370	0	0	100	100
380	0.2	0	100	99.8
390	0	0	100	100
400	0	0	100	100
410	0	0	100	100
420	0.2	0	100	99.8
430	0	0	100	100
440	0	0	100	100
450	0.2	0	100	99.8
460	0.2	0	100	99.8
470	0	0	100	100
480	0.4	0	100	99.6
490	0.2	0	100	99.8
500	0.2	0	100	99.8
510	0	0	100	100
520	0.4	0	100	99.6
530	0.2	0	100	99.8
540	0.2	0	100	99.8
550	0.2	0	100	99.8
560	0	0	100	100
570	0	0	100	100
580	0.4	0	100	99.6
590	0	0	100	100
600	0.2	0	100	99.8
610	0	0	100	100
620	0.2	0	100	99.8
630	0.2	0	100	99.8
640	0	0	100	100
650	0.6	0	100	99.4
660	0	0	100	100
670	0	0	100	100
680	0.2	0	100	99.8
690	0	0	100	100
700	0	0	100	100
710	0	0	100	100
720	0.4	0	100	99.6
730	0.2	0	100	99.8
740	0.2	0	100	99.8
750	0	0	100	100
760	0	0	100	100
770	0.2	0	100	99.8
780	0.4	0	100	99.6
790	0	0	100	100
800	0.2	0	100	99.8
810	0	0	100	100
820	0.4	0	100	99.6
830	0	0	100	100
840	0	0	100	100
850	0.2	0	100	99.8
860	0	0	100	100
870	0.2	0	100	99.8
880	0.2	0	100	99.8
890	0.6	0	100	99.4
900	0.4	0	100	99.6
910	0.4	0	100	99.6
920	0.4	0	100	99.6
930	0.2	0	100	99.8
940	0.2	0	100	99.8
950	0	0	100	100
960	0.6	0	100	99.4
970	0.2	0.2	99.8	99.8
980	0.4	0.2	99.8	99.6
990	0.2	0	100	99.8
1000	0	0.2	99.8	100
1010	0	0.2	99.8	100
1020	0	0	100	100
1030	0	0.2	99.8	100
1040	0.2	0.4	99.6	99.8
1050	0	0.4	99.6	100
1060	0	0.2	99.8	100
1070	0	0.4	99.6	100
1080	0	0.2	99.8	100
1090	0.2	0.6	99.4	99.8
1100	0.2	0.6	99.4	99.8
1110	0.2	0.8	99.2	99.8
1120	0	0.6	99.4	100
1130	0	1	99	100
1140	0.2	0.4	99.6	99.8
1150	0.2	1	99	99.8
1160	0.4	0	100	99.6
1170	0.6	1.4	98.6	99.4
