t	FPR	FNR	TRP	TNR
100	0	0	100	100
110	0.2	0	100	99.8
120	0.2	0	100	99.8
130	0.4	0	100	99.6
140	0.2	0	100	99.8
150	0	0	100	100
160	0	0	100	100
170	0.2	0	100	99.8
180	0.2	0	100	99.8
190	0	0	100	100
200	0	0	100	100
210	0.2	0	100	99.8
220	0.2	0	100	99.8
230	0	0	100	100
240	0.2	0	100	99.8
250	0.2	0	100	99.8
260	0	0	100	100
270	0.4	0	100	99.6
280	0	0	100	100
290	0	0	100	100
300	0.2	0	100	99.8
310	0	0	100	100
320	0.6	0	100	99.4
330	0.4	0	100	99.6
340	0	0	100	100
350	0	0	100	100
360	0.4	0	100	99.6
370	0.2	0	100	99.8
380	0	0	100	100
390	0	0	100	100
400	0.4	0	100	99.6
410	0	0	100	100
420	0	0	100	100
430	0.2	0	100	99.8
440	0.2	0	100	99.8
450	0	0	100	100
460	0.4	0	100	99.6
470	0.2	0	100	99.8
480	0.2	0	100	99.8
490	0	0	100	100
500	0.6	0	100	99.4
510	0.2	0	100	99.8
520	0	0	100	100
530	0.4	0	100	99.6
540	0	0	100	100
550	0	0	100	100
560	0.2	0	100	99.8
570	0	0	100	100
580	0.4	0	100	99.6
590	0	0	100	100
600	0.4	0	100	99.6
610	0.2	0	100	99.8
620	0.4	0	100	99.6
630	0.2	0	100	99.8
640	0	0	100	100
650	0	0	100	100
660	0.2	0	100	99.8
670	0.4	0	100	99.6
680	0.4	0	100	99.6
690	0.4	0	100	99.6
700	0	0	100	100
710	0	0	100	100
720	0	0	100	100
730	0.2	0	100	99.8
740	0	0	100	100
750	0.2	0	100	99.8
760	0.2	0	100	99.8
770	0	0	100	100
780	0.6	0	100	99.4
790	0	0	100	100
800	0.6	0	100	99.4
810	0.4	0	100	99.6
820	0.2	0	100	99.8
830	0.4	0	100	99.6
840	0.2	0	100	99.8
850	0.2	0	100	99.8
860	0.2	0	100	99.8
870	0.2	0	100	99.8
880	0	0	100	100
890	0	0	100	100
900	0	0	100	100
910	0	0	100	100
920	0.2	0	100	99.8
930	0.2	0	100	99.8
940	0.4	0	100	99.6
950	0.6	0	100	99.4
960	0	0	100	100
970	0.4	0	100	99.6
980	0.6	0	100	99.4
990	0	0	100	100
1000	0	0	100	100
1010	0.4	0	100	99.6
1020	0	0	100	100
1030	0	0	100	100
1040	0.2	0	100	99.8
1050	0.4	0	100	99.6
1060	0.2	0	100	99.8
1070	0.4	0	100	99.6
1080	0	0	100	100
1090	0.2	0	100	99.8
1100	0.6	0	100	99.4
1110	0.4	0	100	99.6
1120	0.6	0	100	99.4
1130	0	0	100	100
1140	0.4	0	100	99.6
1150	0.2	0	100	99.8
1160	0.2	0	100	99.8
1170	0.2	0	100	99.8
1180	0.2	0	100	99.8
1190	0.2	0	100	99.8
1200	0.6	0	100	99.4
1210	0	0.2	99.8	100
1220	0.6	0	100	99.4
1230	0	0	100	100
1240	0	0.2	99.8	100
1250	0	0	100	100
1260	0.2	0	100	99.8
1270	0.2	0	100	99.8
1280	0.2	0	100	99.8
1290	0	0	100	100
1300	0.4	0	100	99.6
1310	0.4	0	100	99.6
1320	0.2	0	100	99.8
1330	0.4	0.4	99.6	99.6
1340	0.4	0.2	99.8	99.6
1350	0.2	0.2	99.8	99.8
1360	0.6	0.4	99.6	99.4
1370	0	0.2	99.8	100
1380	0.2	0.2	99.8	99.8
1390	0.2	0	100	99.8
1400	0.2	0	100	99.8
1410	0.2	0.4	99.6	99.8
1420	0	0	100	100
1430	0	0.4	99.6	100
1440	0	0	100	100
1450	0.2	0.6	99.4	99.8
1460	0.4	0.2	99.8	99.6
1470	0.2	0.4	99.6	99.8
1480	0.6	0.6	99.4	99.4
1490	0	1.2	98.8	100
1500	0	0.4	99.6	100
1510	0	0.6	99.4	100
1520	0.2	1.2	98.8	99.8
1530	0.2	1	99	99.8
1540	0.4	1.8	98.2	99.6
1550	0.2	1	99	99.8
1560	0.2	1.6	98.4	99.8
1570	0.2	0.6	99.4	99.8
1580	0.2	1.2	98.8	99.8
1590	0	2	98	100
1600	0	1.4	98.6	100
1610	0.2	2	98	99.8
1620	0.4	2	98	99.6
1630	0.4	1.4	98.6	99.6
1640	0	3.8	96.2	100
1650	0	3.4	96.6	100
1660	0	4.2	95.8	100
1670	0.4	3.2	96.8	99.6
1680	0.2	2.8	97.2	99.8
1690	0	3	97	100
1700	0.2	3.6	96.4	99.8
1710	0	3.2	96.8	100
1720	0.4	4.8	95.2	99.6
1730	0.2	3.6	96.4	99.8
1740	0.4	5.4	94.6	99.6
1750	0	2.6	97.4	100
1760	0.2	4.6	95.4	99.8
1770	0	6.2	93.8	100
1780	0.4	6.4	93.6	99.6
1790	0.4	5.6	94.4	99.6
1800	0.2	4	96	99.8
1810	0	5.2	94.8	100
1820	0.2	6.4	93.6	99.8
1830	0	7.2	92.8	100
1840	0.2	8.6	91.4	99.8
1850	0.2	8.6	91.4	99.8
1860	0.4	6.4	93.6	99.6
1870	0.2	7.8	92.2	99.8
1880	0	8	92	100
1890	0	8.2	91.8	100
1900	0.2	9.8	90.2	99.8
1910	0.6	10	90	99.4
1920	0	11.4	88.6	100
1930	0.2	8.6	91.4	99.8
1940	0.4	9.4	90.6	99.6
1950	0	9	91	100
1960	0.2	9.6	90.4	99.8
1970	0	10	90	100
1980	0.2	10.8	89.2	99.8
1990	0.2	12.8	87.2	99.8
2000	0	13.2	86.8	100
2010	0	11.4	88.6	100
2020	0.2	12.8	87.2	99.8
2030	0.2	15	85	99.8
2040	0.2	14.6	85.4	99.8
2050	0.4	15.6	84.4	99.6
