t	FPR	FNR	TRP	TNR
100	0.2	0	100	99.8
110	0.2	0	100	99.8
120	0.4	0	100	99.6
130	0.2	0	100	99.8
140	0	0	100	100
150	0	0	100	100
160	0	0	100	100
170	0.4	0	100	99.6
180	0	0	100	100
190	0	0	100	100
200	0	0	100	100
210	0.2	0	100	99.8
220	0.2	0	100	99.8
230	0	0	100	100
240	0	0	100	100
250	0.2	0	100	99.8
260	0.2	0	100	99.8
270	0	0	100	100
280	0.2	0	100	99.8
290	0.4	0	100	99.6
300	0.2	0	100	99.8
310	0.2	0	100	99.8
320	0.2	0	100	99.8
330	0	0	100	100
340	0	0	100	100
350	0.2	0	100	99.8
360	0.4	0	100	99.6
370	0.2	0	100	99.8
380	0	0	100	100
390	0	0	100	100
400	0	0	100	100
410	0.2	0	100	99.8
420	0.2	0	100	99.8
430	0.6	0	100	99.4
440	0.2	0	100	99.8
450	0.4	0	100	99.6
460	0.6	0	100	99.4
470	0	0	100	100
480	0	0	100	100
490	0.2	0	100	99.8
500	0	0	100	100
510	0	0.2	99.8	100
520	0	0	100	100
530	0	0.4	99.6	100
540	0	0	100	100
550	0.2	0	100	99.8
560	0	0.4	99.6	100
570	0.6	0.4	99.6	99.4
580	0	1	99	100
590	0	0.4	99.6	100
600	0.2	0.8	99.2	99.8
610	0.4	0.8	99.2	99.6
620	0.4	1.8	98.2	99.6
630	0.4	1.8	98.2	99.6
640	0.6	3.4	96.6	99.4
650	0.4	2.4	97.6	99.6
660	0.4	2.8	97.2	99.6
670	0	2.4	97.6	100
680	0.2	3.8	96.2	99.8
690	0.2	3.2	96.8	99.8
700	0	5.4	94.6	100
710	0.2	4.2	95.8	99.8
720	0.2	5.8	94.2	99.8
730	0	4.6	95.4	100
740	0.2	8	92	99.8
750	0.2	8.4	91.6	99.8
760	0.2	7.2	92.8	99.8
770	0.2	8.8	91.2	99.8
780	0.6	13	87	99.4
790	0	11.4	88.6	100
800	0.4	12.8	87.2	99.6
810	0.4	11.4	88.6	99.6
820	0	14.2	85.8	100
830	0	17.8	82.2	100
840	0.4	15.6	84.4	99.6
850	0.4	16.4	83.6	99.6
860	0	19	81	100
870	0.4	18.6	81.4	99.6
880	0	16.8	83.2	100
890	0.2	21.4	78.6	99.8
900	0.2	22	78	99.8
910	0.2	23.8	76.2	99.8
920	0	22.2	77.8	100
930	0.2	29.4	70.6	99.8
940	0	28.8	71.2	100
950	0.2	30.2	69.8	99.8
960	0.2	30.2	69.8	99.8
970	0	32	68	100
980	0	32.4	67.6	100
990	0.6	32.2	67.8	99.4
1000	0.2	32.8	67.2	99.8
1010	0.6	37.2	62.8	99.4
1020	0.2	39.2	60.8	99.8
1030	0.2	40	60	99.8
1040	0	41.6	58.4	100
1050	0	41.2	58.8	100
1060	0	41.2	58.8	100
1070	0	45.6	54.4	100
1080	0.4	46.2	53.8	99.6
1090	0.6	48.2	51.8	99.4
1100	0.4	50	50	99.6
1110	0.4	48	52	99.6
1120	0	49.4	50.6	100
1130	0.4	49.8	50.2	99.6
1140	0	48.8	51.2	100
1150	0.2	53	47	99.8
1160	0	58.2	41.8	100
1170	0.6	54.2	45.8	99.4
1180	0	58.2	41.8	100
1190	0	57	43	100
1200	0.4	58.4	41.6	99.6
1210	0	58.6	41.4	100
1220	0	58	42	100
1230	0	60.6	39.4	100
1240	0	61.2	38.8	100
1250	0.4	56.8	43.2	99.6
1260	0.4	58.2	41.8	99.6
1270	0	61.2	38.8	100
1280	0	61.6	38.4	100
1290	0	63.6	36.4	100
1300	0.2	67.4	32.6	99.8
1310	0.2	65.4	34.6	99.8
1320	0	69.4	30.6	100
1330	0	64.8	35.2	100
1340	0.2	69.4	30.6	99.8
1350	0	70.2	29.8	100
1360	0.4	69.6	30.4	99.6
1370	0.4	72.2	27.8	99.6
1380	0	70.4	29.6	100
1390	0	72.2	27.8	100
1400	0	68	32	100
