t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0	100	0	100
11	0	100	0	100
12	0	100	0	100
13	0	100	0	100
14	0	100	0	100
15	0	100	0	100
16	0.2	99.6	0.4	99.8
17	0	100	0	100
18	0	100	0	100
19	0	100	0	100
20	0	100	0	100
21	0	100	0	100
22	0.2	100	0	99.8
23	0	100	0	100
24	0	100	0	100
25	0	99.6	0.4	100
26	0	100	0	100
27	0	100	0	100
28	0	100	0	100
29	0	100	0	100
30	0	100	0	100
31	0	100	0	100
32	0	100	0	100
33	0.6	99.8	0.2	99.4
34	0.4	100	0	99.6
35	0	100	0	100
36	0	100	0	100
37	0.4	99.4	0.6	99.6
38	0.2	100	0	99.8
39	0	99.6	0.4	100
40	0	100	0	100
41	2.6	100	0	97.4
42	0	100	0	100
43	0	99.8	0.2	100
44	0	100	0	100
45	0	100	0	100
46	0.4	99.8	0.2	99.6
47	13.6	99.8	0.2	86.4
48	0.4	100	0	99.6
49	3.6	99.6	0.4	96.4
50	4.4	99.8	0.2	95.6
51	1	100	0	99
52	19.8	99.8	0.2	80.2
53	14.2	99	1	85.8
54	0.8	72.2	27.8	99.2
55	4.6	98.6	1.4	95.4
56	11.2	99	1	88.8
57	3.6	98.2	1.8	96.4
58	10	98.6	1.4	90
59	1.4	58	42	98.6
60	0.8	66.8	33.2	99.2
61	3	32	68	97
62	1.4	44.8	55.2	98.6
63	58.6	98.6	1.4	41.4
64	55.8	98.4	1.6	44.2
65	3.2	35.2	64.8	96.8
66	61.6	98.6	1.4	38.4
67	2	31.4	68.6	98
68	65.8	98.4	1.6	34.2
69	1.6	34.2	65.8	98.4
70	2.8	24.4	75.6	97.2
71	2.8	17.2	82.8	97.2
72	68.6	96.8	3.2	31.4
73	84.2	97	3	15.8
74	81	99	1	19
75	76.6	98.2	1.8	23.4
76	74.8	99.2	0.8	25.2
77	77.4	97.6	2.4	22.6
78	83	97.6	2.4	17
79	85.2	97.8	2.2	14.8
80	88	97.6	2.4	12
81	88.6	97.8	2.2	11.4
82	88.2	98	2	11.8
83	3.8	5	95	96.2
84	84.6	96.6	3.4	15.4
85	3.6	8.2	91.8	96.4
86	2.2	4.6	95.4	97.8
87	94.2	98.4	1.6	5.8
88	2.4	12.2	87.8	97.6
89	1.4	8	92	98.6
90	2	6.2	93.8	98
91	94.6	98	2	5.4
92	6	2	98	94
93	2.6	3.4	96.6	97.4
94	3.2	4.8	95.2	96.8
95	96.4	97.2	2.8	3.6
96	97.4	97	3	2.6
97	2.2	2.6	97.4	97.8
98	98	97.4	2.6	2
99	1.6	1.4	98.6	98.4
100	98	98.2	1.8	2
101	98.6	97.4	2.6	1.4
102	2.2	1.4	98.6	97.8
103	96.8	97.2	2.8	3.2
104	2.4	1.8	98.2	97.6
105	99.4	96.8	3.2	0.6
106	2	1.6	98.4	98
107	1.8	0.8	99.2	98.2
108	99	97.4	2.6	1
109	99.4	99	1	0.6
110	99.2	96.2	3.8	0.8
111	1.6	1.4	98.6	98.4
112	99.6	97.4	2.6	0.4
113	99.2	97.6	2.4	0.8
114	98.8	98	2	1.2
115	99.6	97.6	2.4	0.4
116	99.2	96.6	3.4	0.8
117	99.4	97.6	2.4	0.6
118	1.6	0.6	99.4	98.4
119	2.8	0.2	99.8	97.2
120	2.2	0.2	99.8	97.8
121	99.8	98.2	1.8	0.2
122	3	0	100	97
123	99.8	97.8	2.2	0.2
124	2	0	100	98
125	2.4	0	100	97.6
126	100	98.4	1.6	0
127	99.8	97.6	2.4	0.2
128	100	97.6	2.4	0
129	99.8	99.4	0.6	0.2
130	3	0	100	97
131	3.4	0.2	99.8	96.6
132	100	98.6	1.4	0
133	1.8	0	100	98.2
134	2.4	0.2	99.8	97.6
135	2	0	100	98
136	3.4	0	100	96.6
137	100	97.4	2.6	0
138	100	96.6	3.4	0
139	1.8	0	100	98.2
140	100	96.4	3.6	0
141	2.6	0	100	97.4
142	100	96.6	3.4	0
143	2	0	100	98
144	1.8	0	100	98.2
145	1.6	0	100	98.4
146	4.4	0	100	95.6
147	100	96.6	3.4	0
148	1.6	0	100	98.4
149	3.6	0	100	96.4
150	2.2	0	100	97.8
