t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	99.8	0.2	100
5	0.4	99.8	0.2	99.6
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0	100	0	100
11	0	100	0	100
12	0	100	0	100
13	0	100	0	100
14	0	99.8	0.2	100
15	0	100	0	100
16	0	99.8	0.2	100
17	0	100	0	100
18	0.4	100	0	99.6
19	0	99.8	0.2	100
20	0	99.8	0.2	100
21	0	100	0	100
22	0.6	99.8	0.2	99.4
23	0	100	0	100
24	0.2	99.2	0.8	99.8
25	0	99.2	0.8	100
26	0	96	4	100
27	0	100	0	100
28	0	99.6	0.4	100
29	0	88.8	11.2	100
30	3.4	99.6	0.4	96.6
31	28.4	99.8	0.2	71.6
32	0.4	99.8	0.2	99.6
33	35	99	1	65
34	45.8	99.2	0.8	54.2
35	46.8	99.4	0.6	53.2
36	42.8	99.4	0.6	57.2
37	16.2	97.8	2.2	83.8
38	52.2	98.8	1.2	47.8
39	0.6	36	64	99.4
40	62	98.4	1.6	38
41	1.8	41.6	58.4	98.2
42	72	98.2	1.8	28
43	65.2	97.8	2.2	34.8
44	76	98.2	1.8	24
45	71.4	97.4	2.6	28.6
46	81.8	97.4	2.6	18.2
47	74.4	98.2	1.8	25.6
48	79.4	98.2	1.8	20.6
49	1	15	85	99
50	86.4	97.6	2.4	13.6
51	90.4	98.2	1.8	9.6
52	89.6	98	2	10.4
53	92.8	98.2	1.8	7.2
54	92.6	98.4	1.6	7.4
55	3.4	5.4	94.6	96.6
56	92.6	97.8	2.2	7.4
57	95.6	97.6	2.4	4.4
58	2	6.6	93.4	98
59	3	4.4	95.6	97
60	97.6	96.4	3.6	2.4
61	2.4	2	98	97.6
62	2	2.6	97.4	98
63	1.2	1	99	98.8
64	98	97.8	2.2	2
65	99.4	98	2	0.6
66	99	97.2	2.8	1
67	99.4	97.8	2.2	0.6
68	1.8	0.6	99.4	98.2
69	99.2	98	2	0.8
70	3.4	0.6	99.4	96.6
71	100	98.2	1.8	0
72	2.2	0	100	97.8
73	99.2	97.4	2.6	0.8
74	100	97	3	0
75	99.8	97.2	2.8	0.2
76	2.6	0	100	97.4
77	1.8	0	100	98.2
78	100	96.4	3.6	0
79	100	99.2	0.8	0
80	2.2	0.2	99.8	97.8
81	3	0	100	97
82	2.2	0	100	97.8
83	100	96.6	3.4	0
84	100	97.8	2.2	0
85	100	96.8	3.2	0
86	3	0	100	97
87	2.6	0	100	97.4
88	100	96	4	0
89	100	98.6	1.4	0
90	2.6	0	100	97.4
91	3	0	100	97
92	1.8	0	100	98.2
93	100	97	3	0
94	100	97.6	2.4	0
95	100	97.6	2.4	0
96	100	96.8	3.2	0
97	1.8	0	100	98.2
98	1.6	0	100	98.4
99	100	95.8	4.2	0
100	100	96.4	3.6	0
101	1.4	0	100	98.6
102	100	96.8	3.2	0
103	1.8	0	100	98.2
104	3.8	0	100	96.2
105	2.8	0	100	97.2
106	100	96.8	3.2	0
107	100	97.6	2.4	0
108	100	97.4	2.6	0
109	3.8	0	100	96.2
110	100	97.4	2.6	0
111	2.8	0	100	97.2
112	1.4	0	100	98.6
113	100	96.8	3.2	0
114	100	97	3	0
115	2.8	0	100	97.2
116	3.4	0	100	96.6
117	2.2	0	100	97.8
118	100	96.8	3.2	0
119	3	0	100	97
120	100	97.6	2.4	0
121	100	97	3	0
122	3.8	0	100	96.2
123	100	98	2	0
124	3	0	100	97
125	100	98	2	0
126	2.6	0	100	97.4
127	100	97	3	0
128	3.4	0	100	96.6
129	2.4	0	100	97.6
130	1	0	100	99
131	100	97.8	2.2	0
132	100	97.4	2.6	0
133	3.6	0	100	96.4
134	4	0	100	96
135	3.6	0	100	96.4
136	100	97.4	2.6	0
137	100	97.2	2.8	0
138	2.6	0	100	97.4
139	100	96.2	3.8	0
140	100	96.4	3.6	0
141	3	0	100	97
142	100	96.4	3.6	0
143	2.6	0	100	97.4
144	100	96.6	3.4	0
145	100	97.8	2.2	0
146	3	0	100	97
147	100	99.2	0.8	0
148	100	98.2	1.8	0
149	2.6	0	100	97.4
150	3.6	0	100	96.4
