t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	99.8	0.2	100
3	0.2	100	0	99.8
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	99.8	0.2	100
8	0	100	0	100
9	0	100	0	100
10	0	100	0	100
11	0	100	0	100
12	0	100	0	100
13	0	100	0	100
14	0	100	0	100
15	0	99.8	0.2	100
16	0	100	0	100
17	0	100	0	100
18	0	100	0	100
19	0	100	0	100
20	0	100	0	100
21	0	100	0	100
22	0	100	0	100
23	0	100	0	100
24	0	100	0	100
25	0	100	0	100
26	0	100	0	100
27	0	100	0	100
28	0	100	0	100
29	0	100	0	100
30	0	100	0	100
31	0	100	0	100
32	0	100	0	100
33	0.4	100	0	99.6
34	0	100	0	100
35	0	100	0	100
36	0	100	0	100
37	0	100	0	100
38	0	100	0	100
39	0.2	100	0	99.8
40	0	100	0	100
41	0	100	0	100
42	0.2	100	0	99.8
43	0.4	100	0	99.6
44	0	100	0	100
45	0	100	0	100
46	0	100	0	100
47	0	100	0	100
48	0	99.8	0.2	100
49	0	100	0	100
50	0	100	0	100
51	0	100	0	100
52	1	100	0	99
53	0	100	0	100
54	0.6	100	0	99.4
55	0	100	0	100
56	0	100	0	100
57	0	100	0	100
58	0.2	99.8	0.2	99.8
59	0	100	0	100
60	0.4	99.8	0.2	99.6
61	0	100	0	100
62	0.4	99	1	99.6
63	0	100	0	100
64	0	100	0	100
65	0.2	98.8	1.2	99.8
66	0.6	99.6	0.4	99.4
67	0.4	100	0	99.6
68	0	99.6	0.4	100
69	4.6	100	0	95.4
70	0.4	99.6	0.4	99.6
71	3	100	0	97
72	0.2	92.2	7.8	99.8
73	0.6	77.4	22.6	99.4
74	0.2	100	0	99.8
75	0	97.6	2.4	100
76	1.4	65	35	98.6
77	0.4	99.6	0.4	99.6
78	1	75	25	99
79	0.6	82.4	17.6	99.4
80	22.8	99.8	0.2	77.2
81	1.4	80	20	98.6
82	0.8	92.6	7.4	99.2
83	1.4	57	43	98.6
84	1.6	97	3	98.4
85	1.2	54.6	45.4	98.8
86	27.2	98.8	1.2	72.8
87	1.2	39.8	60.2	98.8
88	0.6	74.2	25.8	99.4
89	1.8	51.4	48.6	98.2
90	0.8	61.6	38.4	99.2
91	47.2	99	1	52.8
92	1	63.6	36.4	99
93	1.2	47.6	52.4	98.8
94	1.4	39.8	60.2	98.6
95	1.8	45.4	54.6	98.2
96	67	99.4	0.6	33
97	60.6	98.8	1.2	39.4
98	1.2	32.6	67.4	98.8
99	57.4	98.2	1.8	42.6
100	2	31.6	68.4	98
101	1.6	29.2	70.8	98.4
102	2	27.4	72.6	98
103	75.8	97.8	2.2	24.2
104	72.8	97.8	2.2	27.2
105	2.2	23.4	76.6	97.8
106	1.8	20.2	79.8	98.2
107	72	97.8	2.2	28
108	1.8	16.4	83.6	98.2
109	3.2	21.6	78.4	96.8
110	76.6	97.2	2.8	23.4
111	1.6	16.4	83.6	98.4
112	77.8	98	2	22.2
113	2.4	12.6	87.4	97.6
114	0.6	26	74	99.4
115	2.2	18.8	81.2	97.8
116	86.2	96.8	3.2	13.8
117	81.8	96.2	3.8	18.2
118	2.4	14.4	85.6	97.6
119	2.4	19	81	97.6
120	1.8	12.6	87.4	98.2
121	2	10	90	98
122	87	99.2	0.8	13
123	1.2	9.2	90.8	98.8
124	2.8	10.6	89.4	97.2
125	93.2	95.8	4.2	6.8
126	2.6	6.4	93.6	97.4
127	1.6	9.6	90.4	98.4
128	2.4	4.6	95.4	97.6
129	94.6	98	2	5.4
130	91.6	96.6	3.4	8.4
131	1.8	6.4	93.6	98.2
132	2.8	5.4	94.6	97.2
133	2.2	6.2	93.8	97.8
134	1.6	7.8	92.2	98.4
135	94.2	97.6	2.4	5.8
136	95.8	96.8	3.2	4.2
137	96.2	97.6	2.4	3.8
138	95.8	96.8	3.2	4.2
139	1.6	2.6	97.4	98.4
140	2.2	4.2	95.8	97.8
141	97.4	96	4	2.6
142	1.4	3.4	96.6	98.6
143	97.2	97.8	2.2	2.8
144	97.4	97.6	2.4	2.6
145	95.8	98.2	1.8	4.2
146	98	97.4	2.6	2
147	97.6	97.2	2.8	2.4
148	97.2	96.4	3.6	2.8
149	98	97.2	2.8	2
150	4.6	1.6	98.4	95.4
