t	FPR	FNR	TRP	TNR
100	0	100	0	100
110	0	100	0	100
120	0	100	0	100
130	0	99.8	0.2	100
140	0.2	100	0	99.8
150	0	100	0	100
160	0	100	0	100
170	0	100	0	100
180	0	100	0	100
190	0	100	0	100
200	0.2	99.8	0.2	99.8
210	0	100	0	100
220	0	100	0	100
230	0	100	0	100
240	0.4	100	0	99.6
250	0	100	0	100
260	0	100	0	100
270	0.2	100	0	99.8
280	0	100	0	100
290	0	100	0	100
300	0	100	0	100
310	0	100	0	100
320	0	100	0	100
330	0	100	0	100
340	0	100	0	100
350	0	100	0	100
360	0	100	0	100
370	0	100	0	100
380	0.2	100	0	99.8
390	0	100	0	100
400	0	100	0	100
410	0	99.8	0.2	100
420	0	100	0	100
430	0	100	0	100
440	0	100	0	100
450	0	100	0	100
460	0	100	0	100
470	0	100	0	100
480	0	99.8	0.2	100
490	0	100	0	100
500	0	100	0	100
510	0	100	0	100
520	0	100	0	100
530	0	100	0	100
540	0	100	0	100
550	0	100	0	100
560	0	100	0	100
570	0	100	0	100
580	0	100	0	100
590	0	100	0	100
600	0	100	0	100
610	0	100	0	100
620	0	100	0	100
630	0	100	0	100
640	0	100	0	100
650	0	100	0	100
660	0	100	0	100
670	0.4	100	0	99.6
680	0	99.8	0.2	100
690	0.2	100	0	99.8
700	0	100	0	100
710	0	100	0	100
720	0	100	0	100
730	0	100	0	100
740	0	100	0	100
750	0	100	0	100
760	0	100	0	100
770	0.2	100	0	99.8
780	0	100	0	100
790	0	100	0	100
800	0	100	0	100
810	0	100	0	100
820	0	100	0	100
830	0	100	0	100
840	0	100	0	100
850	0	100	0	100
860	0	100	0	100
870	0	100	0	100
880	0	100	0	100
890	0	100	0	100
900	0	100	0	100
910	0	100	0	100
920	0	100	0	100
930	0	100	0	100
940	0	100	0	100
950	0	100	0	100
960	0	100	0	100
970	0	100	0	100
980	0	100	0	100
990	0	100	0	100
1000	0	100	0	100
1010	0	100	0	100
1020	0.2	100	0	99.8
1030	0	100	0	100
1040	0	100	0	100
1050	0	100	0	100
1060	0.2	100	0	99.8
1070	0	100	0	100
1080	0	100	0	100
1090	0	100	0	100
1100	0	100	0	100
1110	0	100	0	100
1120	0	100	0	100
1130	0.2	100	0	99.8
1140	0	100	0	100
1150	0	100	0	100
1160	0	100	0	100
1170	0	100	0	100
1180	0	100	0	100
1190	0	100	0	100
1200	0	100	0	100
1210	0	100	0	100
1220	0	100	0	100
1230	0	100	0	100
1240	0	100	0	100
1250	0	100	0	100
1260	0	100	0	100
1270	0	100	0	100
1280	0	99.8	0.2	100
1290	0	100	0	100
1300	0	100	0	100
1310	0	100	0	100
1320	0	100	0	100
1330	0	100	0	100
1340	0	100	0	100
1350	0	100	0	100
1360	0	100	0	100
1370	0	100	0	100
1380	0	100	0	100
1390	0	100	0	100
1400	0	100	0	100
1410	0	99.8	0.2	100
1420	0	100	0	100
1430	0	100	0	100
1440	0	100	0	100
1450	0	100	0	100
1460	0	100	0	100
1470	0	100	0	100
1480	0	100	0	100
1490	0	100	0	100
1500	0	100	0	100
1510	0	100	0	100
1520	0	100	0	100
1530	0	100	0	100
1540	0	100	0	100
1550	0	100	0	100
1560	0	100	0	100
1570	0	100	0	100
1580	0	100	0	100
1590	0.2	100	0	99.8
1600	0	100	0	100
1610	0	100	0	100
1620	0	100	0	100
1630	0	99.8	0.2	100
1640	0.2	100	0	99.8
1650	0	100	0	100
1660	0	100	0	100
1670	0.2	100	0	99.8
1680	0	100	0	100
1690	0	100	0	100
1700	0	99.8	0.2	100
1710	0	100	0	100
1720	0	100	0	100
1730	0	100	0	100
1740	0	100	0	100
1750	0	100	0	100
1760	0	100	0	100
1770	0	99.8	0.2	100
1780	0	100	0	100
1790	0	100	0	100
1800	0	100	0	100
1810	0	100	0	100
1820	0	100	0	100
1830	0	100	0	100
1840	0	100	0	100
1850	0	100	0	100
1860	0	100	0	100
1870	0	100	0	100
1880	0	100	0	100
1890	0	100	0	100
1900	0	100	0	100
1910	0	100	0	100
1920	0	100	0	100
1930	0.2	99.8	0.2	99.8
1940	0	100	0	100
1950	0.2	100	0	99.8
1960	0	100	0	100
1970	0	100	0	100
1980	0	100	0	100
1990	0	100	0	100
2000	0.2	100	0	99.8
2010	0.2	99.8	0.2	99.8
2020	0	100	0	100
2030	0	100	0	100
2040	0	100	0	100
2050	0	100	0	100
