t	FPR	FNR	TRP	TNR
100	2.6	0	100	97.4
110	3.4	0	100	96.6
120	3.6	0	100	96.4
130	2.4	0	100	97.6
140	2.4	0	100	97.6
150	3.8	0	100	96.2
160	100	99	1	0
170	2.4	0	100	97.6
180	100	96.6	3.4	0
190	2.8	0	100	97.2
200	100	97	3	0
210	3.4	0	100	96.6
220	3.2	0	100	96.8
230	2.4	0	100	97.6
240	100	96.8	3.2	0
250	100	97.2	2.8	0
260	1.8	0	100	98.2
270	3.2	0	100	96.8
280	3	0	100	97
290	2.2	0	100	97.8
300	2	0	100	98
310	100	97.6	2.4	0
320	100	96.8	3.2	0
330	100	98.4	1.6	0
340	2.4	0	100	97.6
350	100	97.2	2.8	0
360	100	98.6	1.4	0
370	2.8	0	100	97.2
380	2	0	100	98
390	2.4	0	100	97.6
400	3	0	100	97
410	2.4	0	100	97.6
420	100	96.6	3.4	0
430	3	0	100	97
440	2.4	0	100	97.6
450	100	96.6	3.4	0
460	3.4	0	100	96.6
470	100	98	2	0
480	3.4	0	100	96.6
490	3.4	0	100	96.6
500	100	97.2	2.8	0
510	2	0	100	98
520	2.8	0	100	97.2
530	3.2	0	100	96.8
540	100	98	2	0
550	100	96.8	3.2	0
560	100	96.2	3.8	0
570	100	97.6	2.4	0
580	2	0	100	98
590	2.2	0	100	97.8
600	1.8	0	100	98.2
610	100	99	1	0
620	2	0	100	98
630	100	98	2	0
640	2.6	0	100	97.4
650	2.2	0	100	97.8
660	2.4	0	100	97.6
670	100	95.8	4.2	0
680	100	98.8	1.2	0
690	100	96.4	3.6	0
700	100	97.2	2.8	0
710	100	98	2	0
720	3.8	0	100	96.2
730	3.2	0	100	96.8
740	3.8	0.2	99.8	96.2
750	1.6	0	100	98.4
760	2.8	0	100	97.2
770	100	97	3	0
780	3.2	0	100	96.8
790	100	97.4	2.6	0
800	99.8	96.6	3.4	0.2
810	4	0	100	96
820	2.6	0.2	99.8	97.4
830	99.8	98	2	0.2
840	2	0.2	99.8	98
850	100	98.8	1.2	0
860	99.8	96.8	3.2	0.2
870	2.8	0.2	99.8	97.2
880	99.8	97.4	2.6	0.2
890	2.4	0	100	97.6
900	99.2	97.6	2.4	0.8
910	99.2	97.4	2.6	0.8
920	99.6	98.2	1.8	0.4
930	3.8	2.4	97.6	96.2
940	98.6	97.8	2.2	1.4
950	2.2	1	99	97.8
960	98.6	98	2	1.4
970	2.4	2.8	97.2	97.6
980	97.6	97.8	2.2	2.4
990	2.2	2.2	97.8	97.8
1000	97.8	98.4	1.6	2.2
1010	97.2	98	2	2.8
1020	2.8	3	97	97.2
1030	3	4.2	95.8	97
1040	96.6	97	3	3.4
1050	4	3.6	96.4	96
1060	1.8	4.4	95.6	98.2
1070	95.6	98.2	1.8	4.4
1080	1.4	4.2	95.8	98.6
1090	96	97.8	2.2	4
1100	94.6	96.6	3.4	5.4
1110	95	98.2	1.8	5
1120	90.2	97.4	2.6	9.8
1130	2.4	10.6	89.4	97.6
1140	95.8	96.8	3.2	4.2
1150	1.8	8.6	91.4	98.2
1160	1.6	7.8	92.2	98.4
