t	FPR	FNR	TRP	TNR
100	100	97.8	2.2	0
110	100	96.6	3.4	0
120	100	96.6	3.4	0
130	3.6	0	100	96.4
140	3.2	0	100	96.8
150	100	98.6	1.4	0
160	100	96.6	3.4	0
170	2.8	0	100	97.2
180	2.4	0	100	97.6
190	2.8	0	100	97.2
200	4	0	100	96
210	100	95.2	4.8	0
220	100	96.2	3.8	0
230	2.4	0	100	97.6
240	2.8	0	100	97.2
250	3	0	100	97
260	100	97.2	2.8	0
270	3.2	0	100	96.8
280	3.2	0	100	96.8
290	2.4	0	100	97.6
300	100	97.2	2.8	0
310	3.8	0	100	96.2
320	100	98	2	0
330	100	97	3	0
340	3.4	0	100	96.6
350	3	0	100	97
360	100	98.6	1.4	0
370	3.2	0	100	96.8
380	100	96.2	3.8	0
390	100	98.2	1.8	0
400	100	98	2	0
410	100	98.6	1.4	0
420	2.8	0	100	97.2
430	100	97.4	2.6	0
440	3	0	100	97
450	100	96.6	3.4	0
460	100	97.8	2.2	0
470	1.8	0	100	98.2
480	1.4	0	100	98.6
490	100	96.8	3.2	0
500	2.2	0	100	97.8
510	3	0	100	97
520	100	97.2	2.8	0
530	100	97.8	2.2	0
540	100	97	3	0
550	2.6	0	100	97.4
560	100	97.4	2.6	0
570	3.4	0	100	96.6
580	1.6	0	100	98.4
590	100	97.6	2.4	0
600	2.4	0	100	97.6
610	100	98	2	0
620	100	98.2	1.8	0
630	100	97.4	2.6	0
640	3.6	0	100	96.4
650	100	98	2	0
660	3.4	0	100	96.6
670	100	94.8	5.2	0
680	100	95.6	4.4	0
690	2.4	0	100	97.6
700	100	97.8	2.2	0
710	2.4	0	100	97.6
720	100	98	2	0
730	100	98.2	1.8	0
740	3.6	0	100	96.4
750	100	97	3	0
760	3.6	0	100	96.4
770	2.2	0	100	97.8
780	3.2	0	100	96.8
790	100	97.2	2.8	0
800	100	98.6	1.4	0
810	100	98.2	1.8	0
820	100	97.8	2.2	0
830	100	97.2	2.8	0
840	100	97.2	2.8	0
850	2.6	0	100	97.4
860	2.2	0	100	97.8
870	100	96.8	3.2	0
880	100	98.2	1.8	0
890	2.2	0	100	97.8
900	100	97.4	2.6	0
910	2.6	0	100	97.4
920	100	96.6	3.4	0
930	3.4	0	100	96.6
940	100	97	3	0
950	3.6	0	100	96.4
960	2.4	0	100	97.6
970	100	95.6	4.4	0
980	100	98.6	1.4	0
990	2.4	0	100	97.6
1000	3	0	100	97
1010	1.8	0	100	98.2
1020	100	97.4	2.6	0
1030	100	97.6	2.4	0
1040	100	97.4	2.6	0
1050	2.4	0	100	97.6
1060	2	0	100	98
1070	2	0	100	98
1080	100	96	4	0
1090	100	96.2	3.8	0
1100	1.2	0	100	98.8
1110	100	96.8	3.2	0
1120	2	0	100	98
1130	3.4	0	100	96.6
1140	2.4	0	100	97.6
1150	100	97.6	2.4	0
1160	100	97	3	0
1170	3.2	0	100	96.8
1180	3.6	0	100	96.4
1190	100	97.8	2.2	0
1200	2.6	0	100	97.4
1210	1	0	100	99
1220	2.4	0	100	97.6
1230	100	97.2	2.8	0
1240	2.4	0	100	97.6
1250	2.8	0.2	99.8	97.2
1260	2.4	0	100	97.6
1270	100	97.2	2.8	0
1280	100	97.4	2.6	0
1290	99.8	97.8	2.2	0.2
1300	2	0	100	98
1310	99.8	97.2	2.8	0.2
1320	99.6	98.2	1.8	0.4
1330	2.8	0.4	99.6	97.2
1340	99.6	97.6	2.4	0.4
1350	99.8	97.4	2.6	0.2
1360	3	0	100	97
1370	99.4	96.8	3.2	0.6
1380	99.4	97.6	2.4	0.6
1390	1	0.4	99.6	99
1400	3	0.6	99.4	97
1410	2.6	0	100	97.4
1420	3.4	0.4	99.6	96.6
1430	98.6	97.4	2.6	1.4
1440	3.2	0.2	99.8	96.8
1450	99.4	97.6	2.4	0.6
1460	2.4	0.8	99.2	97.6
1470	2.8	0.6	99.4	97.2
1480	2.2	1.8	98.2	97.8
1490	98.8	96.8	3.2	1.2
1500	98.6	98.2	1.8	1.4
1510	1.6	1.6	98.4	98.4
1520	2.8	1	99	97.2
1530	98.6	96.8	3.2	1.4
1540	2.2	1.4	98.6	97.8
1550	2.2	0.8	99.2	97.8
1560	2.4	1	99	97.6
1570	2.2	1.4	98.6	97.8
1580	2.4	2	98	97.6
1590	98.2	96	4	1.8
1600	3	1.4	98.6	97
1610	2	3.6	96.4	98
1620	97.4	97.6	2.4	2.6
1630	3.4	1.2	98.8	96.6
1640	4.8	1.2	98.8	95.2
1650	1.4	2.8	97.2	98.6
1660	97.2	97.4	2.6	2.8
1670	95.6	96.4	3.6	4.4
1680	98.2	97	3	1.8
1690	95.2	97.2	2.8	4.8
1700	3.8	2.6	97.4	96.2
1710	3.2	2.2	97.8	96.8
1720	95.8	97.2	2.8	4.2
1730	2.2	4.4	95.6	97.8
1740	3.4	4.6	95.4	96.6
1750	93.6	97.2	2.8	6.4
1760	2.4	8.6	91.4	97.6
1770	2.2	9.6	90.4	97.8
1780	1.4	8	92	98.6
1790	91.6	98	2	8.4
1800	2.4	4	96	97.6
1810	2.6	9.8	90.2	97.4
1820	2.2	6.8	93.2	97.8
1830	2.2	9	91	97.8
1840	2.6	10.4	89.6	97.4
1850	92.6	97.4	2.6	7.4
1860	4	9.2	90.8	96
1870	2.6	9.8	90.2	97.4
1880	3	9.4	90.6	97
1890	2.4	8.2	91.8	97.6
1900	2.2	9.4	90.6	97.8
1910	2	10	90	98
1920	1.4	10.8	89.2	98.6
1930	2.8	8.4	91.6	97.2
1940	86.2	97.2	2.8	13.8
1950	2.2	11.8	88.2	97.8
1960	87.8	97.6	2.4	12.2
1970	3.2	12.2	87.8	96.8
1980	3.8	9	91	96.2
1990	3	8	92	97
2000	2.8	20.2	79.8	97.2
2010	89	96.6	3.4	11
2020	85.2	96.6	3.4	14.8
2030	2.4	18.2	81.8	97.6
2040	81.2	98.4	1.6	18.8
2050	1.6	20.6	79.4	98.4
