t	FPR	FNR	TRP	TNR
100	100	97.8	2.2	0
110	100	97.2	2.8	0
120	100	96.6	3.4	0
130	2.2	0	100	97.8
140	100	96.4	3.6	0
150	100	97	3	0
160	100	96.2	3.8	0
170	1.6	0	100	98.4
180	100	97.2	2.8	0
190	100	98.4	1.6	0
200	100	97	3	0
210	4	0	100	96
220	100	97	3	0
230	2.8	0	100	97.2
240	2.6	0	100	97.4
250	100	98.8	1.2	0
260	100	97.8	2.2	0
270	100	98.2	1.8	0
280	3.8	0	100	96.2
290	100	96.4	3.6	0
300	100	97.2	2.8	0
310	100	97.4	2.6	0
320	100	98.6	1.4	0
330	3.8	0	100	96.2
340	2.8	0	100	97.2
350	100	99.2	0.8	0
360	4	0	100	96
370	3.4	0	100	96.6
380	2.4	0	100	97.6
390	100	96.8	3.2	0
400	1.8	0	100	98.2
410	100	96.6	3.4	0
420	100	97.2	2.8	0
430	2	0	100	98
440	100	97	3	0
450	2	0	100	98
460	2.6	0	100	97.4
470	2	0	100	98
480	100	97.4	2.6	0
490	100	97.6	2.4	0
500	100	98	2	0
510	100	97.6	2.4	0
520	2.8	0	100	97.2
530	99.6	98.2	1.8	0.4
540	99.8	97.2	2.8	0.2
550	3	0.4	99.6	97
560	100	96.4	3.6	0
570	99.4	97.4	2.6	0.6
580	99.2	97.2	2.8	0.8
590	99.4	98	2	0.6
600	99	98.2	1.8	1
610	2.4	0.8	99.2	97.6
620	99	97.4	2.6	1
630	99.4	98	2	0.6
640	2.8	1.8	98.2	97.2
650	2.4	1.2	98.8	97.6
660	98.2	98.2	1.8	1.8
670	2.8	1.4	98.6	97.2
680	3.6	2.8	97.2	96.4
690	97.6	98.4	1.6	2.4
700	96.4	96.2	3.8	3.6
710	2.8	3.4	96.6	97.2
720	93.8	97.2	2.8	6.2
730	1.8	6	94	98.2
740	96.4	98.2	1.8	3.6
750	93.6	97.8	2.2	6.4
760	91.6	97.2	2.8	8.4
770	1.2	8	92	98.8
780	88	98.8	1.2	12
790	91.2	97.8	2.2	8.8
800	89.6	98.2	1.8	10.4
810	2.2	11.2	88.8	97.8
820	1.6	8.8	91.2	98.4
830	89	98	2	11
840	90.2	97.4	2.6	9.8
850	2.2	13.4	86.6	97.8
860	87.4	97.8	2.2	12.6
870	2.8	13.4	86.6	97.2
880	3	20.6	79.4	97
890	78.6	98.8	1.2	21.4
900	2.2	28.6	71.4	97.8
910	2.2	26	74	97.8
920	1.4	21	79	98.6
930	78	98.6	1.4	22
940	2.2	26.8	73.2	97.8
950	3	29.2	70.8	97
960	72.6	98.2	1.8	27.4
970	73.6	98.2	1.8	26.4
980	2.4	32.4	67.6	97.6
990	74.4	98.4	1.6	25.6
1000	62.2	98.4	1.6	37.8
1010	1	50.2	49.8	99
1020	1.2	38.8	61.2	98.8
1030	1.4	37.6	62.4	98.6
1040	2	44.2	55.8	98
1050	65.4	99	1	34.6
1060	57.2	99	1	42.8
1070	1	40.6	59.4	99
1080	1.2	46.4	53.6	98.8
