t	FPR	FNR	TRP	TNR
1	1.4	99.4	0.6	98.6
2	0.6	98.6	1.4	99.4
3	0.6	98.6	1.4	99.4
4	0.6	98.6	1.4	99.4
5	1.8	99.8	0.2	98.2
6	1	99	1	99
7	0.8	98.8	1.2	99.2
8	1.2	99.2	0.8	98.8
9	1	99	1	99
10	0.8	98.8	1.2	99.2
11	0.6	98.6	1.4	99.4
12	0.2	98.2	1.8	99.8
13	0.8	98.8	1.2	99.2
14	1.4	99.4	0.6	98.6
15	1.4	99.4	0.6	98.6
16	0.8	98.8	1.2	99.2
17	1	99	1	99
18	0.8	98.8	1.2	99.2
19	0.6	98.6	1.4	99.4
20	0.6	98.6	1.4	99.4
21	1.2	99.2	0.8	98.8
22	0.4	98.4	1.6	99.6
23	1.4	99.4	0.6	98.6
24	1	99	1	99
25	0.4	98.4	1.6	99.6
26	0.4	98.4	1.6	99.6
27	1	99	1	99
28	1.2	99.2	0.8	98.8
29	0.6	98.6	1.4	99.4
30	1	99	1	99
31	0.8	98.8	1.2	99.2
32	1	99	1	99
33	0.2	98.2	1.8	99.8
34	1.4	99.4	0.6	98.6
35	0.8	98.8	1.2	99.2
36	0.8	98.8	1.2	99.2
37	1.2	99.2	0.8	98.8
38	0.8	98.8	1.2	99.2
39	1.4	99.4	0.6	98.6
40	1	99	1	99
41	0.8	98.8	1.2	99.2
42	1.2	99.2	0.8	98.8
43	1.4	99.4	0.6	98.6
44	0.8	98.8	1.2	99.2
45	0.6	98.6	1.4	99.4
46	1	99	1	99
47	0.8	98.8	1.2	99.2
48	1	99	1	99
49	1.2	99.2	0.8	98.8
50	1.2	99.2	0.8	98.8
51	1	99	1	99
52	0.2	98.2	1.8	99.8
53	0.8	98.8	1.2	99.2
54	0.6	98.6	1.4	99.4
55	1.2	99.2	0.8	98.8
56	1	99	1	99
57	1	99	1	99
58	0.8	98.8	1.2	99.2
59	0.8	98.8	1.2	99.2
60	0.8	98.8	1.2	99.2
61	1	99	1	99
62	1.4	99.4	0.6	98.6
63	0.2	98.2	1.8	99.8
64	1.2	99.2	0.8	98.8
65	0.8	98.8	1.2	99.2
66	1	99	1	99
67	1.6	99.6	0.4	98.4
68	0.6	98.6	1.4	99.4
69	0.8	98.8	1.2	99.2
70	1.2	99.2	0.8	98.8
71	1.2	99.2	0.8	98.8
72	1.6	99.6	0.4	98.4
73	0.8	98.8	1.2	99.2
74	0.8	98.8	1.2	99.2
75	0.6	98.6	1.4	99.4
76	0.8	98.8	1.2	99.2
77	0.8	98.8	1.2	99.2
78	1.2	99.2	0.8	98.8
79	1.4	99.4	0.6	98.6
80	0.6	98.6	1.4	99.4
81	1	99	1	99
82	0.8	98.8	1.2	99.2
83	0.6	98.6	1.4	99.4
84	1.6	99.6	0.4	98.4
85	0.6	98.6	1.4	99.4
86	0.6	98.6	1.4	99.4
87	0.8	98.8	1.2	99.2
88	0.8	98.8	1.2	99.2
89	0.6	98.6	1.4	99.4
90	1	99	1	99
91	1	99	1	99
92	0.6	98.6	1.4	99.4
93	0.6	98.6	1.4	99.4
94	1.4	99.4	0.6	98.6
95	1.2	99.2	0.8	98.8
96	0.8	98.8	1.2	99.2
97	0.6	98.6	1.4	99.4
98	0.8	98.8	1.2	99.2
99	0.8	98.8	1.2	99.2
100	1	99	1	99
101	0.4	98.4	1.6	99.6
102	0.8	98.8	1.2	99.2
103	1	99	1	99
104	0.8	98.8	1.2	99.2
105	0.8	98.8	1.2	99.2
106	1	99	1	99
107	0.8	98.8	1.2	99.2
108	1.4	99.4	0.6	98.6
109	0.8	98.8	1.2	99.2
110	1	99	1	99
111	1.2	99.2	0.8	98.8
112	0.4	98.4	1.6	99.6
113	0.8	98.8	1.2	99.2
114	0.6	98.6	1.4	99.4
115	0.8	98.8	1.2	99.2
116	1.2	99.2	0.8	98.8
117	1.6	99.6	0.4	98.4
118	0.8	98.8	1.2	99.2
119	0.8	98.8	1.2	99.2
120	1	99	1	99
121	1.2	99.2	0.8	98.8
122	1	99	1	99
123	1.2	99.2	0.8	98.8
124	1	99	1	99
125	0.2	98.2	1.8	99.8
126	1.8	99.8	0.2	98.2
127	1.2	99.2	0.8	98.8
128	1	99	1	99
129	1	99	1	99
130	0.8	98.8	1.2	99.2
131	0.4	98.4	1.6	99.6
132	0.8	98.8	1.2	99.2
133	1.2	99.2	0.8	98.8
134	1.2	99.2	0.8	98.8
135	0.8	98.8	1.2	99.2
136	0.4	98.4	1.6	99.6
137	1.2	99.2	0.8	98.8
138	1	99	1	99
139	0.8	98.8	1.2	99.2
140	1.2	99.2	0.8	98.8
141	0.2	98.2	1.8	99.8
142	1.2	99.2	0.8	98.8
143	0.2	98.2	1.8	99.8
144	0.4	98.4	1.6	99.6
145	0.8	98.8	1.2	99.2
146	0.4	98.4	1.6	99.6
147	1	99	1	99
148	0.6	98.6	1.4	99.4
149	0.6	98.6	1.4	99.4
150	0.4	98.4	1.6	99.6
