t	FPR	FNR	TRP	TNR
1	0.8	98.8	1.2	99.2
2	0.8	98.8	1.2	99.2
3	1.4	99.4	0.6	98.6
4	0.6	98.6	1.4	99.4
5	0.8	98.8	1.2	99.2
6	0.6	98.6	1.4	99.4
7	1	99	1	99
8	0.6	98.6	1.4	99.4
9	1	99	1	99
10	0.8	98.8	1.2	99.2
11	1.2	99.2	0.8	98.8
12	1	99	1	99
13	1	99	1	99
14	1.2	99.2	0.8	98.8
15	0.2	98.2	1.8	99.8
16	1.2	99.2	0.8	98.8
17	0.6	98.6	1.4	99.4
18	0.8	98.8	1.2	99.2
19	0.4	98.4	1.6	99.6
20	0.2	98.2	1.8	99.8
21	0.6	98.6	1.4	99.4
22	0.8	98.8	1.2	99.2
23	0.6	98.6	1.4	99.4
24	0.2	98.2	1.8	99.8
25	0.6	98.6	1.4	99.4
26	1.4	99.4	0.6	98.6
27	1	99	1	99
28	0.8	98.8	1.2	99.2
29	0	98	2	100
30	1.2	99.2	0.8	98.8
31	0.4	98.4	1.6	99.6
32	0.6	98.6	1.4	99.4
33	0.6	98.6	1.4	99.4
34	0.8	98.8	1.2	99.2
35	1.4	99.4	0.6	98.6
36	1	99	1	99
37	0.8	98.8	1.2	99.2
38	0.8	98.8	1.2	99.2
39	1	99	1	99
40	1	99	1	99
41	0.6	98.6	1.4	99.4
42	0.4	98.4	1.6	99.6
43	1.2	99.2	0.8	98.8
44	0.6	98.6	1.4	99.4
45	0.4	98.4	1.6	99.6
46	0.8	98.8	1.2	99.2
47	0.2	98.2	1.8	99.8
48	1	99	1	99
49	0.8	98.8	1.2	99.2
50	1.2	99.2	0.8	98.8
51	1.6	99.6	0.4	98.4
52	0.8	98.8	1.2	99.2
53	1.2	99.2	0.8	98.8
54	1	99	1	99
55	1	99	1	99
56	0.4	98.4	1.6	99.6
57	0.4	98.4	1.6	99.6
58	1.4	99.4	0.6	98.6
59	0.6	98.6	1.4	99.4
60	1	99	1	99
61	0.8	98.8	1.2	99.2
62	0.2	98.2	1.8	99.8
63	0.6	98.6	1.4	99.4
64	1	99	1	99
65	0.4	98.4	1.6	99.6
66	1	99	1	99
67	0.8	98.8	1.2	99.2
68	1	99	1	99
69	1.2	99.2	0.8	98.8
70	0.6	98.6	1.4	99.4
71	0.8	98.8	1.2	99.2
72	0.6	98.6	1.4	99.4
73	1	99	1	99
74	0.2	98.2	1.8	99.8
75	0.6	98.6	1.4	99.4
76	0.2	98.2	1.8	99.8
77	0.6	98.6	1.4	99.4
78	0.4	98.4	1.6	99.6
79	0.6	98.6	1.4	99.4
80	1.2	99.2	0.8	98.8
81	1	99	1	99
82	0.4	98.4	1.6	99.6
83	0.6	98.6	1.4	99.4
84	0.8	98.8	1.2	99.2
85	1	99	1	99
86	1	99	1	99
87	0.6	98.6	1.4	99.4
88	0.4	98.4	1.6	99.6
89	1.2	99.2	0.8	98.8
90	0.6	98.6	1.4	99.4
91	0.6	98.6	1.4	99.4
92	0.2	98.2	1.8	99.8
93	0.2	98.2	1.8	99.8
94	0.4	98.4	1.6	99.6
95	0.8	98.8	1.2	99.2
96	0	98	2	100
97	0.8	98.8	1.2	99.2
98	0.2	98.2	1.8	99.8
99	0.4	98.4	1.6	99.6
100	1	99	1	99
101	0.8	98.8	1.2	99.2
102	1.2	99.2	0.8	98.8
103	0.8	98.8	1.2	99.2
104	1	99	1	99
105	0.8	98.8	1.2	99.2
106	0.2	98.2	1.8	99.8
107	0.6	98.6	1.4	99.4
108	1	99	1	99
109	1	99	1	99
110	0.8	98.8	1.2	99.2
111	0.4	98.4	1.6	99.6
112	0.6	98.6	1.4	99.4
113	0.2	98.2	1.8	99.8
114	0.6	98.6	1.4	99.4
115	1.2	99.2	0.8	98.8
116	1.2	99.2	0.8	98.8
117	1	99	1	99
118	0.4	98.4	1.6	99.6
119	1.4	99.4	0.6	98.6
120	1.4	99.4	0.6	98.6
121	1.2	99.2	0.8	98.8
122	0.4	98.4	1.6	99.6
123	1	99	1	99
124	1.2	99.2	0.8	98.8
125	0.4	98.4	1.6	99.6
126	0.2	98.2	1.8	99.8
127	0.4	98.4	1.6	99.6
128	0.8	98.8	1.2	99.2
129	1	99	1	99
130	0.8	98.8	1.2	99.2
131	1	99	1	99
132	0.8	98.8	1.2	99.2
133	0.4	98.4	1.6	99.6
134	0.6	98.6	1.4	99.4
135	1	99	1	99
136	0.4	98.4	1.6	99.6
137	0.8	98.8	1.2	99.2
138	0.8	98.8	1.2	99.2
139	1	99	1	99
140	0.8	98.8	1.2	99.2
141	0.8	98.8	1.2	99.2
142	1	99	1	99
143	1.4	99.4	0.6	98.6
144	0.8	98.8	1.2	99.2
145	0.4	98.4	1.6	99.6
146	0.8	98.8	1.2	99.2
147	0.8	98.8	1.2	99.2
148	1	99	1	99
149	0.8	98.8	1.2	99.2
150	0.6	98.6	1.4	99.4
