t	FPR	FNR	TRP	TNR
1	1.6	99.6	0.4	98.4
2	1	99	1	99
3	0.8	98.8	1.2	99.2
4	1.4	99.4	0.6	98.6
5	1	99	1	99
6	0.8	98.8	1.2	99.2
7	1.2	99.2	0.8	98.8
8	1	99	1	99
9	1	99	1	99
10	0.6	98.6	1.4	99.4
11	0.6	98.6	1.4	99.4
12	0.6	98.6	1.4	99.4
13	0.8	98.8	1.2	99.2
14	0.8	98.8	1.2	99.2
15	1	99	1	99
16	1.4	99.4	0.6	98.6
17	0.8	98.8	1.2	99.2
18	1.4	99.4	0.6	98.6
19	1.2	99.2	0.8	98.8
20	1.2	99.2	0.8	98.8
21	1.2	99.2	0.8	98.8
22	0.8	98.8	1.2	99.2
23	0.8	98.8	1.2	99.2
24	1	99	1	99
25	0.4	98.4	1.6	99.6
26	1.2	99.2	0.8	98.8
27	1	99	1	99
28	1.2	99.2	0.8	98.8
29	0.8	98.8	1.2	99.2
30	1	99	1	99
31	1	99	1	99
32	0.6	98.6	1.4	99.4
33	0.8	98.8	1.2	99.2
34	1	99	1	99
35	1.4	99.4	0.6	98.6
36	1.4	99.4	0.6	98.6
37	1.6	99.6	0.4	98.4
38	0.8	98.8	1.2	99.2
39	0.8	98.8	1.2	99.2
40	0.4	98.4	1.6	99.6
41	1.4	99.4	0.6	98.6
42	0.4	98.4	1.6	99.6
43	1.4	99.4	0.6	98.6
44	1.2	99.2	0.8	98.8
45	1.2	99.2	0.8	98.8
46	1.6	99.6	0.4	98.4
47	1.2	99.2	0.8	98.8
48	1	99	1	99
49	1.2	99.2	0.8	98.8
50	0.6	98.6	1.4	99.4
51	1	99	1	99
52	1.4	99.4	0.6	98.6
53	1.2	99.2	0.8	98.8
54	1.2	99.2	0.8	98.8
55	0.8	98.8	1.2	99.2
56	1.2	99.2	0.8	98.8
57	1	99	1	99
58	1	99	1	99
59	0.6	98.6	1.4	99.4
60	1.2	99.2	0.8	98.8
61	1	99	1	99
62	1.2	99.2	0.8	98.8
63	1.4	99.4	0.6	98.6
64	0.8	98.8	1.2	99.2
65	0.8	98.8	1.2	99.2
66	1	99	1	99
67	0.6	98.6	1.4	99.4
68	0.6	98.6	1.4	99.4
69	1	99	1	99
70	0.6	98.6	1.4	99.4
71	1	99	1	99
72	1.4	99.4	0.6	98.6
73	0.8	98.8	1.2	99.2
74	1	99	1	99
75	0.6	98.6	1.4	99.4
76	0.6	98.6	1.4	99.4
77	0.8	98.8	1.2	99.2
78	1.4	99.4	0.6	98.6
79	1.6	99.6	0.4	98.4
80	0.6	98.6	1.4	99.4
81	0.8	98.8	1.2	99.2
82	0.8	98.8	1.2	99.2
83	1	99	1	99
84	0.8	98.8	1.2	99.2
85	1	99	1	99
86	0.8	98.8	1.2	99.2
87	1	99	1	99
88	0.8	98.8	1.2	99.2
89	1.4	99.4	0.6	98.6
90	1	99	1	99
91	0.8	98.8	1.2	99.2
92	1.4	99.4	0.6	98.6
93	0.6	98.6	1.4	99.4
94	1	99	1	99
95	0.8	98.8	1.2	99.2
96	0.8	98.8	1.2	99.2
97	1	99	1	99
98	0.6	98.6	1.4	99.4
99	0.6	98.6	1.4	99.4
100	0.8	98.8	1.2	99.2
101	1.4	99.4	0.6	98.6
102	1	99	1	99
103	1	99	1	99
104	1.2	99.2	0.8	98.8
105	1	99	1	99
106	0.8	98.8	1.2	99.2
107	0.2	98.2	1.8	99.8
108	1.2	99.2	0.8	98.8
109	1.2	99.2	0.8	98.8
110	0.8	98.8	1.2	99.2
111	0.6	98.6	1.4	99.4
112	1.2	99.2	0.8	98.8
113	1.6	99.6	0.4	98.4
114	1.2	99.2	0.8	98.8
115	1.2	99.2	0.8	98.8
116	0.8	98.8	1.2	99.2
117	0.8	98.8	1.2	99.2
118	0.6	98.6	1.4	99.4
119	0.2	98.2	1.8	99.8
120	1.6	99.6	0.4	98.4
121	0.8	98.8	1.2	99.2
122	0.4	98.4	1.6	99.6
123	0.8	98.8	1.2	99.2
124	0.8	98.8	1.2	99.2
125	1.6	99.6	0.4	98.4
126	1	99	1	99
127	0.6	98.6	1.4	99.4
128	0.8	98.8	1.2	99.2
129	1	99	1	99
130	1.4	99.4	0.6	98.6
131	1	99	1	99
132	0.4	98.4	1.6	99.6
133	0.8	98.8	1.2	99.2
134	0.4	98.4	1.6	99.6
135	0.4	98.4	1.6	99.6
136	0.6	98.6	1.4	99.4
137	0.8	98.8	1.2	99.2
138	0.4	98.4	1.6	99.6
139	1.2	99.2	0.8	98.8
140	1.2	99.2	0.8	98.8
141	0.4	98.4	1.6	99.6
142	0.8	98.8	1.2	99.2
143	0.8	98.8	1.2	99.2
144	0.4	98.4	1.6	99.6
145	1.2	99.2	0.8	98.8
146	1.4	99.4	0.6	98.6
147	1.2	99.2	0.8	98.8
148	1.2	99.2	0.8	98.8
149	1.4	99.4	0.6	98.6
150	1	99	1	99
