t	FPR	FNR	TRP	TNR
100	0	98	2	100
110	0	98	2	100
120	0	98	2	100
130	0	98	2	100
140	0	98	2	100
150	0	98	2	100
160	0	98	2	100
170	0	98	2	100
180	0	98	2	100
190	0	98	2	100
200	0	98	2	100
210	0	98	2	100
220	0	98	2	100
230	0	98	2	100
240	0	98	2	100
250	0	98	2	100
260	0	98	2	100
270	0	98	2	100
280	0	98	2	100
290	0	98	2	100
300	0	98	2	100
310	0	98	2	100
320	0	98	2	100
330	0	98	2	100
340	0	98	2	100
350	0	98	2	100
360	0	98	2	100
370	0.2	98.2	1.8	99.8
380	0	98	2	100
390	0	98	2	100
400	0.2	98.2	1.8	99.8
410	0	98	2	100
420	0	98	2	100
430	0.2	98.2	1.8	99.8
440	0.4	98.4	1.6	99.6
450	0.4	98.4	1.6	99.6
460	0.2	98.2	1.8	99.8
470	0	98	2	100
480	0.4	98.4	1.6	99.6
490	0.2	98.2	1.8	99.8
500	0.2	98.2	1.8	99.8
510	0.6	98.6	1.4	99.4
520	0.2	98.2	1.8	99.8
530	0.8	98.8	1.2	99.2
540	0.2	98.2	1.8	99.8
550	0.6	98.6	1.4	99.4
560	0.6	98.6	1.4	99.4
570	0.6	98.6	1.4	99.4
580	0.2	98.2	1.8	99.8
590	0.8	98.8	1.2	99.2
600	0.4	98.4	1.6	99.6
610	0.6	98.6	1.4	99.4
620	0.6	98.6	1.4	99.4
630	0.8	98.8	1.2	99.2
640	0.8	98.8	1.2	99.2
650	0.8	98.8	1.2	99.2
660	0.8	98.8	1.2	99.2
670	1.4	99.4	0.6	98.6
680	1.2	99.2	0.8	98.8
690	0.8	98.8	1.2	99.2
700	0.6	98.6	1.4	99.4
710	1.4	99.4	0.6	98.6
720	1.4	99.4	0.6	98.6
730	0.8	98.8	1.2	99.2
740	0.8	98.8	1.2	99.2
750	0.8	98.8	1.2	99.2
760	0.6	98.6	1.4	99.4
770	1.2	99.2	0.8	98.8
780	0.8	98.8	1.2	99.2
790	0.8	98.8	1.2	99.2
800	1	99	1	99
810	0.6	98.6	1.4	99.4
820	1.2	99.2	0.8	98.8
830	0.6	98.6	1.4	99.4
840	1	99	1	99
850	0.6	98.6	1.4	99.4
860	1.2	99.2	0.8	98.8
870	1	99	1	99
880	1.2	99.2	0.8	98.8
890	1.2	99.2	0.8	98.8
900	0.8	98.8	1.2	99.2
910	0.6	98.6	1.4	99.4
920	0.6	98.6	1.4	99.4
930	1.4	99.4	0.6	98.6
940	0.8	98.8	1.2	99.2
950	0.8	98.8	1.2	99.2
960	1	99	1	99
970	0.8	98.8	1.2	99.2
980	0.8	98.8	1.2	99.2
990	0.8	98.8	1.2	99.2
1000	0.6	98.6	1.4	99.4
1010	1.4	99.4	0.6	98.6
1020	0.6	98.6	1.4	99.4
1030	1.2	99.2	0.8	98.8
1040	1	99	1	99
1050	1	99	1	99
1060	0.4	98.4	1.6	99.6
1070	0.6	98.6	1.4	99.4
1080	1.2	99.2	0.8	98.8
1090	0.4	98.4	1.6	99.6
1100	1.2	99.2	0.8	98.8
1110	1.2	99.2	0.8	98.8
1120	1.2	99.2	0.8	98.8
1130	0.4	98.4	1.6	99.6
1140	0.8	98.8	1.2	99.2
1150	1	99	1	99
1160	1.2	99.2	0.8	98.8
1170	1	99	1	99
1180	0.2	98.2	1.8	99.8
1190	1.8	99.8	0.2	98.2
1200	0.8	98.8	1.2	99.2
1210	0.8	98.8	1.2	99.2
1220	1	99	1	99
1230	1	99	1	99
1240	1	99	1	99
1250	1.2	99.2	0.8	98.8
1260	0.8	98.8	1.2	99.2
1270	0.4	98.4	1.6	99.6
1280	1	99	1	99
1290	0.6	98.6	1.4	99.4
1300	1.6	99.6	0.4	98.4
1310	1	99	1	99
1320	1	99	1	99
1330	1.4	99.4	0.6	98.6
1340	1	99	1	99
1350	0.8	98.8	1.2	99.2
1360	0.8	98.8	1.2	99.2
1370	1.2	99.2	0.8	98.8
1380	0.8	98.8	1.2	99.2
1390	0.4	98.4	1.6	99.6
1400	1	99	1	99
1410	0.8	98.8	1.2	99.2
1420	0.8	98.8	1.2	99.2
1430	0.6	98.6	1.4	99.4
1440	0.6	98.6	1.4	99.4
1450	0.2	98.2	1.8	99.8
1460	0.8	98.8	1.2	99.2
1470	0.8	98.8	1.2	99.2
1480	1	99	1	99
1490	0.4	98.4	1.6	99.6
1500	0.8	98.8	1.2	99.2
1510	1.2	99.2	0.8	98.8
1520	1	99	1	99
1530	1.2	99.2	0.8	98.8
1540	0.8	98.8	1.2	99.2
1550	0.8	98.8	1.2	99.2
1560	1.2	99.2	0.8	98.8
1570	0.8	98.8	1.2	99.2
1580	1.2	99.2	0.8	98.8
1590	0.4	98.4	1.6	99.6
1600	0.8	98.8	1.2	99.2
1610	0.6	98.6	1.4	99.4
1620	1.2	99.2	0.8	98.8
1630	0.8	98.8	1.2	99.2
1640	1	99	1	99
1650	1	99	1	99
1660	1.2	99.2	0.8	98.8
1670	1	99	1	99
1680	1	99	1	99
1690	1.2	99.2	0.8	98.8
1700	0.4	98.4	1.6	99.6
1710	0.6	98.6	1.4	99.4
1720	0.6	98.6	1.4	99.4
1730	1.4	99.4	0.6	98.6
1740	0.8	98.8	1.2	99.2
1750	1.2	99.2	0.8	98.8
1760	1	99	1	99
1770	1.6	99.6	0.4	98.4
1780	0.8	98.8	1.2	99.2
1790	1.2	99.2	0.8	98.8
1800	1.4	99.4	0.6	98.6
1810	0.2	98.2	1.8	99.8
1820	1.4	99.4	0.6	98.6
1830	1.2	99.2	0.8	98.8
1840	1	99	1	99
1850	1.4	99.4	0.6	98.6
1860	0.8	98.8	1.2	99.2
1870	1.2	99.2	0.8	98.8
1880	1	99	1	99
1890	0.8	98.8	1.2	99.2
1900	0.6	98.6	1.4	99.4
1910	0.8	98.8	1.2	99.2
1920	0.6	98.6	1.4	99.4
1930	0.8	98.8	1.2	99.2
1940	0.8	98.8	1.2	99.2
1950	0.6	98.6	1.4	99.4
1960	0.8	98.8	1.2	99.2
1970	1	99	1	99
1980	0.8	98.8	1.2	99.2
1990	1.2	99.2	0.8	98.8
2000	0.8	98.8	1.2	99.2
2010	1.4	99.4	0.6	98.6
2020	1.2	99.2	0.8	98.8
2030	0.6	98.6	1.4	99.4
2040	0.8	98.8	1.2	99.2
2050	0	100	0	100
