t	FPR	FNR	TRP	TNR
100	0	98	2	100
110	0	98	2	100
120	0	98	2	100
130	0	98	2	100
140	0	98	2	100
150	0	98	2	100
160	0	98	2	100
170	0	98	2	100
180	0	98	2	100
190	0	98	2	100
200	0	98	2	100
210	0	98	2	100
220	0	98	2	100
230	0	98	2	100
240	0	98	2	100
250	0	98	2	100
260	0	98	2	100
270	0	98	2	100
280	0	98	2	100
290	0	98	2	100
300	0	98	2	100
310	0	98	2	100
320	0	98	2	100
330	0	98	2	100
340	0	98	2	100
350	0	98	2	100
360	0	98	2	100
370	0	98	2	100
380	0	98	2	100
390	0	98	2	100
400	0	98	2	100
410	0	98	2	100
420	0.4	98.4	1.6	99.6
430	0	98	2	100
440	0	98	2	100
450	0	98	2	100
460	0.2	98.2	1.8	99.8
470	0	98	2	100
480	0.4	98.4	1.6	99.6
490	0.2	98.2	1.8	99.8
500	0.4	98.4	1.6	99.6
510	0.2	98.2	1.8	99.8
520	0	98	2	100
530	0.4	98.4	1.6	99.6
540	1.2	99.2	0.8	98.8
550	0.8	98.8	1.2	99.2
560	0.4	98.4	1.6	99.6
570	0.2	98.2	1.8	99.8
580	0.6	98.6	1.4	99.4
590	0.6	98.6	1.4	99.4
600	0.2	98.2	1.8	99.8
610	0.8	98.8	1.2	99.2
620	0.6	98.6	1.4	99.4
630	0.4	98.4	1.6	99.6
640	0	98	2	100
650	0.2	98.2	1.8	99.8
660	0.8	98.8	1.2	99.2
670	0.4	98.4	1.6	99.6
680	1.2	99.2	0.8	98.8
690	0.6	98.6	1.4	99.4
700	0.6	98.6	1.4	99.4
710	0.8	98.8	1.2	99.2
720	1	99	1	99
730	1.2	99.2	0.8	98.8
740	1	99	1	99
750	0.6	98.6	1.4	99.4
760	1	99	1	99
770	0.8	98.8	1.2	99.2
780	0.4	98.4	1.6	99.6
790	0.4	98.4	1.6	99.6
800	1.2	99.2	0.8	98.8
810	0.8	98.8	1.2	99.2
820	0.8	98.8	1.2	99.2
830	1	99	1	99
840	1.2	99.2	0.8	98.8
850	1	99	1	99
860	0.8	98.8	1.2	99.2
870	0.8	98.8	1.2	99.2
880	0.4	98.4	1.6	99.6
890	0.8	98.8	1.2	99.2
900	1.4	99.4	0.6	98.6
910	0.8	98.8	1.2	99.2
920	1.6	99.6	0.4	98.4
930	1	99	1	99
940	1	99	1	99
950	0.8	98.8	1.2	99.2
960	0.8	98.8	1.2	99.2
970	0.8	98.8	1.2	99.2
980	0.8	98.8	1.2	99.2
990	1	99	1	99
1000	1.4	99.4	0.6	98.6
1010	1.4	99.4	0.6	98.6
1020	1	99	1	99
1030	0.8	98.8	1.2	99.2
1040	0.8	98.8	1.2	99.2
1050	0.4	98.4	1.6	99.6
1060	1.2	99.2	0.8	98.8
1070	0.4	98.4	1.6	99.6
1080	0.6	98.6	1.4	99.4
1090	0.4	98.4	1.6	99.6
1100	1.4	99.4	0.6	98.6
1110	1	99	1	99
1120	1.2	99.2	0.8	98.8
1130	1	99	1	99
1140	0.8	98.8	1.2	99.2
1150	0.6	98.6	1.4	99.4
1160	1	99	1	99
1170	1.2	99.2	0.8	98.8
1180	1.2	99.2	0.8	98.8
1190	1.2	99.2	0.8	98.8
1200	1	99	1	99
1210	1.2	99.2	0.8	98.8
1220	0.6	98.6	1.4	99.4
1230	0.6	98.6	1.4	99.4
1240	1.2	99.2	0.8	98.8
1250	1.2	99.2	0.8	98.8
1260	0.8	98.8	1.2	99.2
1270	0.8	98.8	1.2	99.2
1280	1.6	99.6	0.4	98.4
1290	0.6	98.6	1.4	99.4
1300	1	99	1	99
1310	1	99	1	99
1320	1	99	1	99
1330	0.6	98.6	1.4	99.4
1340	1.2	99.2	0.8	98.8
1350	0.8	98.8	1.2	99.2
1360	0.8	98.8	1.2	99.2
1370	0.8	98.8	1.2	99.2
1380	1.4	99.4	0.6	98.6
1390	1.4	99.4	0.6	98.6
1400	0.8	98.8	1.2	99.2
1410	0.8	98.8	1.2	99.2
1420	0.4	98.4	1.6	99.6
1430	0.8	98.8	1.2	99.2
1440	1	99	1	99
1450	0.8	98.8	1.2	99.2
1460	0.6	98.6	1.4	99.4
1470	1	99	1	99
1480	0.8	98.8	1.2	99.2
1490	1.4	99.4	0.6	98.6
1500	1.2	99.2	0.8	98.8
1510	0.8	98.8	1.2	99.2
1520	0.2	98.2	1.8	99.8
1530	1.2	99.2	0.8	98.8
1540	1	99	1	99
1550	0.6	98.6	1.4	99.4
1560	1	99	1	99
1570	0.8	98.8	1.2	99.2
1580	1.2	99.2	0.8	98.8
1590	0.8	98.8	1.2	99.2
1600	0.8	98.8	1.2	99.2
1610	0.8	98.8	1.2	99.2
1620	1	99	1	99
1630	0.4	98.4	1.6	99.6
1640	0.8	98.8	1.2	99.2
1650	0.8	98.8	1.2	99.2
1660	0.6	98.6	1.4	99.4
1670	0.8	98.8	1.2	99.2
1680	1	99	1	99
1690	1.4	99.4	0.6	98.6
1700	0.6	98.6	1.4	99.4
1710	1.2	99.2	0.8	98.8
1720	1	99	1	99
1730	0.8	98.8	1.2	99.2
1740	1	99	1	99
1750	1	99	1	99
1760	1.2	99.2	0.8	98.8
1770	1.2	99.2	0.8	98.8
1780	0.6	98.6	1.4	99.4
1790	1.4	99.4	0.6	98.6
1800	1	99	1	99
1810	1.2	99.2	0.8	98.8
1820	1.2	99.2	0.8	98.8
1830	0.6	98.6	1.4	99.4
1840	1	99	1	99
1850	1	99	1	99
1860	1.2	99.2	0.8	98.8
1870	1.2	99.2	0.8	98.8
1880	0.6	98.6	1.4	99.4
1890	0.6	98.6	1.4	99.4
1900	0	100	0	100
1910	0.8	98.8	1.2	99.2
1920	1	99	1	99
1930	1.4	99.4	0.6	98.6
1940	0.6	98.6	1.4	99.4
1950	0.6	98.6	1.4	99.4
1960	1.2	99.2	0.8	98.8
1970	0.6	98.6	1.4	99.4
1980	0.4	98.4	1.6	99.6
1990	0.8	98.8	1.2	99.2
2000	1	99	1	99
2010	0.8	98.8	1.2	99.2
2020	0.6	98.6	1.4	99.4
2030	0.8	98.8	1.2	99.2
2040	0.4	98.4	1.6	99.6
2050	1	99	1	99
