t	FPR	FNR	TRP	TNR
100	0	98	2	100
110	0	98	2	100
120	0	98	2	100
130	0	98	2	100
140	0	98	2	100
150	0	98	2	100
160	0	98	2	100
170	0	98	2	100
180	0	98	2	100
190	0	98	2	100
200	0	98	2	100
210	0	98	2	100
220	0	98	2	100
230	0	98	2	100
240	0	98	2	100
250	0	98	2	100
260	0	98	2	100
270	0	98	2	100
280	0	98	2	100
290	0	98	2	100
300	0	98	2	100
310	0.2	98.2	1.8	99.8
320	0	98	2	100
330	0	98	2	100
340	0	98	2	100
350	0.2	98.2	1.8	99.8
360	0	98	2	100
370	0.6	98.6	1.4	99.4
380	0.2	98.2	1.8	99.8
390	0.4	98.4	1.6	99.6
400	0.2	98.2	1.8	99.8
410	0.4	98.4	1.6	99.6
420	0.6	98.6	1.4	99.4
430	0.8	98.8	1.2	99.2
440	0.4	98.4	1.6	99.6
450	0.4	98.4	1.6	99.6
460	0.4	98.4	1.6	99.6
470	0	98	2	100
480	0.6	98.6	1.4	99.4
490	0.4	98.4	1.6	99.6
500	0.8	98.8	1.2	99.2
510	1.2	99.2	0.8	98.8
520	1.2	99.2	0.8	98.8
530	1	99	1	99
540	0.8	98.8	1.2	99.2
550	1	99	1	99
560	0.4	98.4	1.6	99.6
570	0.6	98.6	1.4	99.4
580	0.6	98.6	1.4	99.4
590	0.8	98.8	1.2	99.2
600	1	99	1	99
610	0.8	98.8	1.2	99.2
620	1	99	1	99
630	0.8	98.8	1.2	99.2
640	0.6	98.6	1.4	99.4
650	1	99	1	99
660	0.8	98.8	1.2	99.2
670	0.8	98.8	1.2	99.2
680	1.2	99.2	0.8	98.8
690	1	99	1	99
700	0.8	98.8	1.2	99.2
710	1	99	1	99
720	1	99	1	99
730	1.2	99.2	0.8	98.8
740	1.2	99.2	0.8	98.8
750	1	99	1	99
760	1.2	99.2	0.8	98.8
770	1.2	99.2	0.8	98.8
780	1.4	99.4	0.6	98.6
790	1.2	99.2	0.8	98.8
800	1.6	99.6	0.4	98.4
810	0.8	98.8	1.2	99.2
820	1	99	1	99
830	0.6	98.6	1.4	99.4
840	0.2	98.2	1.8	99.8
850	1.2	99.2	0.8	98.8
860	0.6	98.6	1.4	99.4
870	0.8	98.8	1.2	99.2
880	1	99	1	99
890	1.4	99.4	0.6	98.6
900	0.8	98.8	1.2	99.2
910	0.8	98.8	1.2	99.2
920	0.6	98.6	1.4	99.4
930	1.2	99.2	0.8	98.8
940	1.2	99.2	0.8	98.8
950	1	99	1	99
960	0.6	98.6	1.4	99.4
970	0.4	98.4	1.6	99.6
980	1	99	1	99
990	1	99	1	99
1000	0.8	98.8	1.2	99.2
1010	1.4	99.4	0.6	98.6
1020	0.6	98.6	1.4	99.4
1030	0.8	98.8	1.2	99.2
1040	1.6	99.6	0.4	98.4
1050	1	99	1	99
1060	1.2	99.2	0.8	98.8
1070	0.6	98.6	1.4	99.4
1080	1	99	1	99
1090	1.4	99.4	0.6	98.6
1100	0.8	98.8	1.2	99.2
1110	0.8	98.8	1.2	99.2
1120	1.2	99.2	0.8	98.8
1130	0.8	98.8	1.2	99.2
1140	0.8	98.8	1.2	99.2
1150	0.8	98.8	1.2	99.2
1160	0.8	98.8	1.2	99.2
1170	1	99	1	99
1180	1	99	1	99
1190	0.8	98.8	1.2	99.2
1200	1	99	1	99
1210	1	99	1	99
1220	1.4	99.4	0.6	98.6
1230	1.2	99.2	0.8	98.8
1240	1	99	1	99
1250	1.2	99.2	0.8	98.8
1260	1.8	99.8	0.2	98.2
1270	1.4	99.4	0.6	98.6
1280	1	99	1	99
1290	0.8	98.8	1.2	99.2
1300	1.6	99.6	0.4	98.4
1310	0.6	98.6	1.4	99.4
1320	1	99	1	99
1330	0.8	98.8	1.2	99.2
1340	0.6	98.6	1.4	99.4
1350	0.8	98.8	1.2	99.2
1360	1	99	1	99
1370	0.6	98.6	1.4	99.4
1380	0.4	98.4	1.6	99.6
1390	1.2	99.2	0.8	98.8
1400	1.2	99.2	0.8	98.8
1410	1	99	1	99
1420	1	99	1	99
1430	0.6	98.6	1.4	99.4
1440	0.6	98.6	1.4	99.4
1450	0.6	98.6	1.4	99.4
1460	0.4	98.4	1.6	99.6
1470	1.4	99.4	0.6	98.6
1480	1	99	1	99
1490	1.4	99.4	0.6	98.6
1500	0.6	98.6	1.4	99.4
1510	0.6	98.6	1.4	99.4
1520	0.6	98.6	1.4	99.4
1530	0.8	98.8	1.2	99.2
1540	1.2	99.2	0.8	98.8
1550	1.4	99.4	0.6	98.6
1560	1.6	99.6	0.4	98.4
1570	1	99	1	99
1580	0.6	98.6	1.4	99.4
1590	1	99	1	99
1600	1.2	99.2	0.8	98.8
1610	1	99	1	99
1620	0.8	98.8	1.2	99.2
1630	0.8	98.8	1.2	99.2
1640	1.4	99.4	0.6	98.6
1650	1.8	99.8	0.2	98.2
1660	0.6	98.6	1.4	99.4
1670	1	99	1	99
1680	0.6	98.6	1.4	99.4
1690	1.4	99.4	0.6	98.6
1700	1.4	99.4	0.6	98.6
1710	1	99	1	99
1720	0.8	98.8	1.2	99.2
1730	1.6	99.6	0.4	98.4
1740	1.6	99.6	0.4	98.4
1750	0.8	98.8	1.2	99.2
1760	0.6	98.6	1.4	99.4
1770	1.2	99.2	0.8	98.8
1780	1.4	99.4	0.6	98.6
1790	0.8	98.8	1.2	99.2
1800	1.2	99.2	0.8	98.8
1810	1.2	99.2	0.8	98.8
1820	0.6	98.6	1.4	99.4
1830	1.2	99.2	0.8	98.8
1840	1	99	1	99
1850	0.6	98.6	1.4	99.4
1860	0.8	98.8	1.2	99.2
1870	1	99	1	99
1880	0.8	98.8	1.2	99.2
1890	0.4	98.4	1.6	99.6
1900	0.6	98.6	1.4	99.4
1910	0.8	98.8	1.2	99.2
1920	0.8	98.8	1.2	99.2
1930	1	99	1	99
1940	0.8	98.8	1.2	99.2
1950	0.8	98.8	1.2	99.2
1960	1.4	99.4	0.6	98.6
1970	0.8	98.8	1.2	99.2
1980	0.4	98.4	1.6	99.6
1990	1	99	1	99
2000	1.2	99.2	0.8	98.8
2010	0.6	98.6	1.4	99.4
2020	0.8	98.8	1.2	99.2
2030	1	99	1	99
2040	0.8	98.8	1.2	99.2
2050	0.6	98.6	1.4	99.4
