t	FPR	FNR	TRP	TNR
100	0.8	98.8	1.2	99.2
110	1.2	99.2	0.8	98.8
120	1.4	99.4	0.6	98.6
130	0.8	98.8	1.2	99.2
140	0.8	98.8	1.2	99.2
150	0.2	98.2	1.8	99.8
160	0	98	2	100
170	0.2	98.2	1.8	99.8
180	0.6	98.6	1.4	99.4
190	1	99	1	99
200	0.8	98.8	1.2	99.2
210	0.8	98.8	1.2	99.2
220	0.4	98.4	1.6	99.6
230	1.2	99.2	0.8	98.8
240	0.4	98.4	1.6	99.6
250	0.4	98.4	1.6	99.6
260	0.8	98.8	1.2	99.2
270	0.8	98.8	1.2	99.2
280	0	98	2	100
290	1	99	1	99
300	0.8	98.8	1.2	99.2
310	0.2	98.2	1.8	99.8
320	1	99	1	99
330	0.8	98.8	1.2	99.2
340	0.4	98.4	1.6	99.6
350	0.6	98.6	1.4	99.4
360	0.6	98.6	1.4	99.4
370	0.6	98.6	1.4	99.4
380	0.4	98.4	1.6	99.6
390	0.8	98.8	1.2	99.2
400	1	99	1	99
410	1.4	99.4	0.6	98.6
420	0.6	98.6	1.4	99.4
430	0.8	98.8	1.2	99.2
440	0.2	98.2	1.8	99.8
450	0.8	98.8	1.2	99.2
460	0.8	98.8	1.2	99.2
470	0.4	98.4	1.6	99.6
480	0.4	98.4	1.6	99.6
490	0.8	98.8	1.2	99.2
500	0.6	98.6	1.4	99.4
510	1	99	1	99
520	0.8	98.8	1.2	99.2
530	0.8	98.8	1.2	99.2
540	0.2	98.2	1.8	99.8
550	0.8	98.8	1.2	99.2
560	0.8	98.8	1.2	99.2
570	1.2	99.2	0.8	98.8
580	0.6	98.6	1.4	99.4
590	0.4	98.4	1.6	99.6
600	0.2	98.2	1.8	99.8
610	1	99	1	99
620	0.8	98.8	1.2	99.2
630	0.4	98.4	1.6	99.6
640	1	99	1	99
650	0.8	98.8	1.2	99.2
660	0.6	98.6	1.4	99.4
670	1.4	99.4	0.6	98.6
680	0.4	98.4	1.6	99.6
690	0.6	98.6	1.4	99.4
700	1	99	1	99
710	1	99	1	99
720	0.2	98.2	1.8	99.8
730	0.8	98.8	1.2	99.2
740	0.8	98.8	1.2	99.2
750	0.6	98.6	1.4	99.4
760	1.4	99.4	0.6	98.6
770	0.6	98.6	1.4	99.4
780	0.6	98.6	1.4	99.4
790	1	99	1	99
800	0.8	98.8	1.2	99.2
810	1.6	99.6	0.4	98.4
820	0.8	98.8	1.2	99.2
830	0.2	98.2	1.8	99.8
840	0.6	98.6	1.4	99.4
850	0.6	98.6	1.4	99.4
860	0.6	98.6	1.4	99.4
870	0.6	98.6	1.4	99.4
880	1.2	99.2	0.8	98.8
890	0.6	98.6	1.4	99.4
900	0.6	98.6	1.4	99.4
910	0.6	98.6	1.4	99.4
920	0.4	98.4	1.6	99.6
930	1.2	99.2	0.8	98.8
940	0.6	98.6	1.4	99.4
950	0.6	98.6	1.4	99.4
960	1	99	1	99
970	1.2	99.2	0.8	98.8
980	0.6	98.6	1.4	99.4
990	1.2	99.2	0.8	98.8
1000	1	99	1	99
1010	1	99	1	99
1020	0.8	98.8	1.2	99.2
1030	1.4	99.4	0.6	98.6
1040	1	99	1	99
1050	0.8	98.8	1.2	99.2
1060	0.8	98.8	1.2	99.2
1070	0.6	98.6	1.4	99.4
1080	0.8	98.8	1.2	99.2
1090	1	99	1	99
1100	0.6	98.6	1.4	99.4
1110	0.8	98.8	1.2	99.2
1120	0.8	98.8	1.2	99.2
1130	0.8	98.8	1.2	99.2
1140	0.4	98.4	1.6	99.6
1150	1	99	1	99
1160	1	99	1	99
1170	1.2	99.2	0.8	98.8
1180	0.8	98.8	1.2	99.2
1190	1.2	99.2	0.8	98.8
1200	1.2	99.2	0.8	98.8
1210	0.4	98.4	1.6	99.6
1220	0.8	98.8	1.2	99.2
1230	1	99	1	99
1240	0.8	98.8	1.2	99.2
1250	1.2	99.2	0.8	98.8
1260	1.2	99.2	0.8	98.8
1270	0.8	98.8	1.2	99.2
1280	0.6	98.6	1.4	99.4
1290	0.8	98.8	1.2	99.2
1300	1.2	99.2	0.8	98.8
1310	1	99	1	99
1320	1	99	1	99
1330	0.8	98.8	1.2	99.2
1340	0.2	98.2	1.8	99.8
1350	0.6	98.6	1.4	99.4
1360	0.8	98.8	1.2	99.2
1370	0.8	98.8	1.2	99.2
1380	0.6	98.6	1.4	99.4
1390	0.8	98.8	1.2	99.2
1400	0.8	98.8	1.2	99.2
1410	1	99	1	99
1420	0.6	98.6	1.4	99.4
1430	1.2	99.2	0.8	98.8
1440	1	99	1	99
