t	FPR	FNR	TRP	TNR
100	0.4	98.4	1.6	99.6
110	0.8	98.8	1.2	99.2
120	0.4	98.4	1.6	99.6
130	0.2	98.2	1.8	99.8
140	0	98	2	100
150	1	99	1	99
160	0.6	98.6	1.4	99.4
170	0.6	98.6	1.4	99.4
180	0.8	98.8	1.2	99.2
190	0.4	98.4	1.6	99.6
200	0.6	98.6	1.4	99.4
210	0.8	98.8	1.2	99.2
220	0.6	98.6	1.4	99.4
230	0.8	98.8	1.2	99.2
240	0.6	98.6	1.4	99.4
250	0.4	98.4	1.6	99.6
260	0.8	98.8	1.2	99.2
270	0.4	98.4	1.6	99.6
280	0.4	98.4	1.6	99.6
290	0.6	98.6	1.4	99.4
300	0.8	98.8	1.2	99.2
310	0.6	98.6	1.4	99.4
320	0.8	98.8	1.2	99.2
330	0.2	98.2	1.8	99.8
340	0.2	98.2	1.8	99.8
350	0.4	98.4	1.6	99.6
360	0.2	98.2	1.8	99.8
370	0.6	98.6	1.4	99.4
380	0.6	98.6	1.4	99.4
390	0.6	98.6	1.4	99.4
400	0.8	98.8	1.2	99.2
410	0.6	98.6	1.4	99.4
420	0.4	98.4	1.6	99.6
430	0.8	98.8	1.2	99.2
440	0.8	98.8	1.2	99.2
450	0.6	98.6	1.4	99.4
460	1.4	99.4	0.6	98.6
470	0.4	98.4	1.6	99.6
480	0.8	98.8	1.2	99.2
490	0.4	98.4	1.6	99.6
500	1.2	99.2	0.8	98.8
510	0.2	98.2	1.8	99.8
520	0.4	98.4	1.6	99.6
530	0.8	98.8	1.2	99.2
540	0.6	98.6	1.4	99.4
550	0.4	98.4	1.6	99.6
560	0.2	98.2	1.8	99.8
570	0.6	98.6	1.4	99.4
580	0.6	98.6	1.4	99.4
590	1	99	1	99
600	0.2	98.2	1.8	99.8
610	0.6	98.6	1.4	99.4
620	0.6	98.6	1.4	99.4
630	0.4	98.4	1.6	99.6
640	0.8	98.8	1.2	99.2
650	0.8	98.8	1.2	99.2
660	0.2	98.2	1.8	99.8
670	0.6	98.6	1.4	99.4
680	1.2	99.2	0.8	98.8
690	0.4	98.4	1.6	99.6
700	1.2	99.2	0.8	98.8
710	0.6	98.6	1.4	99.4
720	0.6	98.6	1.4	99.4
730	0.6	98.6	1.4	99.4
740	0.6	98.6	1.4	99.4
750	0.6	98.6	1.4	99.4
760	0.8	98.8	1.2	99.2
770	1	99	1	99
780	1.2	99.2	0.8	98.8
790	0.8	98.8	1.2	99.2
800	1	99	1	99
810	0.6	98.6	1.4	99.4
820	0.6	98.6	1.4	99.4
830	0.2	98.2	1.8	99.8
840	0.4	98.4	1.6	99.6
850	0.6	98.6	1.4	99.4
860	1	99	1	99
870	0.4	98.4	1.6	99.6
880	0.6	98.6	1.4	99.4
890	0.8	98.8	1.2	99.2
900	1.2	99.2	0.8	98.8
910	1	99	1	99
920	0.6	98.6	1.4	99.4
930	1.2	99.2	0.8	98.8
940	1	99	1	99
950	0.2	98.2	1.8	99.8
960	0.8	98.8	1.2	99.2
970	0.8	98.8	1.2	99.2
980	0.4	98.4	1.6	99.6
990	1	99	1	99
1000	1	99	1	99
1010	0.4	98.4	1.6	99.6
1020	1	99	1	99
1030	1	99	1	99
1040	0.6	98.6	1.4	99.4
1050	0.8	98.8	1.2	99.2
1060	0.8	98.8	1.2	99.2
1070	0.8	98.8	1.2	99.2
1080	0.4	98.4	1.6	99.6
1090	0.4	98.4	1.6	99.6
1100	0.6	98.6	1.4	99.4
1110	0	98	2	100
1120	0.6	98.6	1.4	99.4
1130	0.6	98.6	1.4	99.4
1140	0.2	98.2	1.8	99.8
1150	0.4	98.4	1.6	99.6
1160	0.6	98.6	1.4	99.4
1170	0.6	98.6	1.4	99.4
1180	0.4	98.4	1.6	99.6
1190	0.8	98.8	1.2	99.2
1200	0.6	98.6	1.4	99.4
1210	0.6	98.6	1.4	99.4
1220	0.4	98.4	1.6	99.6
1230	0.8	98.8	1.2	99.2
1240	0.6	98.6	1.4	99.4
1250	0.6	98.6	1.4	99.4
1260	0.6	98.6	1.4	99.4
1270	0.6	98.6	1.4	99.4
1280	0.4	98.4	1.6	99.6
1290	0.4	98.4	1.6	99.6
1300	0.4	98.4	1.6	99.6
1310	1.4	99.4	0.6	98.6
1320	1.6	99.6	0.4	98.4
1330	1.2	99.2	0.8	98.8
1340	0.4	98.4	1.6	99.6
1350	0.8	98.8	1.2	99.2
1360	0.4	98.4	1.6	99.6
1370	0.6	98.6	1.4	99.4
1380	0.4	98.4	1.6	99.6
1390	1.2	99.2	0.8	98.8
1400	1	99	1	99
1410	1	99	1	99
1420	0.4	98.4	1.6	99.6
1430	1	99	1	99
1440	0.4	98.4	1.6	99.6
1450	1.4	99.4	0.6	98.6
1460	0.8	98.8	1.2	99.2
1470	1.2	99.2	0.8	98.8
1480	1	99	1	99
1490	0.8	98.8	1.2	99.2
1500	0.6	98.6	1.4	99.4
1510	1.2	99.2	0.8	98.8
1520	0.6	98.6	1.4	99.4
1530	0.6	98.6	1.4	99.4
1540	0.8	98.8	1.2	99.2
1550	1	99	1	99
1560	0.8	98.8	1.2	99.2
1570	1	99	1	99
1580	0.8	98.8	1.2	99.2
1590	0.8	98.8	1.2	99.2
1600	0.4	98.4	1.6	99.6
1610	1.2	99.2	0.8	98.8
1620	0.8	98.8	1.2	99.2
1630	0.8	98.8	1.2	99.2
1640	1.2	99.2	0.8	98.8
1650	0.6	98.6	1.4	99.4
1660	1.2	99.2	0.8	98.8
1670	1.4	99.4	0.6	98.6
1680	1.2	99.2	0.8	98.8
1690	0	98	2	100
1700	0.8	98.8	1.2	99.2
1710	0.6	98.6	1.4	99.4
1720	0.4	98.4	1.6	99.6
1730	1	99	1	99
1740	0.4	98.4	1.6	99.6
1750	1.4	99.4	0.6	98.6
1760	1	99	1	99
1770	0.6	98.6	1.4	99.4
1780	0.6	98.6	1.4	99.4
1790	0.6	98.6	1.4	99.4
1800	1.4	99.4	0.6	98.6
1810	0.8	98.8	1.2	99.2
1820	1	99	1	99
1830	1	99	1	99
1840	0.8	98.8	1.2	99.2
1850	0.8	98.8	1.2	99.2
1860	1	99	1	99
1870	1	99	1	99
1880	1	99	1	99
1890	0.4	98.4	1.6	99.6
1900	0.4	98.4	1.6	99.6
1910	1.2	99.2	0.8	98.8
1920	0.6	98.6	1.4	99.4
1930	0.6	98.6	1.4	99.4
1940	0.8	98.8	1.2	99.2
1950	0.8	98.8	1.2	99.2
1960	1	99	1	99
1970	0.8	98.8	1.2	99.2
1980	0.4	98.4	1.6	99.6
1990	0.8	98.8	1.2	99.2
2000	1.2	99.2	0.8	98.8
2010	0.6	98.6	1.4	99.4
2020	0.4	98.4	1.6	99.6
2030	0.8	98.8	1.2	99.2
2040	0.2	98.2	1.8	99.8
2050	1	99	1	99
