t	FPR	FNR	TRP	TNR
100	0.6	98.6	1.4	99.4
110	0.8	98.8	1.2	99.2
120	0.8	98.8	1.2	99.2
130	0.8	98.8	1.2	99.2
140	0.8	98.8	1.2	99.2
150	0.6	98.6	1.4	99.4
160	0.8	98.8	1.2	99.2
170	1.4	99.4	0.6	98.6
180	1.2	99.2	0.8	98.8
190	1	99	1	99
200	0.6	98.6	1.4	99.4
210	0.8	98.8	1.2	99.2
220	0.4	98.4	1.6	99.6
230	0.4	98.4	1.6	99.6
240	1	99	1	99
250	1.2	99.2	0.8	98.8
260	1	99	1	99
270	0.6	98.6	1.4	99.4
280	0.8	98.8	1.2	99.2
290	1.4	99.4	0.6	98.6
300	0.6	98.6	1.4	99.4
310	1	99	1	99
320	0.4	98.4	1.6	99.6
330	0.8	98.8	1.2	99.2
340	1	99	1	99
350	0.2	98.2	1.8	99.8
360	1	99	1	99
370	0.6	98.6	1.4	99.4
380	1	99	1	99
390	0.6	98.6	1.4	99.4
400	0.6	98.6	1.4	99.4
410	0.2	98.2	1.8	99.8
420	0.6	98.6	1.4	99.4
430	1	99	1	99
440	1	99	1	99
450	0.8	98.8	1.2	99.2
460	1.8	99.8	0.2	98.2
470	0.4	98.4	1.6	99.6
480	1.4	99.4	0.6	98.6
490	0.6	98.6	1.4	99.4
500	1	99	1	99
510	0.6	98.6	1.4	99.4
520	1.4	99.4	0.6	98.6
530	0.8	98.8	1.2	99.2
540	1.2	99.2	0.8	98.8
550	1.2	99.2	0.8	98.8
560	0.6	98.6	1.4	99.4
570	0.6	98.6	1.4	99.4
580	0.4	98.4	1.6	99.6
590	1.2	99.2	0.8	98.8
600	1	99	1	99
610	0.4	98.4	1.6	99.6
620	1.2	99.2	0.8	98.8
630	0.6	98.6	1.4	99.4
640	0.6	98.6	1.4	99.4
650	1	99	1	99
660	0.8	98.8	1.2	99.2
670	0.6	98.6	1.4	99.4
680	0.8	98.8	1.2	99.2
690	1	99	1	99
700	0.6	98.6	1.4	99.4
710	0.6	98.6	1.4	99.4
720	1	99	1	99
730	1	99	1	99
740	1	99	1	99
750	0.8	98.8	1.2	99.2
760	0.8	98.8	1.2	99.2
770	0.8	98.8	1.2	99.2
780	1.4	99.4	0.6	98.6
790	1	99	1	99
800	0.6	98.6	1.4	99.4
810	0.6	98.6	1.4	99.4
820	0.6	98.6	1.4	99.4
830	0.6	98.6	1.4	99.4
840	1.4	99.4	0.6	98.6
850	1.2	99.2	0.8	98.8
860	1.6	99.6	0.4	98.4
870	1.6	99.6	0.4	98.4
880	1	99	1	99
890	0.8	98.8	1.2	99.2
900	1	99	1	99
910	1	99	1	99
920	0.8	98.8	1.2	99.2
930	0.4	98.4	1.6	99.6
940	1	99	1	99
950	1.2	99.2	0.8	98.8
960	1	99	1	99
970	1.4	99.4	0.6	98.6
980	0.6	98.6	1.4	99.4
990	0.8	98.8	1.2	99.2
1000	1	99	1	99
1010	1.2	99.2	0.8	98.8
1020	0.2	98.2	1.8	99.8
1030	0.8	98.8	1.2	99.2
1040	0.8	98.8	1.2	99.2
1050	0.6	98.6	1.4	99.4
1060	1.2	99.2	0.8	98.8
1070	0.2	98.2	1.8	99.8
1080	1	99	1	99
1090	1.2	99.2	0.8	98.8
1100	0.6	98.6	1.4	99.4
1110	0.8	98.8	1.2	99.2
1120	0.8	98.8	1.2	99.2
1130	0.6	98.6	1.4	99.4
1140	1	99	1	99
1150	0.4	98.4	1.6	99.6
1160	0.6	98.6	1.4	99.4
1170	0.6	98.6	1.4	99.4
1180	1.4	99.4	0.6	98.6
1190	0.6	98.6	1.4	99.4
1200	0.8	98.8	1.2	99.2
1210	0.8	98.8	1.2	99.2
1220	1	99	1	99
1230	1.2	99.2	0.8	98.8
1240	1.4	99.4	0.6	98.6
1250	0.8	98.8	1.2	99.2
1260	1	99	1	99
1270	1.2	99.2	0.8	98.8
1280	1.4	99.4	0.6	98.6
1290	0.8	98.8	1.2	99.2
1300	1.4	99.4	0.6	98.6
1310	1	99	1	99
1320	0.6	98.6	1.4	99.4
1330	0.4	98.4	1.6	99.6
1340	0.2	98.2	1.8	99.8
1350	1	99	1	99
1360	0.6	98.6	1.4	99.4
1370	0.8	98.8	1.2	99.2
1380	1	99	1	99
1390	1.2	99.2	0.8	98.8
1400	0.8	98.8	1.2	99.2
1410	0.8	98.8	1.2	99.2
1420	1.4	99.4	0.6	98.6
1430	1	99	1	99
1440	0.4	98.4	1.6	99.6
1450	0.6	98.6	1.4	99.4
1460	1.2	99.2	0.8	98.8
1470	1.2	99.2	0.8	98.8
1480	0.4	98.4	1.6	99.6
1490	1	99	1	99
1500	0.8	98.8	1.2	99.2
1510	0.8	98.8	1.2	99.2
1520	0.8	98.8	1.2	99.2
1530	0.6	98.6	1.4	99.4
1540	0.8	98.8	1.2	99.2
1550	1.6	99.6	0.4	98.4
1560	1.2	99.2	0.8	98.8
1570	1.4	99.4	0.6	98.6
1580	1.2	99.2	0.8	98.8
1590	0.8	98.8	1.2	99.2
1600	1	99	1	99
1610	0.8	98.8	1.2	99.2
1620	0.8	98.8	1.2	99.2
1630	1	99	1	99
1640	0.2	98.2	1.8	99.8
1650	0.4	98.4	1.6	99.6
1660	0.8	98.8	1.2	99.2
1670	1	99	1	99
1680	0.6	98.6	1.4	99.4
1690	0.8	98.8	1.2	99.2
1700	0.8	98.8	1.2	99.2
1710	1	99	1	99
1720	0.8	98.8	1.2	99.2
1730	1	99	1	99
1740	1	99	1	99
1750	0.8	98.8	1.2	99.2
1760	0.8	98.8	1.2	99.2
1770	1.6	99.6	0.4	98.4
1780	0.8	98.8	1.2	99.2
1790	0.6	98.6	1.4	99.4
1800	1.2	99.2	0.8	98.8
1810	1	99	1	99
1820	1.4	99.4	0.6	98.6
1830	0.2	98.2	1.8	99.8
1840	0.4	98.6	1.4	99.6
1850	0.8	98.8	1.2	99.2
1860	1.4	99.4	0.6	98.6
1870	0.4	98.4	1.6	99.6
1880	0.2	98.2	1.8	99.8
1890	1	99	1	99
1900	1	99	1	99
1910	0.4	98.4	1.6	99.6
1920	1.4	99.4	0.6	98.6
1930	0.8	98.8	1.2	99.2
1940	0.6	98.6	1.4	99.4
1950	1.2	99.2	0.8	98.8
1960	1.2	99.2	0.8	98.8
1970	0.4	98.4	1.6	99.6
1980	1.2	99.2	0.8	98.8
1990	0.8	98.8	1.2	99.2
2000	0.4	98.4	1.6	99.6
2010	0.6	98.6	1.4	99.4
2020	0.8	98.8	1.2	99.2
2030	1.2	99.2	0.8	98.8
2040	1	99	1	99
2050	1	99	1	99
