t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	99.8	0.2	100
10	0	100	0	100
11	0	100	0	100
12	0	100	0	100
13	0	100	0	100
14	0	99.8	0.2	100
15	0	100	0	100
16	0	99.2	0.8	100
17	0.2	99.2	0.8	99.8
18	0	100	0	100
19	0	100	0	100
20	0	99.8	0.2	100
21	0	99.8	0.2	100
22	0.2	97.2	2.8	99.8
23	0	97	3	100
24	0	99	1	100
25	0	97.2	2.8	100
26	0	99.2	0.8	100
27	0	93	7	100
28	0.2	91.2	8.8	99.8
29	0	89.2	10.8	100
30	0.2	93	7	99.8
31	1.6	79.2	20.8	98.4
32	0.8	80	20	99.2
33	0.6	83	17	99.4
34	0.6	76.6	23.4	99.4
35	1.6	66	34	98.4
36	2	62.8	37.2	98
37	0.8	59	41	99.2
38	0.8	68.4	31.6	99.2
39	0.2	64	36	99.8
40	1.2	54.6	45.4	98.8
41	2.2	58.2	41.8	97.8
42	1.4	46	54	98.6
43	1.4	42.6	57.4	98.6
44	2	44.6	55.4	98
45	1.4	35.6	64.4	98.6
46	1.2	37.6	62.4	98.8
47	2.4	30	70	97.6
48	1.8	30.8	69.2	98.2
49	2.4	27.8	72.2	97.6
50	2	22	78	98
51	2	20.6	79.4	98
52	1.4	18.2	81.8	98.6
53	2.6	14.6	85.4	97.4
54	2.4	17.8	82.2	97.6
55	3.6	14.2	85.8	96.4
56	3.2	13.4	86.6	96.8
57	1.8	13.6	86.4	98.2
58	2.6	12.6	87.4	97.4
59	1.6	8.4	91.6	98.4
60	4	8	92	96
61	2.2	9.4	90.6	97.8
62	2	7.2	92.8	98
63	1.8	3.8	96.2	98.2
64	2.8	5.8	94.2	97.2
65	2	5.4	94.6	98
66	1.4	3.8	96.2	98.6
67	2	2.6	97.4	98
68	3.2	3.6	96.4	96.8
69	2.6	1.4	98.6	97.4
70	3.2	1.8	98.2	96.8
71	1.6	2.8	97.2	98.4
72	3	1.8	98.2	97
73	2.8	1.4	98.6	97.2
74	2.2	1.2	98.8	97.8
75	2.2	1.4	98.6	97.8
76	3.8	0.4	99.6	96.2
77	2.4	0.2	99.8	97.6
78	3.2	0.6	99.4	96.8
79	2.8	0.4	99.6	97.2
80	4	0.2	99.8	96
81	2.8	0.6	99.4	97.2
82	2.4	0.6	99.4	97.6
83	3.4	0	100	96.6
84	2.2	0.2	99.8	97.8
85	3.4	0.2	99.8	96.6
86	1.2	0	100	98.8
87	2.8	0	100	97.2
88	1.6	0	100	98.4
89	0.8	0	100	99.2
90	1.6	0.2	99.8	98.4
91	3	0	100	97
92	3.6	0	100	96.4
93	2.8	0	100	97.2
94	2.6	0	100	97.4
95	2.2	0	100	97.8
96	3.6	0	100	96.4
97	2.8	0	100	97.2
98	3	0	100	97
99	1.2	0	100	98.8
100	2.2	0	100	97.8
101	2.6	0	100	97.4
102	2.4	0	100	97.6
103	1.8	0	100	98.2
104	1.8	0	100	98.2
105	2.8	0	100	97.2
106	2.6	0	100	97.4
107	3.8	0	100	96.2
108	2.4	0	100	97.6
109	2.2	0	100	97.8
110	3.6	0	100	96.4
111	2.4	0	100	97.6
112	3.2	0	100	96.8
113	2.6	0	100	97.4
114	3.4	0	100	96.6
115	2.6	0	100	97.4
116	2	0	100	98
117	2.2	0	100	97.8
118	1.6	0	100	98.4
119	2.6	0	100	97.4
120	3.2	0	100	96.8
121	2.2	0	100	97.8
122	2.2	0	100	97.8
123	1.8	0	100	98.2
124	1.8	0	100	98.2
125	2.4	0	100	97.6
126	2.2	0	100	97.8
127	2.2	0	100	97.8
128	2.6	0	100	97.4
129	3.4	0	100	96.6
130	2.8	0	100	97.2
131	2.4	0	100	97.6
132	3.4	0	100	96.6
133	1.8	0	100	98.2
134	2.4	0	100	97.6
135	2.4	0	100	97.6
136	2.4	0	100	97.6
137	3.6	0	100	96.4
138	3.2	0	100	96.8
139	2.8	0	100	97.2
140	3.6	0	100	96.4
141	2.6	0	100	97.4
142	4.6	0	100	95.4
143	1.8	0	100	98.2
144	1.6	0	100	98.4
145	1.4	0	100	98.6
146	2.4	0	100	97.6
147	2.6	0	100	97.4
148	2	0	100	98
149	2.4	0	100	97.6
150	3.4	0	100	96.6
