t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	99.6	0.4	100
10	0	99.6	0.4	100
11	0	100	0	100
12	0	96.2	3.8	100
13	0	99.8	0.2	100
14	0	99.4	0.6	100
15	0	98.6	1.4	100
16	0	91.4	8.6	100
17	0.8	91	9	99.2
18	0.2	91.4	8.6	99.8
19	0.2	81	19	99.8
20	0.4	78.6	21.4	99.6
21	0.6	74	26	99.4
22	1	70.6	29.4	99
23	0.8	70.2	29.8	99.2
24	2	52.8	47.2	98
25	1.4	47.4	52.6	98.6
26	0.4	50.6	49.4	99.6
27	0.8	37.8	62.2	99.2
28	0.8	40.6	59.4	99.2
29	1.6	27.8	72.2	98.4
30	2	33.2	66.8	98
31	2.8	19.4	80.6	97.2
32	1.4	20.4	79.6	98.6
33	1.6	15.4	84.6	98.4
34	4	15.2	84.8	96
35	2.4	16	84	97.6
36	2.6	8.6	91.4	97.4
37	4.2	9.6	90.4	95.8
38	1.6	7	93	98.4
39	1.6	4.8	95.2	98.4
40	3.2	5.2	94.8	96.8
41	1.8	4.4	95.6	98.2
42	2.2	1.4	98.6	97.8
43	3.2	0.4	99.6	96.8
44	2.8	1.6	98.4	97.2
45	1.8	2.2	97.8	98.2
46	2.2	1.4	98.6	97.8
47	1.4	1.2	98.8	98.6
48	2.4	0.4	99.6	97.6
49	3.6	0.4	99.6	96.4
50	3.2	0	100	96.8
51	3.6	0.4	99.6	96.4
52	2.2	0.2	99.8	97.8
53	3	0.4	99.6	97
54	2	0	100	98
55	2.4	0.2	99.8	97.6
56	2.4	0	100	97.6
57	2	0	100	98
58	1.8	0	100	98.2
59	3	0	100	97
60	1.2	0	100	98.8
61	2	0	100	98
62	1.4	0	100	98.6
63	2.4	0	100	97.6
64	3	0	100	97
65	4	0	100	96
66	2	0	100	98
67	2.8	0	100	97.2
68	2.2	0	100	97.8
69	2.2	0	100	97.8
70	2.6	0	100	97.4
71	3.6	0	100	96.4
72	2.2	0	100	97.8
73	2.8	0	100	97.2
74	3.8	0	100	96.2
75	2.2	0	100	97.8
76	3	0	100	97
77	1.2	0	100	98.8
78	2.6	0	100	97.4
79	2.8	0	100	97.2
80	2.2	0	100	97.8
81	2.6	0	100	97.4
82	1.4	0	100	98.6
83	1.6	0	100	98.4
84	3.4	0	100	96.6
85	2	0	100	98
86	2.6	0	100	97.4
87	3.6	0	100	96.4
88	2.6	0	100	97.4
89	2	0	100	98
90	2.4	0	100	97.6
91	2.6	0	100	97.4
92	2.6	0	100	97.4
93	2	0	100	98
94	1.8	0	100	98.2
95	4.4	0	100	95.6
96	4	0	100	96
97	2.8	0	100	97.2
98	1	0	100	99
99	2.6	0	100	97.4
100	2.8	0	100	97.2
101	2.4	0	100	97.6
102	3	0	100	97
103	2.6	0	100	97.4
104	1.8	0	100	98.2
105	2.6	0	100	97.4
106	1.6	0	100	98.4
107	2.2	0	100	97.8
108	2.4	0	100	97.6
109	2.4	0	100	97.6
110	2.6	0	100	97.4
111	2.4	0	100	97.6
112	3	0	100	97
113	2	0	100	98
114	1.4	0	100	98.6
115	2.8	0	100	97.2
116	2	0	100	98
117	1.8	0	100	98.2
118	2.8	0	100	97.2
119	2.4	0	100	97.6
120	3.6	0	100	96.4
121	3.6	0	100	96.4
122	2.2	0	100	97.8
123	2	0	100	98
124	3.2	0	100	96.8
125	2.2	0	100	97.8
126	4.2	0	100	95.8
127	2.8	0	100	97.2
128	2.6	0	100	97.4
129	3	0	100	97
130	2	0	100	98
131	1.8	0	100	98.2
132	2.6	0	100	97.4
133	2.6	0	100	97.4
134	2.8	0	100	97.2
135	2.6	0	100	97.4
136	3.2	0	100	96.8
137	4.2	0	100	95.8
138	3	0	100	97
139	1.6	0	100	98.4
140	3.8	0	100	96.2
141	3.2	0	100	96.8
142	4.4	0	100	95.6
143	1.8	0	100	98.2
144	1.6	0	100	98.4
145	1.2	0	100	98.8
146	3	0	100	97
147	3	0	100	97
148	2.6	0	100	97.4
149	3	0	100	97
150	3	0	100	97
