t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	99.8	0.2	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0	100	0	100
11	0	100	0	100
12	0	100	0	100
13	0	100	0	100
14	0.2	100	0	99.8
15	0	100	0	100
16	0.2	100	0	99.8
17	0	100	0	100
18	0	100	0	100
19	0	100	0	100
20	0	100	0	100
21	0	100	0	100
22	0	99.8	0.2	100
23	0	100	0	100
24	0.2	99.8	0.2	99.8
25	0	99.8	0.2	100
26	0	100	0	100
27	0	99.8	0.2	100
28	0	100	0	100
29	0	99.6	0.4	100
30	0	99.8	0.2	100
31	0	100	0	100
32	0	98.6	1.4	100
33	0	98.2	1.8	100
34	0	100	0	100
35	0	98.2	1.8	100
36	0	98.8	1.2	100
37	0	99.6	0.4	100
38	0	97.6	2.4	100
39	0	95.6	4.4	100
40	0.6	96.4	3.6	99.4
41	0	96.2	3.8	100
42	0	94.8	5.2	100
43	0.2	89.2	10.8	99.8
44	0.2	87	13	99.8
45	0.2	93.6	6.4	99.8
46	0.4	88.4	11.6	99.6
47	0.2	82.8	17.2	99.8
48	0.4	87.4	12.6	99.6
49	0.2	88.8	11.2	99.8
50	0.2	69.8	30.2	99.8
51	0.6	80	20	99.4
52	0.6	73.4	26.6	99.4
53	1.4	64.8	35.2	98.6
54	0.6	67.2	32.8	99.4
55	1.6	66	34	98.4
56	0.4	64	36	99.6
57	0.4	61.6	38.4	99.6
58	1.4	57.8	42.2	98.6
59	0.8	52	48	99.2
60	1.2	51.8	48.2	98.8
61	1.6	46.8	53.2	98.4
62	1.8	49.2	50.8	98.2
63	1.6	49	51	98.4
64	1	43.8	56.2	99
65	2.4	37.4	62.6	97.6
66	1.6	42.8	57.2	98.4
67	2	42	58	98
68	0.6	33.6	66.4	99.4
69	2.8	35	65	97.2
70	2	29.6	70.4	98
71	1.8	28.2	71.8	98.2
72	1.4	30.8	69.2	98.6
73	1.6	29	71	98.4
74	1.6	25.2	74.8	98.4
75	1.8	20.8	79.2	98.2
76	1.4	22.2	77.8	98.6
77	1.8	20.8	79.2	98.2
78	1.6	18	82	98.4
79	2.8	17.4	82.6	97.2
80	2.2	18	82	97.8
81	2.4	14.6	85.4	97.6
82	3.2	13.4	86.6	96.8
83	1	14.2	85.8	99
84	2	11.2	88.8	98
85	2	10.8	89.2	98
86	3	10.8	89.2	97
87	1.6	7	93	98.4
88	3.2	6.4	93.6	96.8
89	2.2	7.6	92.4	97.8
90	1.4	8.6	91.4	98.6
91	2.4	6	94	97.6
92	2.4	4.6	95.4	97.6
93	2	7	93	98
94	2.6	6	94	97.4
95	2.6	4.2	95.8	97.4
96	3.4	3.4	96.6	96.6
97	2.2	2.6	97.4	97.8
98	1.6	5.2	94.8	98.4
99	1.8	4.4	95.6	98.2
100	3.6	2.6	97.4	96.4
101	2.2	2.6	97.4	97.8
102	3.2	1.8	98.2	96.8
103	1.4	1.4	98.6	98.6
104	2.2	3.6	96.4	97.8
105	2.6	0.8	99.2	97.4
106	1.6	2.2	97.8	98.4
107	2.4	1.4	98.6	97.6
108	3.4	1.6	98.4	96.6
109	2.8	1.2	98.8	97.2
110	3.6	0.4	99.6	96.4
111	2.4	1	99	97.6
112	1.8	1.2	98.8	98.2
113	2.4	1	99	97.6
114	1.8	0.6	99.4	98.2
115	3	1	99	97
116	3.2	0.2	99.8	96.8
117	3.2	0.6	99.4	96.8
118	2.2	0.6	99.4	97.8
119	3	0.2	99.8	97
120	1.6	0	100	98.4
121	1.6	0.2	99.8	98.4
122	3.4	0	100	96.6
123	2.8	0	100	97.2
124	2.6	0	100	97.4
125	2.4	0	100	97.6
126	3.4	0.2	99.8	96.6
127	2.4	0	100	97.6
128	2.2	0	100	97.8
129	1.8	0	100	98.2
130	2.8	0	100	97.2
131	4.2	0.4	99.6	95.8
132	2.6	0	100	97.4
133	2.4	0	100	97.6
134	2.6	0	100	97.4
135	3.6	0	100	96.4
136	2	0.2	99.8	98
137	2.6	0	100	97.4
138	2.8	0	100	97.2
139	2.8	0	100	97.2
140	2	0	100	98
141	3	0	100	97
142	1	0	100	99
143	4	0	100	96
144	2.6	0	100	97.4
145	2	0	100	98
146	3	0	100	97
147	3.4	0	100	96.6
148	4.8	0	100	95.2
149	3.4	0	100	96.6
150	4.4	0	100	95.6
