t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	100	0	100	0
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	100	0	100	0
390	100	0	100	0
400	100	0	100	0
410	100	0	100	0
420	100	0	100	0
430	100	0	100	0
440	100	0	100	0
450	100	0	100	0
460	100	0	100	0
470	100	0	100	0
480	100	0	100	0
490	100	0	100	0
500	100	0	100	0
510	100	0	100	0
520	100	0	100	0
530	100	0	100	0
540	100	0	100	0
550	100	0	100	0
560	100	0	100	0
570	100	0	100	0
580	100	0	100	0
590	100	0	100	0
600	100	0	100	0
610	100	0	100	0
620	100	0	100	0
630	100	0	100	0
640	100	0	100	0
650	100	0	100	0
660	100	0	100	0
670	100	0	100	0
680	100	0	100	0
690	100	0	100	0
700	100	0	100	0
710	100	0	100	0
720	100	0	100	0
730	100	0	100	0
740	100	0	100	0
750	99.8	0	100	0.2
760	100	0	100	0
770	100	0	100	0
780	99.8	0	100	0.2
790	100	0	100	0
800	100	0	100	0
810	100	0	100	0
820	99.8	0	100	0.2
830	99.6	0	100	0.4
840	100	0	100	0
850	99.8	0	100	0.2
860	100	0	100	0
870	99.6	0	100	0.4
880	99.8	0	100	0.2
890	99.6	0	100	0.4
900	100	0	100	0
910	99.8	0	100	0.2
920	99.4	0	100	0.6
930	99	0	100	1
940	99.6	0	100	0.4
950	99.2	0	100	0.8
960	99.4	0	100	0.6
970	98.8	0	100	1.2
980	98.8	0	100	1.2
990	98.8	0	100	1.2
1000	98.6	0	100	1.4
1010	99	0	100	1
1020	98.4	0	100	1.6
1030	98	0	100	2
1040	98.6	0	100	1.4
1050	99	0	100	1
1060	98.4	0	100	1.6
1070	95.4	0	100	4.6
1080	96.4	0	100	3.6
1090	97.4	0	100	2.6
1100	97	0	100	3
1110	96	0	100	4
1120	96	0	100	4
1130	94.4	0	100	5.6
1140	95.4	0	100	4.6
1150	95	0	100	5
1160	96.2	0	100	3.8
1170	95.4	0	100	4.6
1180	95.4	0	100	4.6
1190	95.8	0	100	4.2
1200	94.8	0	100	5.2
1210	94.4	0	100	5.6
1220	90.6	0	100	9.4
1230	93	0	100	7
1240	93	0	100	7
1250	92.2	0	100	7.8
1260	91.4	0	100	8.6
1270	89.4	0	100	10.6
1280	90.4	0	100	9.6
1290	91	0	100	9
1300	89.4	0	100	10.6
1310	86.4	0	100	13.6
1320	85.6	0	100	14.4
1330	88.8	0	100	11.2
1340	86.8	0	100	13.2
1350	87.2	0	100	12.8
1360	85.6	0	100	14.4
1370	86	0	100	14
1380	81.6	0	100	18.4
1390	85.6	0	100	14.4
1400	87.8	0	100	12.2
1410	85.2	0	100	14.8
1420	82.2	0	100	17.8
1430	82.4	0	100	17.6
1440	83.6	0	100	16.4
1450	77.2	0	100	22.8
1460	80.6	0	100	19.4
1470	80	0	100	20
1480	80.4	0	100	19.6
1490	81	0	100	19
1500	78.6	0	100	21.4
1510	77	0	100	23
1520	76.8	0.2	99.8	23.2
1530	76	0	100	24
1540	72.4	0	100	27.6
1550	75.2	0	100	24.8
1560	77.6	0	100	22.4
1570	78.6	0	100	21.4
1580	69.8	0	100	30.2
1590	76.6	0	100	23.4
1600	71.2	0	100	28.8
1610	71.4	0	100	28.6
1620	74.4	0	100	25.6
1630	73	0.2	99.8	27
1640	65.8	0.2	99.8	34.2
1650	68.8	0	100	31.2
1660	73.6	0	100	26.4
1670	69	0	100	31
1680	72.2	0	100	27.8
1690	73.8	0	100	26.2
1700	67	0	100	33
1710	70.4	0	100	29.6
1720	63.6	0.2	99.8	36.4
1730	64	0.2	99.8	36
1740	65.6	0	100	34.4
1750	67.6	0.2	99.8	32.4
1760	59.8	0.2	99.8	40.2
1770	62	0.4	99.6	38
1780	63.4	0.4	99.6	36.6
1790	62.4	0.2	99.8	37.6
1800	60.8	0	100	39.2
1810	62.8	0.2	99.8	37.2
1820	61.2	0.2	99.8	38.8
1830	63.6	0.4	99.6	36.4
1840	58.2	0	100	41.8
1850	57.2	0.8	99.2	42.8
1860	60.2	0	100	39.8
1870	57.4	0.4	99.6	42.6
1880	58.6	0.4	99.6	41.4
1890	54.2	0.4	99.6	45.8
1900	60.2	0.6	99.4	39.8
1910	55.6	0.4	99.6	44.4
1920	61.8	1	99	38.2
1930	58	0.2	99.8	42
1940	57.8	0.6	99.4	42.2
1950	51.6	0.4	99.6	48.4
1960	53.2	0.8	99.2	46.8
1970	52.6	0.4	99.6	47.4
1980	51.8	1	99	48.2
1990	53.4	1	99	46.6
2000	51.2	1	99	48.8
2010	51.4	0.8	99.2	48.6
2020	52.6	0.8	99.2	47.4
2030	48.4	1.2	98.8	51.6
2040	49	1.2	98.8	51
2050	50.8	1.2	98.8	49.2
