t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	100	0	100	0
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	100	0	100	0
390	100	0	100	0
400	100	0	100	0
410	100	0	100	0
420	100	0	100	0
430	100	0	100	0
440	100	0	100	0
450	100	0	100	0
460	100	0	100	0
470	100	0	100	0
480	100	0	100	0
490	100	0	100	0
500	100	0	100	0
510	100	0	100	0
520	100	0	100	0
530	100	0	100	0
540	100	0	100	0
550	100	0	100	0
560	100	0	100	0
570	100	0	100	0
580	100	0	100	0
590	100	0	100	0
600	100	0	100	0
610	100	0	100	0
620	100	0	100	0
630	100	0	100	0
640	100	0	100	0
650	100	0	100	0
660	100	0	100	0
670	100	0	100	0
680	100	0	100	0
690	100	0	100	0
700	100	0	100	0
710	100	0	100	0
720	100	0	100	0
730	100	0	100	0
740	100	0	100	0
750	100	0	100	0
760	100	0	100	0
770	100	0	100	0
780	100	0	100	0
790	100	0	100	0
800	100	0	100	0
810	100	0	100	0
820	100	0	100	0
830	99.8	0	100	0.2
840	99.8	0	100	0.2
850	100	0	100	0
860	100	0	100	0
870	99.8	0	100	0.2
880	99.8	0	100	0.2
890	100	0	100	0
900	99.8	0	100	0.2
910	99.8	0	100	0.2
920	100	0	100	0
930	99.8	0	100	0.2
940	99.4	0	100	0.6
950	99.8	0	100	0.2
960	99.4	0	100	0.6
970	99.8	0	100	0.2
980	99.8	0	100	0.2
990	100	0	100	0
1000	99.4	0	100	0.6
1010	99.8	0	100	0.2
1020	99.6	0	100	0.4
1030	99.8	0	100	0.2
1040	99.2	0	100	0.8
1050	98.2	0	100	1.8
1060	99.4	0	100	0.6
1070	99.4	0	100	0.6
1080	99.4	0	100	0.6
1090	99.4	0	100	0.6
1100	99.2	0	100	0.8
1110	98.8	0	100	1.2
1120	98.6	0	100	1.4
1130	99.4	0	100	0.6
1140	99	0	100	1
1150	99	0	100	1
1160	98	0	100	2
1170	98.8	0	100	1.2
1180	97	0	100	3
1190	97.8	0	100	2.2
1200	98.6	0	100	1.4
1210	96.8	0	100	3.2
1220	98.2	0	100	1.8
1230	96	0	100	4
1240	96.8	0	100	3.2
1250	97.8	0	100	2.2
1260	97	0	100	3
1270	94	0	100	6
1280	96.2	0	100	3.8
1290	95	0	100	5
1300	93.4	0	100	6.6
1310	94.4	0	100	5.6
1320	93.8	0	100	6.2
1330	95.4	0	100	4.6
1340	91.6	0	100	8.4
1350	92.2	0	100	7.8
1360	94.4	0	100	5.6
1370	93.4	0	100	6.6
1380	93	0	100	7
1390	93.6	0	100	6.4
1400	91.6	0	100	8.4
1410	91.8	0	100	8.2
1420	91.6	0	100	8.4
1430	90	0	100	10
1440	91	0	100	9
1450	89.8	0	100	10.2
1460	89.6	0	100	10.4
1470	87.8	0	100	12.2
1480	87.6	0	100	12.4
1490	87.8	0	100	12.2
1500	89.4	0	100	10.6
1510	86.8	0	100	13.2
1520	88.4	0	100	11.6
1530	89.8	0	100	10.2
1540	82.4	0	100	17.6
1550	86.6	0	100	13.4
1560	84	0	100	16
1570	86	0	100	14
1580	82	0	100	18
1590	83.6	0	100	16.4
1600	83.8	0	100	16.2
1610	85.6	0	100	14.4
1620	83.8	0	100	16.2
1630	86.8	0	100	13.2
1640	78.2	0	100	21.8
1650	80.4	0	100	19.6
1660	82	0	100	18
1670	75.6	0	100	24.4
1680	79.2	0	100	20.8
1690	80.4	0	100	19.6
1700	77.4	0	100	22.6
1710	81.2	0	100	18.8
1720	74.2	0	100	25.8
1730	75.6	0	100	24.4
1740	77.2	0	100	22.8
1750	75.8	0	100	24.2
1760	81	0	100	19
1770	76.2	0	100	23.8
1780	78.6	0.2	99.8	21.4
1790	77.4	0	100	22.6
1800	74	0	100	26
1810	77.2	0	100	22.8
1820	71.6	0.2	99.8	28.4
1830	72	0	100	28
1840	70.2	0	100	29.8
1850	69.8	0	100	30.2
1860	74.2	0	100	25.8
1870	69.2	0	100	30.8
1880	70.8	0	100	29.2
1890	67.6	0.2	99.8	32.4
1900	70.4	0	100	29.6
1910	66.8	0	100	33.2
1920	69.4	0.2	99.8	30.6
1930	65	0	100	35
1940	62.4	0	100	37.6
1950	72.4	0.2	99.8	27.6
1960	65.2	0	100	34.8
1970	65.6	0	100	34.4
1980	65.4	0.4	99.6	34.6
1990	61.8	0.2	99.8	38.2
2000	66.6	0	100	33.4
2010	65	0.2	99.8	35
2020	60	0.4	99.6	40
2030	62.6	0.2	99.8	37.4
2040	65.8	0.2	99.8	34.2
2050	60	0.4	99.6	40
