t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	99.6	0	100	0.4
310	99.4	0	100	0.6
320	99.8	0	100	0.2
330	99	0	100	1
340	100	0	100	0
350	99.2	0	100	0.8
360	98	0	100	2
370	97.6	0	100	2.4
380	98.6	0	100	1.4
390	95.8	0	100	4.2
400	96.8	0	100	3.2
410	93.4	0	100	6.6
420	95.4	0	100	4.6
430	97.6	0	100	2.4
440	94.6	0	100	5.4
450	95	0	100	5
460	93	0	100	7
470	92.2	0	100	7.8
480	91.2	0	100	8.8
490	91.8	0	100	8.2
500	91.8	0	100	8.2
510	88	0	100	12
520	88.4	0	100	11.6
530	88.6	0	100	11.4
540	87.2	0	100	12.8
550	84	0	100	16
560	81.8	0	100	18.2
570	81.2	0	100	18.8
580	81	0	100	19
590	78.8	0	100	21.2
600	74.6	0	100	25.4
610	78.2	0	100	21.8
620	77	0	100	23
630	77	0	100	23
640	76.2	0	100	23.8
650	71.4	0	100	28.6
660	69.8	0	100	30.2
670	69.4	0	100	30.6
680	66.6	0	100	33.4
690	64	0	100	36
700	66.8	0	100	33.2
710	69.4	0	100	30.6
720	60.4	0	100	39.6
730	66	0	100	34
740	60.8	0	100	39.2
750	55	0	100	45
760	62	0	100	38
770	55	0	100	45
780	54.4	0	100	45.6
790	61	0	100	39
800	53.4	0	100	46.6
810	55.6	0	100	44.4
820	51.4	0	100	48.6
830	52.2	0.6	99.4	47.8
840	50.4	0.6	99.4	49.6
850	46.2	0.4	99.6	53.8
860	49.6	0.2	99.8	50.4
870	44.4	0.6	99.4	55.6
880	40	0.6	99.4	60
890	44.8	1	99	55.2
900	47	1.2	98.8	53
910	46.8	0.6	99.4	53.2
920	42.4	1	99	57.6
930	44.4	0.8	99.2	55.6
940	41.8	1.8	98.2	58.2
950	42.8	1.6	98.4	57.2
960	41.8	0.8	99.2	58.2
970	40.2	1.8	98.2	59.8
980	42.2	1.4	98.6	57.8
990	38.2	3.4	96.6	61.8
1000	38.2	1.8	98.2	61.8
1010	39.8	1.6	98.4	60.2
1020	35.8	3.2	96.8	64.2
1030	37	3.4	96.6	63
1040	38.4	3.2	96.8	61.6
1050	33.2	2.8	97.2	66.8
1060	37.4	2.2	97.8	62.6
1070	30.6	5.2	94.8	69.4
1080	30.6	5.8	94.2	69.4
1090	31.2	4.4	95.6	68.8
1100	31.4	7	93	68.6
1110	35	4.2	95.8	65
1120	27.4	7.4	92.6	72.6
1130	28.8	8.8	91.2	71.2
1140	24.2	6.2	93.8	75.8
1150	25.4	9.6	90.4	74.6
1160	30.6	6	94	69.4
1170	24.6	9	91	75.4
1180	25	9.2	90.8	75
1190	26.8	8	92	73.2
1200	24	11.2	88.8	76
1210	27.2	10.4	89.6	72.8
1220	19.4	9.6	90.4	80.6
1230	27	10.8	89.2	73
1240	23.2	12.2	87.8	76.8
1250	24.4	9.4	90.6	75.6
1260	28.8	13.2	86.8	71.2
1270	21.2	14.8	85.2	78.8
1280	24.4	15.6	84.4	75.6
1290	23.8	15.8	84.2	76.2
1300	22	15	85	78
1310	22.4	18.6	81.4	77.6
1320	20.4	15.8	84.2	79.6
1330	17.6	22	78	82.4
1340	19.6	21.6	78.4	80.4
1350	14.4	26.4	73.6	85.6
1360	20.4	20.4	79.6	79.6
1370	12.2	20.4	79.6	87.8
1380	15.4	25	75	84.6
1390	20.6	22.4	77.6	79.4
1400	16	22.2	77.8	84
1410	19.4	21.8	78.2	80.6
1420	18.8	26	74	81.2
1430	15.8	28	72	84.2
1440	17.2	28.6	71.4	82.8
1450	12.4	29.2	70.8	87.6
1460	15.6	31	69	84.4
1470	13.4	33.4	66.6	86.6
1480	17.4	29.2	70.8	82.6
1490	17	28.6	71.4	83
1500	15	32	68	85
1510	13	35.4	64.6	87
1520	17.4	35.2	64.8	82.6
1530	16.4	30	70	83.6
1540	9.6	40.2	59.8	90.4
1550	13.6	33	67	86.4
1560	15.6	41.4	58.6	84.4
1570	13	40.4	59.6	87
1580	10.2	41.8	58.2	89.8
1590	15.2	40.6	59.4	84.8
1600	11	42	58	89
1610	11.6	44	56	88.4
1620	11.6	46.4	53.6	88.4
1630	11.4	44.8	55.2	88.6
1640	13.2	45	55	86.8
1650	7.6	50.8	49.2	92.4
1660	10.6	50.2	49.8	89.4
1670	9	50.4	49.6	91
1680	9.6	46.6	53.4	90.4
1690	8	53	47	92
1700	8.8	55.4	44.6	91.2
1710	8.2	53.8	46.2	91.8
1720	8	51.8	48.2	92
1730	9.2	56.8	43.2	90.8
1740	8.6	53.2	46.8	91.4
1750	8.6	53	47	91.4
1760	8	62.8	37.2	92
1770	8.8	54.8	45.2	91.2
1780	6.4	56.8	43.2	93.6
1790	8.2	57.4	42.6	91.8
1800	5.4	67.6	32.4	94.6
1810	3.6	67.6	32.4	96.4
1820	5.8	62.6	37.4	94.2
1830	8.8	58.8	41.2	91.2
1840	8.4	54	46	91.6
1850	6.4	61.6	38.4	93.6
1860	8.8	63.4	36.6	91.2
1870	4.4	68.2	31.8	95.6
1880	6.4	68.6	31.4	93.6
1890	4.8	69.4	30.6	95.2
1900	4.4	74.6	25.4	95.6
1910	6.8	65	35	93.2
1920	5.2	65.2	34.8	94.8
1930	3.6	75	25	96.4
1940	3.8	69.6	30.4	96.2
1950	3	73.6	26.4	97
1960	2.2	77.8	22.2	97.8
1970	6.6	73.2	26.8	93.4
1980	3.2	77.8	22.2	96.8
1990	3.2	71.6	28.4	96.8
2000	3.2	74.4	25.6	96.8
2010	3.4	81.2	18.8	96.6
2020	5.8	69.8	30.2	94.2
2030	3.6	74	26	96.4
2040	3.8	77.8	22.2	96.2
2050	3	79.2	20.8	97
