t	FPR	FNR	TRP	TNR
100	2.6	0	100	97.4
110	2	0	100	98
120	3	0	100	97
130	2	0	100	98
140	2.6	0	100	97.4
150	2.6	0	100	97.4
160	3.6	0	100	96.4
170	2.6	0	100	97.4
180	3	0	100	97
190	3.2	0	100	96.8
200	3	0	100	97
210	3.4	0	100	96.6
220	3.4	0	100	96.6
230	2.6	0	100	97.4
240	3.2	0	100	96.8
250	1.6	0	100	98.4
260	2.8	0	100	97.2
270	1.4	0	100	98.6
280	3.6	0	100	96.4
290	3.8	0	100	96.2
300	1.2	0	100	98.8
310	1.8	0	100	98.2
320	2.8	0	100	97.2
330	3	0	100	97
340	2.4	0	100	97.6
350	1.4	0	100	98.6
360	2.8	0	100	97.2
370	1.6	0	100	98.4
380	3.6	0	100	96.4
390	3.2	0	100	96.8
400	1.8	0	100	98.2
410	2.6	0	100	97.4
420	4	0	100	96
430	1.6	0	100	98.4
440	1.8	0	100	98.2
450	0.6	0	100	99.4
460	2	0	100	98
470	2.2	0	100	97.8
480	2.2	0	100	97.8
490	2.2	0	100	97.8
500	2.6	0	100	97.4
510	2.6	0	100	97.4
520	2.6	0	100	97.4
530	3.6	0	100	96.4
540	2.6	0	100	97.4
550	2.4	0	100	97.6
560	2.2	0	100	97.8
570	3.2	0	100	96.8
580	3.4	0	100	96.6
590	2.6	0	100	97.4
600	2.8	0	100	97.2
610	1.2	0	100	98.8
620	1.4	0	100	98.6
630	2.4	0	100	97.6
640	2.8	0	100	97.2
650	1.8	0	100	98.2
660	2	0	100	98
670	2	0	100	98
680	2.4	0	100	97.6
690	2.6	0	100	97.4
700	2.8	0	100	97.2
710	4.2	0	100	95.8
720	2.2	0	100	97.8
730	3	0	100	97
740	2	0	100	98
750	2	0	100	98
760	1.8	0	100	98.2
770	3.2	0	100	96.8
780	2.2	0	100	97.8
790	2.4	0	100	97.6
800	3	0	100	97
810	2.4	0	100	97.6
820	2.8	0	100	97.2
830	2.6	0	100	97.4
840	2.4	0	100	97.6
850	3	0	100	97
860	1.8	0	100	98.2
870	3.6	0	100	96.4
880	2.2	0	100	97.8
890	2.8	0	100	97.2
900	2.8	0	100	97.2
910	1.8	0	100	98.2
920	1.8	0	100	98.2
930	4	0	100	96
940	1.8	0	100	98.2
950	2	0	100	98
960	2	0	100	98
970	1.4	0	100	98.6
980	2	0	100	98
990	2.6	0	100	97.4
1000	2.2	0	100	97.8
1010	1.2	0	100	98.8
1020	1.8	0	100	98.2
1030	2.2	0	100	97.8
1040	2.4	0	100	97.6
