t	FPR	FNR	TRP	TNR
100	0.8	0	100	99.2
110	2	0	100	98
120	2	0	100	98
130	1.8	0	100	98.2
140	2.8	0	100	97.2
150	3	0	100	97
160	2	0	100	98
170	3.4	0	100	96.6
180	1.8	0	100	98.2
190	3.6	0	100	96.4
200	3	0	100	97
210	2.2	0	100	97.8
220	3	0	100	97
230	2.8	0	100	97.2
240	3.2	0	100	96.8
250	2.4	0	100	97.6
260	3.2	0	100	96.8
270	2.8	0	100	97.2
280	1.4	0	100	98.6
290	3.4	0	100	96.6
300	1.6	0	100	98.4
310	3	0	100	97
320	3.2	0	100	96.8
330	2.6	0	100	97.4
340	2.8	0	100	97.2
350	1.4	0	100	98.6
360	2	0	100	98
370	1.6	0	100	98.4
380	3	0	100	97
390	3	0	100	97
400	3.2	0	100	96.8
410	2.8	0	100	97.2
420	2.2	0	100	97.8
430	4.4	0	100	95.6
440	3	0	100	97
450	2.8	0	100	97.2
460	4.2	0	100	95.8
470	1.6	0	100	98.4
480	1.6	0	100	98.4
490	3.2	0	100	96.8
500	1.8	0	100	98.2
510	2.2	0	100	97.8
520	3.2	0	100	96.8
530	2.8	0	100	97.2
540	2	0	100	98
550	2.4	0	100	97.6
560	1.4	0	100	98.6
570	2	0	100	98
580	3.6	0	100	96.4
590	3.4	0	100	96.6
600	3.6	0	100	96.4
610	2.2	0	100	97.8
620	3	0	100	97
630	1.8	0	100	98.2
640	2.4	0	100	97.6
650	2.4	0	100	97.6
660	2.2	0	100	97.8
670	1.8	0	100	98.2
680	3	0	100	97
690	1.2	0	100	98.8
700	2	0	100	98
710	1.4	0	100	98.6
720	2.2	0	100	97.8
730	3	0	100	97
740	3.8	0	100	96.2
750	2	0	100	98
760	3	0	100	97
770	2	0	100	98
780	2	0	100	98
790	2.6	0	100	97.4
800	3.6	0	100	96.4
810	2.2	0	100	97.8
820	2.8	0	100	97.2
830	3.6	0	100	96.4
840	2.2	0	100	97.8
850	2.8	0	100	97.2
860	1.2	0	100	98.8
870	2.4	0	100	97.6
880	2.8	0	100	97.2
890	2	0	100	98
900	2.6	0	100	97.4
910	1.6	0	100	98.4
920	1.6	0	100	98.4
930	3.4	0	100	96.6
940	2.2	0	100	97.8
950	2.6	0	100	97.4
960	3.6	0	100	96.4
970	2.4	0	100	97.6
980	2	0	100	98
990	2.4	0	100	97.6
1000	2.6	0	100	97.4
1010	2.4	0	100	97.6
1020	2.2	0	100	97.8
1030	2	0	100	98
1040	4.4	0	100	95.6
1050	3.8	0	100	96.2
1060	2.8	0	100	97.2
1070	1	0	100	99
1080	2.6	0	100	97.4
1090	2.8	0	100	97.2
1100	2.4	0	100	97.6
1110	2.8	0	100	97.2
1120	2.6	0	100	97.4
1130	1.8	0	100	98.2
1140	2.6	0	100	97.4
1150	1.6	0	100	98.4
1160	2.2	0	100	97.8
1170	2.4	0	100	97.6
1180	2.4	0	100	97.6
1190	2.6	0	100	97.4
1200	2	0	100	98
1210	2.8	0	100	97.2
1220	2.2	0	100	97.8
1230	1.4	0	100	98.6
1240	2.8	0	100	97.2
1250	2.4	0	100	97.6
1260	1.8	0	100	98.2
1270	2.8	0	100	97.2
1280	2.2	0	100	97.8
1290	3.6	0	100	96.4
1300	3.4	0	100	96.6
1310	2.4	0	100	97.6
1320	2	0	100	98
1330	3.4	0	100	96.6
1340	2.4	0	100	97.6
1350	4	0	100	96
1360	2.8	0	100	97.2
1370	2.4	0	100	97.6
1380	3	0	100	97
1390	1.8	0	100	98.2
1400	1.6	0	100	98.4
1410	2.6	0	100	97.4
1420	2.6	0	100	97.4
1430	2.6	0	100	97.4
1440	2.4	0	100	97.6
1450	2.8	0	100	97.2
1460	3.8	0	100	96.2
1470	2.6	0	100	97.4
1480	1.6	0	100	98.4
1490	4.2	0	100	95.8
1500	3	0	100	97
1510	3.8	0	100	96.2
1520	1.6	0	100	98.4
1530	1.8	0	100	98.2
1540	1.4	0	100	98.6
1550	3.2	0	100	96.8
1560	2.6	0	100	97.4
1570	2.4	0	100	97.6
1580	2.6	0	100	97.4
1590	2.8	0	100	97.2
1600	2	0	100	98
1610	2.6	0	100	97.4
1620	4	0	100	96
1630	1.4	0	100	98.6
1640	3.4	0	100	96.6
1650	3	0	100	97
1660	3.2	0	100	96.8
1670	4	0	100	96
1680	2.2	0	100	97.8
1690	2.8	0	100	97.2
1700	2.8	0	100	97.2
1710	0.8	0	100	99.2
1720	4	0	100	96
1730	2.6	0.2	99.8	97.4
1740	2.8	0	100	97.2
1750	3.4	0	100	96.6
1760	2.6	0	100	97.4
1770	0.8	0.2	99.8	99.2
1780	3.2	0.2	99.8	96.8
1790	1.8	0	100	98.2
1800	2.4	0.2	99.8	97.6
1810	2.2	0	100	97.8
1820	2.8	0.2	99.8	97.2
1830	3.6	0	100	96.4
1840	3	0	100	97
1850	4.2	0	100	95.8
1860	2.8	0	100	97.2
1870	2.6	0	100	97.4
1880	3	0	100	97
1890	4.8	0.4	99.6	95.2
1900	1.8	0.2	99.8	98.2
1910	3	0.4	99.6	97
1920	2.6	0.4	99.6	97.4
1930	1.8	0	100	98.2
1940	3.6	0.4	99.6	96.4
1950	1	0.2	99.8	99
1960	2.4	0.2	99.8	97.6
1970	3.8	0.4	99.6	96.2
1980	2.6	0.4	99.6	97.4
1990	2.4	0.4	99.6	97.6
2000	2.8	0.2	99.8	97.2
2010	2.8	0.2	99.8	97.2
2020	4.4	0.6	99.4	95.6
2030	3	0.2	99.8	97
2040	1.2	0.4	99.6	98.8
2050	2.6	0.8	99.2	97.4
