t	FPR	FNR	TRP	TNR
100	3.8	0	100	96.2
110	3	0	100	97
120	3.4	0	100	96.6
130	3.4	0	100	96.6
140	4	0	100	96
150	2.8	0	100	97.2
160	3.8	0	100	96.2
170	2	0	100	98
180	5	0	100	95
190	2.4	0	100	97.6
200	3.2	0	100	96.8
210	2.8	0	100	97.2
220	3.2	0	100	96.8
230	3.2	0	100	96.8
240	2.8	0	100	97.2
250	1.4	0	100	98.6
260	2	0	100	98
270	2.4	0	100	97.6
280	2.6	0	100	97.4
290	3.4	0	100	96.6
300	1.6	0	100	98.4
310	2.2	0	100	97.8
320	1.6	0	100	98.4
330	2.4	0	100	97.6
340	2	0	100	98
350	2.4	0	100	97.6
360	3.8	0	100	96.2
370	2.6	0	100	97.4
380	1.4	0	100	98.6
390	2.8	0	100	97.2
400	1.6	0	100	98.4
410	4.2	0	100	95.8
420	4.4	0	100	95.6
430	4	0	100	96
440	2.8	0	100	97.2
450	2.6	0	100	97.4
460	2.6	0	100	97.4
470	3.4	0	100	96.6
480	3.2	0	100	96.8
490	5.2	0	100	94.8
500	3.8	0	100	96.2
510	2.6	0	100	97.4
520	2.4	0	100	97.6
530	3.8	0	100	96.2
540	1.8	0	100	98.2
550	2.4	0	100	97.6
560	2	0	100	98
570	1.6	0	100	98.4
580	2	0	100	98
590	1.8	0	100	98.2
600	3.2	0	100	96.8
610	1.8	0	100	98.2
620	3.2	0	100	96.8
630	2.4	0	100	97.6
640	2.2	0	100	97.8
650	1.6	0	100	98.4
660	1.4	0	100	98.6
670	2.8	0	100	97.2
680	3.4	0	100	96.6
690	2.4	0	100	97.6
700	2.8	0	100	97.2
710	3.4	0	100	96.6
720	2	0	100	98
730	2	0.2	99.8	98
740	4	0	100	96
750	2	0	100	98
760	2.4	0	100	97.6
770	2.2	0	100	97.8
780	3	0	100	97
790	2.4	0	100	97.6
800	2	0.2	99.8	98
810	2	0.2	99.8	98
820	1.8	0	100	98.2
830	3	1.2	98.8	97
840	2.6	1.4	98.6	97.4
850	1.4	0.4	99.6	98.6
860	2.4	0.6	99.4	97.6
870	1.8	0.8	99.2	98.2
880	3	0.6	99.4	97
890	2.6	1.2	98.8	97.4
900	2.4	1.4	98.6	97.6
910	3.4	1.4	98.6	96.6
920	1.4	1.2	98.8	98.6
930	2.4	1.4	98.6	97.6
940	2	3	97	98
950	3	2.2	97.8	97
960	1.8	1	99	98.2
970	3.4	2.2	97.8	96.6
980	2.2	2.6	97.4	97.8
990	1.4	3.6	96.4	98.6
1000	2.4	3	97	97.6
1010	2.4	2.2	97.8	97.6
1020	2	5.2	94.8	98
1030	2.6	5	95	97.4
1040	2.6	3.8	96.2	97.4
1050	3.6	4	96	96.4
1060	2.2	3.2	96.8	97.8
1070	1.8	5.6	94.4	98.2
1080	1.8	7	93	98.2
1090	3.4	5.8	94.2	96.6
1100	2	8.6	91.4	98
1110	3.2	5.6	94.4	96.8
1120	1.2	9	91	98.8
1130	2.2	10	90	97.8
1140	2.4	7.4	92.6	97.6
1150	1.6	12.4	87.6	98.4
1160	2.4	8.4	91.6	97.6
1170	2.4	11	89	97.6
1180	2.2	12.6	87.4	97.8
